# gamma	percentage	time
0.000000000000000000e+00 9.168122507696646606e-01 0.000000000000000000e+00
2.000000282049160978e-03 9.061248769712377804e-01 2.000000000000000000e+04
4.000000564098321956e-03 9.072758249187606872e-01 4.000000000000000000e+04
6.000000846147482934e-03 9.008634006397044924e-01 6.000000000000000000e+04
8.000001128196643913e-03 9.105642476259688811e-01 8.000000000000000000e+04
1.000000255678711036e-02 9.146747760099792623e-01 1.000000000000000000e+05
1.200000169229496587e-02 9.138526703331771861e-01 1.200000000000000000e+05
1.400000197434412945e-02 9.043162444822732127e-01 1.400000000000000000e+05
1.600000225639328783e-02 9.095777208138063896e-01 1.600000000000000000e+05
1.800000253844244794e-02 9.076046671894815177e-01 1.800000000000000000e+05
2.000000282049161152e-02 9.095777208138063896e-01 2.000000000000000000e+05
2.200000424908207797e-02 9.130305646563751099e-01 2.200000000000000000e+05
2.400000338458993174e-02 9.103998264906084659e-01 2.400000000000000000e+05
2.600000481318040166e-02 9.069469826480398567e-01 2.600000000000000000e+05
2.800000280214694909e-02 8.997124526921816967e-01 2.800000000000000000e+05
3.000000423073741207e-02 9.105642476259688811e-01 3.000000000000000000e+05
3.200000565932788199e-02 9.089200362723648396e-01 3.200000000000000000e+05
3.400000364829443983e-02 9.080979305955627634e-01 3.400000000000000000e+05
3.600000393034359647e-02 9.005345583689836619e-01 3.600000000000000000e+05
3.800000535893406639e-02 9.036585599408315517e-01 3.800000000000000000e+05
4.000000678752452937e-02 8.967528722556942222e-01 4.000000000000000000e+05
4.200000477649107333e-02 8.997124526921816967e-01 4.200000000000000000e+05
4.400000505854024385e-02 8.980682413385775442e-01 4.400000000000000000e+05
4.600000304750679475e-02 8.882029732169527403e-01 4.600000000000000000e+05
4.800000676917986348e-02 8.964240299849733917e-01 4.800000000000000000e+05
5.000000590468772071e-02 8.990547681507400357e-01 5.000000000000000000e+05
5.200000962636080332e-02 8.918202381948817647e-01 5.200000000000000000e+05
5.400000761532735422e-02 8.919846593302421800e-01 5.400000000000000000e+05
5.600000560429389818e-02 8.844212871036631896e-01 5.600000000000000000e+05
5.800000932596698078e-02 8.919846593302421800e-01 5.800000000000000000e+05
6.000000731493353168e-02 8.835991814268611133e-01 6.000000000000000000e+05
6.200000645044138892e-02 8.798174953135716736e-01 6.200000000000000000e+05
6.400001017211447152e-02 8.753781246588404619e-01 6.400000000000000000e+05
6.600000816108100854e-02 8.785021262306883516e-01 6.600000000000000000e+05
6.800000729658886578e-02 8.804751798550133346e-01 6.800000000000000000e+05
7.000000987172064204e-02 8.776800205538862754e-01 7.000000000000000000e+05
7.200000786068719294e-02 8.648551719957739969e-01 7.200000000000000000e+05
7.400001158236027554e-02 8.660061199432969037e-01 7.400000000000000000e+05
7.600001071786813278e-02 8.724185442223529874e-01 7.600000000000000000e+05
7.800000870683468368e-02 8.750492823881196314e-01 7.800000000000000000e+05
8.000001357504905874e-02 8.679791735676218867e-01 8.000000000000000000e+05
8.200001041747430330e-02 8.674859101615406409e-01 8.200000000000000000e+05
8.400000840644085420e-02 8.697878060565864544e-01 8.400000000000000000e+05
8.600001212811392293e-02 8.617311704239262182e-01 8.600000000000000000e+05
8.800001126362178017e-02 8.630465395068094292e-01 8.800000000000000000e+05
9.000001383875355643e-02 8.633753817775302597e-01 9.000000000000000000e+05
9.200000724155489584e-02 8.732406498991550636e-01 9.200000000000000000e+05
9.400001669593448239e-02 8.641974874543323359e-01 9.400000000000000000e+05
9.600001468490104717e-02 8.597581167996012352e-01 9.600000000000000000e+05
9.800001267386759807e-02 8.495640064072557118e-01 9.800000000000000000e+05
1.000000118093754414e-01 8.515370600315805838e-01 1.000000000000000000e+06
1.020000109448833125e-01 8.515370600315805838e-01 1.020000000000000000e+06
1.040000181061802864e-01 8.350949464955391699e-01 1.040000000000000000e+06
1.060000172416881575e-01 8.347661042248184504e-01 1.060000000000000000e+06
1.080000152306547084e-01 8.383833692027474749e-01 1.080000000000000000e+06
1.100000132196212455e-01 8.370680001198640419e-01 1.100000000000000000e+06
1.120000112085877964e-01 8.313132603822496192e-01 1.120000000000000000e+06
1.140000103440956675e-01 8.234210458849499092e-01 1.140000000000000000e+06
1.160000186519339616e-01 8.273671531335997642e-01 1.160000000000000000e+06
1.180000177874417910e-01 8.318065237883308649e-01 1.180000000000000000e+06
1.200000157764083419e-01 8.186528329594978670e-01 1.200000000000000000e+06
1.220000137653749206e-01 8.188172540948582823e-01 1.220000000000000000e+06
1.240000117543414576e-01 8.147067257108480121e-01 1.240000000000000000e+06
1.260000212087210580e-01 8.156932525230103925e-01 1.260000000000000000e+06
1.280000191976876089e-01 8.078010380257105716e-01 1.280000000000000000e+06
1.300000171866541598e-01 8.097740916500354436e-01 1.300000000000000000e+06
1.320000163221620171e-01 8.239143092910311550e-01 1.320000000000000000e+06
1.340000143111285680e-01 8.350949464955391699e-01 1.340000000000000000e+06
1.360000123000951189e-01 8.229277824788686635e-01 1.360000000000000000e+06
1.380000217544747332e-01 8.267094685921581032e-01 1.380000000000000000e+06
1.400000197434412841e-01 8.267094685921581032e-01 1.400000000000000000e+06
1.420000177324078627e-01 8.260517840507163312e-01 1.420000000000000000e+06
1.440000168679156922e-01 8.249008361031935355e-01 1.440000000000000000e+06
1.460000148568822431e-01 8.191460963655791128e-01 1.460000000000000000e+06
1.480000231647205511e-01 8.288469433518435014e-01 1.480000000000000000e+06
1.500000223002283806e-01 8.245719938324727050e-01 1.500000000000000000e+06
1.520000202891949315e-01 8.270383108628788227e-01 1.520000000000000000e+06
1.540000182781614824e-01 8.247364149678332312e-01 1.540000000000000000e+06
1.560000174136693674e-01 8.176663061473353755e-01 1.560000000000000000e+06
1.580000154026359183e-01 8.337795774126559589e-01 1.580000000000000000e+06
1.600000248570155048e-01 8.166797793351728840e-01 1.600000000000000000e+06
1.620000228459820557e-01 8.211191499899040958e-01 1.620000000000000000e+06
1.640000208349486066e-01 8.209547288545436805e-01 1.640000000000000000e+06
1.660000188239151575e-01 8.184884118241375628e-01 1.660000000000000000e+06
1.680000179594230147e-01 8.253940995092747812e-01 1.680000000000000000e+06
1.700000262672612950e-01 8.234210458849499092e-01 1.700000000000000000e+06
1.720000242562278736e-01 8.143778834401271816e-01 1.720000000000000000e+06
1.740000233917357308e-01 8.322997871944121107e-01 1.740000000000000000e+06
1.760000213807022540e-01 8.186528329594978670e-01 1.760000000000000000e+06
1.780000193696688049e-01 8.270383108628788227e-01 1.780000000000000000e+06
1.800000288240484192e-01 8.258873629153560270e-01 1.800000000000000000e+06
1.820000268130149701e-01 8.166797793351728840e-01 1.820000000000000000e+06
1.840000144831097917e-01 8.253940995092747812e-01 1.840000000000000000e+06
1.860000239374893782e-01 8.207903077191831542e-01 1.860000000000000000e+06
1.880000322453276862e-01 8.285181010811227820e-01 1.880000000000000000e+06
1.900000199154224800e-01 8.204614654484624348e-01 1.900000000000000000e+06
1.920000293698020943e-01 8.148711468462084273e-01 1.920000000000000000e+06
1.940000170398969159e-01 8.260517840507163312e-01 1.940000000000000000e+06
1.960000253477351961e-01 8.133913566279646901e-01 1.960000000000000000e+06
