# gamma	percentage
0.000000000000000000e+00 1.018189569969068620e+00
2.000000472781493684e-03 1.023388559316285695e+00
3.999999803578702454e-03 1.014127859541555043e+00
6.000000276360195270e-03 1.009741212279840594e+00
8.000000749141689821e-03 1.028100143412201239e+00
1.000000007993889946e-02 1.008928870194337968e+00
1.200000055272039054e-02 1.009091338611438404e+00
1.399999988351760191e-02 1.024525838235989417e+00
1.600000035629909473e-02 1.024525838235989417e+00
1.799999968709630263e-02 1.016889822632264240e+00
2.000000130186208383e-02 1.019976722557174531e+00
2.200000063265929173e-02 1.014127859541555043e+00
2.400000110544078108e-02 1.016402417380962708e+00
2.600000043623799245e-02 1.017864633134867525e+00
2.799999976703520382e-02 1.018839443637470588e+00
3.000000252378526647e-02 1.003892349264221107e+00
3.200000185458247437e-02 1.009903680696941031e+00
3.400000118537968574e-02 1.019326848888772341e+00
3.600000051617689018e-02 1.009741212279840594e+00
3.800000213094267137e-02 1.005029628183925050e+00
4.000000146173987581e-02 1.010878491199544316e+00
4.200000079253708718e-02 1.011528364867946506e+00
4.400000126531858347e-02 9.934943705697868443e-01
4.600000288008435773e-02 1.013477985873152853e+00
4.800000221088156216e-02 9.993432335854061099e-01
5.000000154167877353e-02 1.005192096601025487e+00
5.200000087247598490e-02 1.000318044088009284e+00
5.400000020327320321e-02 9.967437389117975721e-01
5.599999953407040765e-02 9.907324074790776480e-01
5.799999886486761902e-02 1.006329375520729208e+00
6.000000390558624108e-02 9.882953812225696577e-01
6.200000323638345245e-02 9.855334181318604614e-01
6.400000256718066383e-02 9.965812704946970246e-01
6.600000189797787520e-02 9.878079759712680152e-01
6.800000237075937148e-02 9.879704443883685627e-01
7.000000055957229794e-02 9.798470235333416323e-01
7.199999989036949544e-02 9.816341761214475437e-01
7.399999922116670681e-02 9.839087339608550975e-01
7.600000426188534275e-02 9.764351867742303570e-01
7.800000359268255412e-02 9.754603762716271831e-01
8.000000292347975162e-02 9.718860710954153603e-01
8.200000225427696299e-02 9.733482868493201767e-01
8.400000158507417436e-02 9.670120185823991577e-01
8.600000091587138573e-02 9.728608815980185343e-01
8.800000024666859710e-02 9.598634082299755121e-01
9.000000071945009339e-02 9.597009398128749647e-01
9.200000461818443054e-02 9.603508134812771546e-01
9.400000394898164191e-02 9.642500554916900724e-01
9.600000327977885328e-02 9.549893557169594205e-01
9.800000261057606465e-02 9.507651768723454078e-01
1.000000019413732760e-01 9.441039717712234047e-01
1.020000012721704735e-01 9.424792876002180408e-01
1.040000006029676849e-01 9.442664401883239522e-01
1.059999999337648963e-01 9.340309299109901264e-01
1.080000004065464064e-01 9.419918823489163984e-01
1.099999997373436039e-01 9.337059930767890314e-01
1.119999990681408153e-01 9.338684614938895789e-01
1.139999995409222977e-01 9.301316879005772087e-01
1.159999977297352380e-01 9.267198511414659334e-01
1.180000073383909998e-01 9.333810562425879365e-01
1.200000066691882111e-01 9.192463039548411929e-01
1.220000071419696935e-01 9.288319405637729398e-01
1.240000064727669049e-01 9.145347198589255377e-01
1.260000046615798452e-01 9.029994622447874431e-01
1.280000039923770150e-01 9.031619306618879905e-01
1.300000044651585251e-01 8.968256623949669715e-01
1.320000037959557504e-01 9.049490832499939019e-01
1.340000031267529201e-01 9.070611726723009083e-01
1.360000024575501454e-01 9.073861095065018922e-01
1.380000017883473706e-01 8.968256623949669715e-01
1.400000011191445681e-01 8.921140782990514273e-01
1.420000004499417934e-01 9.060863621696976233e-01
1.439999997807390186e-01 9.029994622447874431e-01
1.459999991115362439e-01 8.992626886514750728e-01
1.479999984423334136e-01 8.994251570685756203e-01
1.499999977731306389e-01 8.960133203094643450e-01
1.520000085237706855e-01 8.854528731979294243e-01
1.540000078545678830e-01 8.872400257860353356e-01
1.560000071853651082e-01 9.085233884262057247e-01
1.580000065161623057e-01 9.029994622447874431e-01
1.600000058469595032e-01 8.950385098068610601e-01
1.620000051777567285e-01 8.914642046306492373e-01
1.640000045085539260e-01 9.060863621696976233e-01
1.660000038393511512e-01 9.112853515169148100e-01
1.680000031701483765e-01 8.926014835503530698e-01
1.700000036429298589e-01 8.981254097317713514e-01
1.720000018317427715e-01 9.025120569934858006e-01
1.740000011625399690e-01 8.994251570685756203e-01
1.760000004933371942e-01 8.898395204596438735e-01
1.780000009661186766e-01 9.018621833250836106e-01
1.800000002969159019e-01 8.958508518923637975e-01
1.819999996277130994e-01 8.890271783741412470e-01
1.840000092363688611e-01 8.994251570685756203e-01
1.859999982893075221e-01 8.874024942031357721e-01
1.880000078979632838e-01 8.952009782239616076e-01
1.899999969509019448e-01 8.930888888016546012e-01
1.920000065595577066e-01 8.882148362886385096e-01
1.939999956124963676e-01 8.783042628455056677e-01
1.960000052211521293e-01 8.810662259362148641e-01
1.979999942740907626e-01 8.867526205347336932e-01
2.000000050247308370e-01 8.784667312626062152e-01
