# gamma d2min
1.999999999999948434e-03 6.508070869653566071e-01
4.000000000000059064e-03 6.522248600773359328e-01
6.000000000000007064e-03 6.520254598267833934e-01
7.999999999999955064e-03 6.514634858309659160e-01
1.000000000000006439e-02 6.573591707859848254e-01
1.200000000000001413e-02 6.556960538766570812e-01
1.399999999999996386e-02 6.522603035333807142e-01
1.600000000000007319e-02 6.635416432410038423e-01
1.800000000000002293e-02 6.614124468315971672e-01
1.999999999999996919e-02 6.631042522786457782e-01
2.200000000000008199e-02 6.691672623184975466e-01
2.400000000000002826e-02 6.663575575678660767e-01
2.599999999999997799e-02 6.804152050130209961e-01
2.799999999999992772e-02 6.767737885298295009e-01
3.000000000000003705e-02 6.818318354107480994e-01
3.199999999999998679e-02 6.825858583885732189e-01
3.399999999999992611e-02 6.928089342033617593e-01
3.600000000000004585e-02 6.945687514500473725e-01
3.799999999999999906e-02 6.996787908577968285e-01
3.999999999999993838e-02 7.061162406072444275e-01
4.200000000000005118e-02 7.154930860144411708e-01
4.400000000000000439e-02 7.238406390013415459e-01
4.599999999999995065e-02 7.313733109907670782e-01
4.800000000000005651e-02 7.382109037819603037e-01
5.000000000000000971e-02 7.338325418915719878e-01
5.199999999999995598e-02 7.464392859493371724e-01
5.400000000000006878e-02 7.487030913746844929e-01
5.600000000000001504e-02 7.616654835108901400e-01
5.799999999999996131e-02 7.749137476306029448e-01
5.999999999999991451e-02 7.743781791863951769e-01
6.200000000000002037e-02 7.929908783301767849e-01
6.399999999999997358e-02 8.034968645714962721e-01
6.599999999999993372e-02 8.109803888533774208e-01
6.800000000000003264e-02 8.260112570470327098e-01
6.999999999999997891e-02 8.559896350082860650e-01
7.199999999999992517e-02 8.573506199988161214e-01
7.400000000000003797e-02 8.664868559560447991e-01
7.599999999999999811e-02 8.943606609966855414e-01
7.799999999999993050e-02 9.042563563545612526e-01
8.000000000000004330e-02 9.113367474076704555e-01
8.199999999999998956e-02 9.308821030046557921e-01
8.399999999999993583e-02 9.610935650607639325e-01
8.600000000000004863e-02 9.984261599925030595e-01
8.800000000000000877e-02 1.022987624715909094e+00
8.999999999999994116e-02 1.040035868787484441e+00
9.200000000000005396e-02 1.082865615171243689e+00
9.400000000000001410e-02 1.115254781946417362e+00
9.599999999999996037e-02 1.159823379206123661e+00
9.800000000000007316e-02 1.216313533763415444e+00
1.000000000000000194e-01 1.317478574980271544e+00
1.019999999999999657e-01 1.368672848405934506e+00
1.040000000000000785e-01 1.445742929263336363e+00
1.060000000000000248e-01 1.532865631145438723e+00
1.079999999999999710e-01 1.611493731833964604e+00
1.100000000000000838e-01 1.791077676304056121e+00
1.120000000000000301e-01 1.969795931796480382e+00
1.139999999999999764e-01 2.218686270225694646e+00
1.159999999999999226e-01 2.624983983895596396e+00
1.180000000000000215e-01 3.833594383647016990e+00
1.199999999999999678e-01 4.980980474072759456e+00
1.219999999999999418e-01 5.564043228568890775e+00
1.240000000000000407e-01 5.816511495714962621e+00
1.260000000000000009e-01 6.150119040739425280e+00
1.279999999999999472e-01 6.311362159264520599e+00
1.300000000000000600e-01 6.515976663555476556e+00
1.320000000000000062e-01 6.672004045742582434e+00
1.339999999999999525e-01 6.852141107039141588e+00
1.360000000000000653e-01 7.066385101053504592e+00
1.380000000000000115e-01 7.204146922618764215e+00
1.399999999999999578e-01 7.327862797212357115e+00
1.419999999999999041e-01 7.533741880981692951e+00
1.440000000000000169e-01 7.742590378600457512e+00
1.459999999999999631e-01 7.956422004438921114e+00
1.479999999999999094e-01 8.179045972046639079e+00
1.500000000000000222e-01 8.308766432601403906e+00
1.519999999999999962e-01 8.401303881027068599e+00
1.539999999999999425e-01 8.558939165638811630e+00
1.560000000000000275e-01 8.615534671334438954e+00
1.579999999999999738e-01 8.710444377278646400e+00
1.599999999999999201e-01 8.823174520736664306e+00
1.620000000000000329e-01 8.897230529194285253e+00
1.639999999999999791e-01 8.991425788776437500e+00
1.659999999999999254e-01 9.245462264648438122e+00
1.680000000000000382e-01 9.448546328614266798e+00
1.699999999999999845e-01 9.620452649538350443e+00
1.719999999999999307e-01 9.761448763896781955e+00
1.740000000000000713e-01 1.003367059784367221e+01
1.760000000000000175e-01 1.023609193515033233e+01
1.779999999999999361e-01 1.048845970489070289e+01
1.800000000000000488e-01 1.076583481000039555e+01
1.820000000000000229e-01 1.097643198399029352e+01
1.839999999999999691e-01 1.123143666065735324e+01
1.859999999999999987e-01 1.155655872326586220e+01
1.880000000000000282e-01 1.177190897755878929e+01
1.899999999999999745e-01 1.206399278238636263e+01
1.920000000000000040e-01 1.235760504074928967e+01
1.940000000000000335e-01 1.255115872651515119e+01
1.959999999999999798e-01 1.267059105710819367e+01
1.980000000000000093e-01 1.285664553687460732e+01
2.000000000000000389e-01 1.301200979219144394e+01
