# gamma d2min std
3.999999999999919419e-03 6.523752423512468868e-01 4.117815190530079161e-01
6.000000000000041758e-03 6.536146030598958268e-01 4.207648778833019687e-01
8.000000000000001901e-03 6.521660695845169498e-01 4.174905320665927566e-01
9.999999999999960310e-03 6.485409218690814104e-01 4.325237143724360300e-01
1.199999999999992045e-02 6.606370739425504457e-01 4.466717668936508456e-01
1.400000000000004366e-02 6.541513283755523434e-01 4.322494300209515639e-01
1.600000000000000380e-02 6.556457093197600727e-01 4.359094575390178306e-01
1.799999999999996395e-02 6.666766004300821447e-01 4.840768916610933559e-01
1.999999999999992062e-02 6.636808784663036365e-01 4.788699902276215559e-01
2.200000000000004383e-02 6.645815184659090713e-01 4.732010446481493826e-01
2.400000000000000397e-02 6.693449908558238848e-01 4.941478520659945417e-01
2.599999999999996411e-02 6.702556720348010755e-01 4.699860931173013845e-01
2.799999999999992426e-02 6.713499492069128216e-01 4.563008724098968072e-01
3.000000000000004399e-02 6.715790821160827484e-01 4.543453069727392268e-01
3.200000000000000761e-02 6.832666822719382083e-01 4.899956427158247974e-01
3.399999999999996775e-02 6.870404895359848441e-01 5.118750989350661085e-01
3.599999999999992789e-02 6.878454730764678171e-01 4.884099119438570780e-01
3.800000000000004763e-02 6.912558780401671932e-01 5.229417597217582703e-01
4.000000000000000777e-02 6.941642776534878712e-01 5.218059780841708406e-01
4.199999999999996791e-02 7.048319076961016005e-01 5.290998716449095696e-01
4.399999999999992806e-02 7.041765641019571698e-01 5.556299547465086697e-01
4.600000000000004780e-02 7.130488160610006787e-01 5.759000671118107428e-01
4.800000000000000794e-02 7.166444461312341252e-01 5.588333675270514833e-01
4.999999999999996808e-02 7.275285423966225684e-01 6.111886902343528494e-01
5.199999999999992822e-02 7.325031908518779833e-01 5.991335288210342114e-01
5.400000000000004796e-02 7.469414927892203959e-01 6.330413341333284150e-01
5.600000000000000810e-02 7.452618436296558624e-01 6.139078426728284965e-01
5.799999999999996825e-02 7.569133259154039450e-01 6.512806564142888943e-01
5.999999999999992839e-02 7.633452234394728642e-01 6.837217072007135688e-01
6.200000000000004813e-02 7.791136335168085125e-01 7.007581123503899834e-01
6.400000000000001521e-02 7.830159487077810176e-01 7.417449290363553605e-01
6.599999999999997535e-02 7.936374665660511640e-01 7.629319784130683679e-01
6.799999999999993550e-02 8.106892458372790822e-01 8.294955248509063850e-01
7.000000000000004829e-02 8.274725190143622511e-01 8.254664911397544547e-01
7.200000000000000844e-02 8.404305755741003914e-01 8.360932789652605335e-01
7.399999999999996858e-02 8.490328667475538493e-01 8.753655690689474689e-01
7.599999999999992872e-02 8.804718911714805030e-01 9.750302916967090727e-01
7.800000000000005540e-02 8.908444657275884637e-01 9.821510813086051783e-01
8.000000000000001554e-02 9.109695243529040143e-01 1.010515079087029866e+00
8.199999999999997569e-02 9.235162868884152498e-01 1.070950026151658907e+00
8.399999999999993583e-02 9.420103418067393708e-01 1.042793563059812634e+00
8.600000000000004863e-02 9.623771925761520629e-01 1.145833172870307726e+00
8.800000000000000877e-02 9.827505654711173877e-01 1.185477979223724887e+00
8.999999999999996891e-02 1.009540953754340054e+00 1.227086384164921551e+00
9.199999999999992906e-02 1.045081109051452239e+00 1.382301976240728258e+00
9.400000000000005573e-02 1.099075752237215875e+00 1.476794539182158195e+00
9.600000000000001588e-02 1.143800199114188842e+00 1.611172932553553760e+00
9.799999999999997602e-02 1.178821485752051812e+00 1.674691239211502092e+00
9.999999999999993616e-02 1.228104712973484780e+00 1.767146028341755715e+00
1.020000000000000628e-01 1.296370210785590338e+00 1.999263567796081720e+00
1.040000000000000230e-01 1.314118093110795193e+00 2.059307274029523960e+00
1.059999999999999831e-01 1.394315779068024064e+00 2.221479209236052021e+00
1.079999999999999433e-01 1.503004383388573340e+00 2.524216318713325080e+00
1.100000000000000561e-01 1.986869213750788843e+00 4.025377766137292035e+00
1.120000000000000162e-01 4.401929950368923095e+00 1.136309800578644946e+01
1.139999999999999764e-01 5.195234769408933140e+00 1.351775318583645813e+01
1.159999999999999365e-01 5.514483623179056160e+00 1.451094868063785270e+01
1.180000000000000632e-01 5.683960112989267621e+00 1.498186252756678805e+01
1.200000000000000233e-01 5.887473212389520150e+00 1.560523383664589936e+01
1.219999999999999835e-01 6.047287471277225102e+00 1.601265044177970509e+01
1.239999999999999436e-01 6.277733876678897929e+00 1.658711562665310879e+01
1.260000000000000564e-01 6.397170135994712403e+00 1.697942386433384598e+01
1.280000000000000304e-01 6.458421716595643680e+00 1.711505351479156545e+01
1.299999999999999767e-01 6.523480801998500667e+00 1.723502724155262200e+01
1.319999999999999507e-01 6.691354302744239035e+00 1.770400050274211878e+01
1.340000000000000357e-01 6.919766060523200757e+00 1.831512804154160534e+01
1.360000000000000098e-01 7.107141922563524616e+00 1.884935308324961767e+01
1.379999999999999838e-01 7.278747554251499885e+00 1.931850829422983296e+01
1.399999999999999301e-01 7.460733097674005165e+00 1.977819716877348810e+01
1.420000000000000706e-01 7.602015397322838375e+00 2.016073860433442633e+01
1.440000000000000169e-01 7.799430594032117803e+00 2.067346970311799481e+01
1.459999999999999909e-01 7.923532301233033870e+00 2.100433148835348263e+01
1.479999999999999372e-01 8.065325297518150194e+00 2.143180074331161222e+01
1.499999999999999112e-01 8.291754356492660349e+00 2.195367361184506905e+01
1.519999999999999962e-01 8.509628914603061034e+00 2.259657487762373762e+01
1.539999999999999980e-01 8.727917511744395895e+00 2.327424689632528043e+01
1.559999999999999443e-01 8.928382829393546771e+00 2.375306835523129934e+01
1.580000000000000571e-01 9.048589046395596469e+00 2.412887538168719459e+01
