# gamma	percentage
0.000000000000000000e+00 1.090650645800601337e+00
1.999999470168869684e-03 1.095851960355835208e+00
4.000000082215174856e-03 1.098940240873005347e+00
6.000000694261480895e-03 1.087562365283431198e+00
8.000000164430349711e-03 1.092113515519260725e+00
1.000000077647665575e-02 1.090000481481196992e+00
1.200000024664552543e-02 1.089837940401346073e+00
1.399999971681439512e-02 1.093413844158069193e+00
1.599999918698326307e-02 1.090163022561048134e+00
1.799999979902957084e-02 1.093413844158069193e+00
2.000000041107587515e-02 1.093088761998367131e+00
2.199999988124474656e-02 1.091300810120005460e+00
2.400000163516848375e-02 1.081710886408792982e+00
2.600000110533735517e-02 1.084799166925963121e+00
2.799999943362879024e-02 1.094714172796877660e+00
2.999999890379765818e-02 1.087074742043877995e+00
3.199999951584396596e-02 1.088375070682686463e+00
3.399999898601283738e-02 1.086262036644622730e+00
3.599999959805914168e-02 1.074884161055048581e+00
3.799999906822801310e-02 1.095851960355835208e+00
3.999999968027431047e-02 1.090488104720750195e+00
4.200000029232062171e-02 1.088700152842388524e+00
4.399999976248949313e-02 1.082198509648346185e+00
4.600000037453579743e-02 1.070658092978921117e+00
4.800000327033696751e-02 1.075696866454303846e+00
5.000000045675096622e-02 1.071145716218474320e+00
5.200000335255214323e-02 1.080085475610282453e+00
5.400000053896614194e-02 1.071958421617729584e+00
5.599999886725758047e-02 1.069195223260261507e+00
5.800000062118132460e-02 1.072771127016984849e+00
5.999999780759532331e-02 1.066106942743091590e+00
6.200000070339650032e-02 1.064806614104283122e+00
6.399999788981049209e-02 1.054403984993815380e+00
6.600000078561166217e-02 1.054566526073666299e+00
6.799999797202567475e-02 1.052453492035602567e+00
7.000000086782684483e-02 1.054566526073666299e+00
7.199999919611828336e-02 1.059930381708751312e+00
7.400000209191946732e-02 1.047739800719921899e+00
7.599999927833345215e-02 1.049365211518432428e+00
7.800000217413463610e-02 1.043676273723645354e+00
7.999999936054862093e-02 1.051153163396794099e+00
8.200000225634980489e-02 1.042375945084836886e+00
8.399999944276380359e-02 1.035549219731092485e+00
8.600000233856498755e-02 1.037174630529603014e+00
8.799999952497898625e-02 1.040587993206475437e+00
9.000000242078015633e-02 1.035549219731092485e+00
9.199999960719416892e-02 1.023521179822114213e+00
9.399999679360815374e-02 1.024984049540773823e+00
9.600000539879650907e-02 1.022871015502709868e+00
9.800000258521049390e-02 1.020432899304944074e+00
9.999999977162450648e-02 1.014093797190752877e+00
1.019999969580385052e-01 1.026934542498986414e+00
1.040000055632268605e-01 1.012793468551944409e+00
1.060000027496408592e-01 1.000602887563114995e+00
1.080000010779322839e-01 9.797976293421795102e-01
1.099999982643462965e-01 1.001903216201923463e+00
1.119999954507602813e-01 1.004016250239987196e+00
1.140000051978260903e-01 1.014581420430306080e+00
1.160000012423626353e-01 1.013768715031050593e+00
1.179999984287766340e-01 1.020432899304944074e+00
1.199999956151906466e-01 1.020920522544497278e+00
1.220000042203789881e-01 1.014581420430306080e+00
1.240000014067930006e-01 1.031810774894518223e+00
1.259999985932069855e-01 1.017994783107178280e+00
1.279999957796209842e-01 1.010030270194476332e+00
1.300000043848093534e-01 1.017832242027327139e+00
1.320000015712233521e-01 1.016694454468369813e+00
1.339999998995147767e-01 1.012956009631795329e+00
1.359999982278062292e-01 1.018644947426582403e+00
1.380000045492396910e-01 1.023033556582561010e+00
1.400000028775311434e-01 1.013443632871348532e+00
1.420000000639451143e-01 1.015069043669859061e+00
1.439999972503591408e-01 1.013281091791497612e+00
1.460000058555474545e-01 1.018807488506433545e+00
1.480000041838389069e-01 1.005966743198200009e+00
1.500000002283754796e-01 1.011493139913135941e+00
1.519999974147894783e-01 1.014093797190752877e+00
1.540000060199778475e-01 1.018157324187029200e+00
1.560000032063918185e-01 1.024171344141518336e+00
1.580000003928058450e-01 1.007429612916859396e+00
1.599999975792198159e-01 1.008242318316114661e+00
1.620000061844081851e-01 1.020920522544497278e+00
1.640000033708221838e-01 1.015069043669859061e+00
1.660000016991136085e-01 1.020270358225092933e+00
1.679999988855276072e-01 1.010680434513880677e+00
1.699999972138190041e-01 1.019295111745986748e+00
1.720000035352525491e-01 1.001090510802668199e+00
1.740000018635439460e-01 1.012305845312391206e+00
1.759999990499579725e-01 1.000602887563114995e+00
1.779999962363719435e-01 1.014256338270603797e+00
1.800000048415603127e-01 1.007754695076561458e+00
1.820000031698517373e-01 1.011980763152689144e+00
1.839999992143883378e-01 1.005966743198200009e+00
1.859999964008023088e-01 1.010030270194476332e+00
1.879999947290937612e-01 1.007267071837008476e+00
1.899999919155077321e-01 1.014093797190752877e+00
1.920000107975930181e-01 1.009217564795221067e+00
1.940000091258844428e-01 1.008404859395965802e+00
1.960000051704209878e-01 1.009542646954923129e+00
1.980000023568350143e-01 1.007429612916859396e+00
2.000000006851264389e-01 1.003528627000433993e+00
