# gamma	percentage
0.000000000000000000e+00 9.710691937279199992e-01
2.000000013703025735e-03 9.709067532472027695e-01
4.000000027406051470e-03 9.684701460364434356e-01
6.000000041109077205e-03 9.739931223808311334e-01
8.000000054812102940e-03 9.842268726660199363e-01
1.000000006851512954e-02 9.726935985350928515e-01
1.200000008221815441e-02 9.717189556507891401e-01
1.400000009592118101e-02 9.681452650750088651e-01
1.600000010962420588e-02 9.605105624812966258e-01
1.800000012332723248e-02 9.611603244041657668e-01
2.000000013703025908e-02 9.689574674785953468e-01
2.200000015073328222e-02 9.702569913243336286e-01
2.400000016443630882e-02 9.679828245942916354e-01
2.599999903622051550e-02 9.627847292113385080e-01
2.800000133376117847e-02 9.587237171934064328e-01
3.000000020554538863e-02 9.614852053656003372e-01
3.199999907732958837e-02 9.678203841135742946e-01
3.400000023295143836e-02 9.694447889207471469e-01
3.600000024665446496e-02 9.647340149799459308e-01
3.799999911843866818e-02 9.574241933476681510e-01
4.000000141597932768e-02 9.543378242140397871e-01
4.200000028776353783e-02 9.575866338283854917e-01
4.400000030146656443e-02 9.603481220005792851e-01
4.600000031516959104e-02 9.598608005584274849e-01
4.800000032887261764e-02 9.522260979647151347e-01
4.999999920065682779e-02 9.527134194068669348e-01
5.199999807244103101e-02 9.588861576741237736e-01
5.400000265381933034e-02 9.499519312346731414e-01
5.600000266752235695e-02 9.457284787360238365e-01
5.800000039738773677e-02 9.514138955611287640e-01
6.000000041109077725e-02 9.413425857566571908e-01
6.199999928287498047e-02 9.520636574839977939e-01
6.399999815465917674e-02 9.416674667180917613e-01
6.600000273603748302e-02 9.372815737387250046e-01
6.800000274974050962e-02 9.372815737387250046e-01
7.000000047960590333e-02 9.374440142194423453e-01
7.199999935139010654e-02 9.241238948006250675e-01
7.399999936509313314e-02 9.259107400885152606e-01
7.599999823687733636e-02 9.286722282607090539e-01
7.800000281825564263e-02 9.241238948006250675e-01
8.000000169003984585e-02 9.252609781656461196e-01
8.200000056182404906e-02 9.194131208598238514e-01
8.399999943360823840e-02 9.283473472992744835e-01
8.599999944731129276e-02 9.221746090320177558e-01
8.799999831909549597e-02 9.202253232634103330e-01
9.000000290047380225e-02 9.169765136490646285e-01
9.200000177225799158e-02 9.192506803791066217e-01
9.399999493444811949e-02 9.059305609602893439e-01
9.599999951582642577e-02 9.255858591270806901e-01
9.800000409720471817e-02 9.088544896132004780e-01
9.999999840131365558e-02 9.078798467288967666e-01
1.020000029826919619e-01 8.989456202894461345e-01
1.039999961448820620e-01 8.994329417315980457e-01
1.060000007262603683e-01 8.914733581764511250e-01
1.080000053076386607e-01 9.004075846159017571e-01
1.099999984698287608e-01 8.995953822123152754e-01
1.120000030512070671e-01 8.914733581764511250e-01
1.139999984972348279e-01 9.077174062481795369e-01
1.160000019366943108e-01 8.903362748114301839e-01
1.179999950988843971e-01 8.926104415414721771e-01
1.199999996802627311e-01 8.927728820221894068e-01
1.220000042616410374e-01 8.940724058679276887e-01
1.239999985657499609e-01 8.856255008706289678e-01
1.260000020052094438e-01 8.921231200993202659e-01
1.279999963093183535e-01 8.641833574159475395e-01
1.300000008906966598e-01 8.862752627934981087e-01
1.320000054720749660e-01 8.883869890428227611e-01
1.339999986342650662e-01 8.752293101047228241e-01
1.360000032156433725e-01 8.758790720275919650e-01
1.379999963778335004e-01 8.724678219325290307e-01
1.400000009592118067e-01 8.723053814518116900e-01
1.420000066825089224e-01 8.643457978966648803e-01
1.439999998446990503e-01 8.807522864491104109e-01
1.460000044260773289e-01 8.682443694338796147e-01
1.479999987301862663e-01 8.736049052975499718e-01
1.500000021696457353e-01 8.744171077011363424e-01
1.519999964737546727e-01 8.732800243361154013e-01
1.540000010551329790e-01 8.682443694338796147e-01
1.560000056365112853e-01 8.659702027038376215e-01
1.579999987987014132e-01 8.718180600096598898e-01
1.600000033800796917e-01 8.700312147217696968e-01
1.619999965422698196e-01 8.609345478016018349e-01
1.640000011236480981e-01 8.781532387576339582e-01
1.660000057050264044e-01 8.640209169352303098e-01
1.680000000091353696e-01 8.604472263594500347e-01
1.700000034485948108e-01 8.627213930894920280e-01
1.719999977527037482e-01 8.679194884724450443e-01
1.740000023340820545e-01 8.471271069406327570e-01
1.759999954962721547e-01 8.638584764545129691e-01
1.780000000776504887e-01 8.571984167451043302e-01
1.800000046590287672e-01 8.583355001101253823e-01
1.819999989631377046e-01 8.427412139612661113e-01
1.840000035445159832e-01 8.416041305962450592e-01
1.860000081258943172e-01 8.523252023235858843e-01
1.879999910108150207e-01 8.505383570356956913e-01
1.899999955921933548e-01 8.474519879020673274e-01
1.920000001735716333e-01 8.420914520383968593e-01
1.940000036130311301e-01 8.466397854984809568e-01
1.960000081944094363e-01 8.383553209818993546e-01
1.979999910793301399e-01 8.344567494446847311e-01
1.999999956607084739e-01 8.422538925191143111e-01
