# gamma d2min
1.999999999999959709e-03 6.476451547782512419e-01
3.999999999999919419e-03 6.523752423512468868e-01
6.000000000000041758e-03 6.536146030598958268e-01
8.000000000000001901e-03 6.521660695845169498e-01
9.999999999999960310e-03 6.485409218690814104e-01
1.199999999999992045e-02 6.606370739425504457e-01
1.400000000000004366e-02 6.541513283755523434e-01
1.600000000000000380e-02 6.556457093197600727e-01
1.799999999999996395e-02 6.666766004300821447e-01
1.999999999999992062e-02 6.636808784663036365e-01
2.200000000000004383e-02 6.645815184659090713e-01
2.400000000000000397e-02 6.693449908558238848e-01
2.599999999999996411e-02 6.702556720348010755e-01
2.799999999999992426e-02 6.713499492069128216e-01
3.000000000000004399e-02 6.715790821160827484e-01
3.200000000000000761e-02 6.832666822719382083e-01
3.399999999999996775e-02 6.870404895359848441e-01
3.599999999999992789e-02 6.878454730764678171e-01
3.800000000000004763e-02 6.912558780401671932e-01
4.000000000000000777e-02 6.941642776534878712e-01
4.199999999999996791e-02 7.048319076961016005e-01
4.399999999999992806e-02 7.041765641019571698e-01
4.600000000000004780e-02 7.130488160610006787e-01
4.800000000000000794e-02 7.166444461312341252e-01
4.999999999999996808e-02 7.275285423966225684e-01
5.199999999999992822e-02 7.325031908518779833e-01
5.400000000000004796e-02 7.469414927892203959e-01
5.600000000000000810e-02 7.452618436296558624e-01
5.799999999999996825e-02 7.569133259154039450e-01
5.999999999999992839e-02 7.633452234394728642e-01
6.200000000000004813e-02 7.791136335168085125e-01
6.400000000000001521e-02 7.830159487077810176e-01
6.599999999999997535e-02 7.936374665660511640e-01
6.799999999999993550e-02 8.106892458372790822e-01
7.000000000000004829e-02 8.274725190143622511e-01
7.200000000000000844e-02 8.404305755741003914e-01
7.399999999999996858e-02 8.490328667475538493e-01
7.599999999999992872e-02 8.804718911714805030e-01
7.800000000000005540e-02 8.908444657275884637e-01
8.000000000000001554e-02 9.109695243529040143e-01
8.199999999999997569e-02 9.235162868884152498e-01
8.399999999999993583e-02 9.420103418067393708e-01
8.600000000000004863e-02 9.623771925761520629e-01
8.800000000000000877e-02 9.827505654711173877e-01
8.999999999999996891e-02 1.009540953754340054e+00
9.199999999999992906e-02 1.045081109051452239e+00
9.400000000000005573e-02 1.099075752237215875e+00
9.600000000000001588e-02 1.143800199114188842e+00
9.799999999999997602e-02 1.178821485752051812e+00
9.999999999999993616e-02 1.228104712973484780e+00
1.020000000000000628e-01 1.296370210785590338e+00
1.040000000000000230e-01 1.314118093110795193e+00
1.059999999999999831e-01 1.394315779068024064e+00
1.079999999999999433e-01 1.503004383388573340e+00
1.100000000000000561e-01 1.986869213750788843e+00
1.120000000000000162e-01 4.401929950368923095e+00
1.139999999999999764e-01 5.195234769408933140e+00
1.159999999999999365e-01 5.514483623179056160e+00
1.180000000000000632e-01 5.683960112989267621e+00
1.200000000000000233e-01 5.887473212389520150e+00
1.219999999999999835e-01 6.047287471277225102e+00
1.239999999999999436e-01 6.277733876678897929e+00
1.260000000000000564e-01 6.397170135994712403e+00
1.280000000000000304e-01 6.458421716595643680e+00
1.299999999999999767e-01 6.523480801998500667e+00
1.319999999999999507e-01 6.691354302744239035e+00
1.340000000000000357e-01 6.919766060523200757e+00
1.360000000000000098e-01 7.107141922563524616e+00
1.379999999999999838e-01 7.278747554251499885e+00
1.399999999999999301e-01 7.460733097674005165e+00
1.420000000000000706e-01 7.602015397322838375e+00
1.440000000000000169e-01 7.799430594032117803e+00
1.459999999999999909e-01 7.923532301233033870e+00
1.479999999999999372e-01 8.065325297518150194e+00
1.499999999999999112e-01 8.291754356492660349e+00
1.519999999999999962e-01 8.509628914603061034e+00
1.539999999999999980e-01 8.727917511744395895e+00
1.559999999999999443e-01 8.928382829393546771e+00
1.580000000000000571e-01 9.048589046395596469e+00
1.600000000000000311e-01 9.313218907950599146e+00
1.619999999999999774e-01 9.674837341274066915e+00
1.639999999999999514e-01 9.753584893276515899e+00
1.659999999999998976e-01 9.942101636087437910e+00
1.680000000000000382e-01 1.008621253980034638e+01
1.699999999999999567e-01 1.023235072791982425e+01
1.719999999999999585e-01 1.046466024834083086e+01
1.740000000000000713e-01 1.066985975057015423e+01
1.760000000000000175e-01 1.092307857006194993e+01
1.779999999999999916e-01 1.106981160859375102e+01
1.799999999999999378e-01 1.143844388706794390e+01
1.819999999999999118e-01 1.166359429777462076e+01
1.840000000000000246e-01 1.191929539855192388e+01
1.859999999999999987e-01 1.215496707702020274e+01
1.879999999999999449e-01 1.225759106748540184e+01
1.900000000000000022e-01 1.239073049621211986e+01
1.920000000000000318e-01 1.250411410151909486e+01
1.939999999999999780e-01 1.269773532596867049e+01
1.959999999999999520e-01 1.296130957886876622e+01
1.979999999999999816e-01 1.314506688171361937e+01
2.000000000000000389e-01 1.332577903009785558e+01
