# gamma	percentage	time
0.000000000000000000e+00 9.518155254880504845e-01 0.000000000000000000e+00
2.000000364618753201e-03 9.541177745130734467e-01 2.000000000000000000e+04
3.999999582637653144e-03 9.551044526666546686e-01 4.000000000000000000e+04
5.999999947256405911e-03 9.557622381023754832e-01 6.000000000000000000e+04
8.000000311875159545e-03 9.495132764630276334e-01 8.000000000000000000e+04
9.999999529894059921e-03 9.536244354362828357e-01 1.000000000000000000e+05
1.199999989451281182e-02 9.472110274380046713e-01 1.200000000000000000e+05
1.400000025913156719e-02 9.493488301040973187e-01 1.400000000000000000e+05
1.599999947715046583e-02 9.552688990255848722e-01 1.600000000000000000e+05
1.799999984176921947e-02 9.490199373862369114e-01 1.800000000000000000e+05
1.999999905978811984e-02 9.468821347201442640e-01 2.000000000000000000e+05
2.199999942440687695e-02 9.455665638487025237e-01 2.200000000000000000e+05
2.399999864242577385e-02 9.470465810790744676e-01 2.400000000000000000e+05
2.599999786044467423e-02 9.483621519505160968e-01 2.600000000000000000e+05
2.800000051826313438e-02 9.503355082576786517e-01 2.800000000000000000e+05
2.999999973628203129e-02 9.457310102076327274e-01 3.000000000000000000e+05
3.199999895430093166e-02 9.435932075415400799e-01 3.200000000000000000e+05
3.399999931891968530e-02 9.442509929772608945e-01 3.400000000000000000e+05
3.599999968353843893e-02 9.468821347201442640e-01 3.600000000000000000e+05
3.799999890155734278e-02 9.460599029254931347e-01 3.800000000000000000e+05
3.999999811957623275e-02 9.444154393361910982e-01 4.000000000000000000e+05
4.199999733759514353e-02 9.399753876450754886e-01 4.200000000000000000e+05
4.399999999541360368e-02 9.457310102076327274e-01 4.400000000000000000e+05
4.599999577363293735e-02 9.432643148236796726e-01 4.600000000000000000e+05
4.799999843145139056e-02 9.416198512343775251e-01 4.800000000000000000e+05
4.999999994267000786e-02 9.319175160574951766e-01 5.000000000000000000e+05
5.199999686748919131e-02 9.365220141075411009e-01 5.200000000000000000e+05
5.399999837870780861e-02 9.363575677486108972e-01 5.400000000000000000e+05
5.600000103652626876e-02 9.320819624164253803e-01 5.600000000000000000e+05
5.799999681474560936e-02 9.347131041593087497e-01 5.800000000000000000e+05
