# gamma d2min std
3.999999999999962787e-03 6.656882183258364671e-01 4.410464269581035324e-01
6.000000000000025278e-03 6.745386124092487279e-01 4.635684584316843715e-01
7.999999999999925573e-03 6.661546859098800288e-01 4.404714885179262795e-01
9.999999999999988065e-03 6.701272703716856238e-01 4.469699008313575139e-01
1.200000000000005056e-02 6.747718530362215583e-01 4.439337223477965999e-01
1.399999999999995172e-02 6.791638368686870875e-01 4.715246528959203820e-01
1.600000000000001421e-02 6.842856410550821611e-01 4.875659485289767781e-01
1.800000000000007497e-02 6.859508346413351054e-01 4.977101779494911837e-01
1.999999999999997613e-02 6.864831334655145945e-01 4.950486312064047434e-01
2.200000000000004036e-02 6.864466829249525892e-01 4.960180097675047639e-01
2.399999999999994152e-02 7.057497017440025333e-01 5.581211044391979348e-01
2.600000000000000228e-02 6.983721815064708460e-01 5.341451215308441469e-01
2.800000000000006650e-02 6.946033987945866572e-01 5.128602075092099088e-01
2.999999999999996420e-02 7.014608747632575803e-01 5.562041404872952732e-01
3.200000000000002842e-02 7.128230120541351189e-01 5.815380318632289436e-01
3.399999999999992611e-02 7.151904327217487589e-01 6.011000819598858458e-01
3.599999999999999034e-02 7.237974862018623501e-01 6.135957418953016385e-01
3.800000000000005457e-02 7.318105028330176287e-01 6.306612894059669960e-01
3.999999999999995226e-02 7.302613636620107762e-01 6.451858433263496506e-01
4.200000000000001649e-02 7.474414897076232522e-01 6.833232026881260746e-01
4.400000000000008071e-02 7.442883618055555761e-01 6.449566709306938650e-01
4.599999999999997841e-02 7.590161906565655592e-01 6.950525089548010849e-01
4.800000000000004263e-02 7.779636422683869901e-01 7.312701235662901755e-01
4.999999999999994033e-02 7.807719396148989910e-01 7.306589059804204922e-01
5.200000000000000455e-02 7.952551589034879687e-01 7.609970347818190151e-01
5.400000000000006878e-02 7.870052070588698934e-01 7.377285698381257362e-01
5.599999999999996647e-02 7.956360160373263657e-01 7.458796313663845767e-01
5.800000000000002376e-02 8.177279532413983532e-01 8.086086210043017530e-01
5.999999999999992839e-02 8.299937288667929014e-01 7.851916128976003106e-01
6.199999999999998568e-02 8.460530434027777602e-01 8.543661631439153359e-01
6.400000000000005684e-02 8.518131912622316504e-01 8.350968576782884512e-01
6.599999999999996148e-02 8.708590728239423706e-01 9.014883123622913219e-01
6.800000000000001876e-02 8.806540320647884279e-01 8.733058539828217892e-01
6.999999999999993727e-02 8.919466789614897140e-01 9.100924648390579241e-01
7.199999999999998068e-02 9.125795130543719047e-01 9.619304853547511192e-01
7.400000000000005185e-02 9.262292094578598034e-01 9.873711966149888442e-01
