# gamma	percentage	time
0.000000000000000000e+00 1.018215565142251977e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.022112419481817192e+00 1.000000000000000000e+02
0.000000000000000000e+00 1.010259487532306100e+00 2.000000000000000000e+02
0.000000000000000000e+00 1.010908963255567006e+00 3.000000000000000000e+02
0.000000000000000000e+00 1.013182128286979955e+00 4.000000000000000000e+02
0.000000000000000000e+00 1.011071332186382232e+00 5.000000000000000000e+02
0.000000000000000000e+00 1.012695021494534275e+00 6.000000000000000000e+02
0.000000000000000000e+00 1.005063681746219073e+00 7.000000000000000000e+02
0.000000000000000000e+00 1.017078982626545391e+00 8.000000000000000000e+02
0.000000000000000000e+00 1.018702671934697657e+00 9.000000000000000000e+02
0.000000000000000000e+00 1.022274788412632418e+00 1.000000000000000000e+03
0.000000000000000000e+00 1.010584225393936553e+00 1.100000000000000000e+03
0.000000000000000000e+00 1.025846904890567179e+00 1.200000000000000000e+03
0.000000000000000000e+00 1.021625312689371512e+00 1.300000000000000000e+03
0.000000000000000000e+00 1.029419021368502163e+00 1.400000000000000000e+03
0.000000000000000000e+00 1.029743759230132616e+00 1.500000000000000000e+03
0.000000000000000000e+00 1.024060846651599910e+00 1.600000000000000000e+03
0.000000000000000000e+00 1.020651099104480153e+00 1.700000000000000000e+03
0.000000000000000000e+00 1.027632963129534671e+00 1.800000000000000000e+03
0.000000000000000000e+00 1.021300574827741059e+00 1.900000000000000000e+03
0.000000000000000000e+00 1.027632963129534671e+00 2.000000000000000000e+03
0.000000000000000000e+00 1.026009273821382406e+00 2.100000000000000000e+03
0.000000000000000000e+00 1.026496380613828086e+00 2.200000000000000000e+03
0.000000000000000000e+00 1.022274788412632418e+00 2.300000000000000000e+03
0.000000000000000000e+00 1.038186943632524173e+00 2.400000000000000000e+03
0.000000000000000000e+00 1.034290089292958736e+00 2.500000000000000000e+03
0.000000000000000000e+00 1.026821118475458539e+00 2.600000000000000000e+03
0.000000000000000000e+00 1.026009273821382406e+00 2.700000000000000000e+03
0.000000000000000000e+00 1.017078982626545391e+00 2.800000000000000000e+03
0.000000000000000000e+00 1.028931914576056483e+00 2.900000000000000000e+03
0.000000000000000000e+00 1.029094283506871710e+00 3.000000000000000000e+03
0.000000000000000000e+00 1.032991137846436924e+00 3.100000000000000000e+03
0.000000000000000000e+00 1.026496380613828086e+00 3.200000000000000000e+03
0.000000000000000000e+00 1.025035060236491269e+00 3.300000000000000000e+03
0.000000000000000000e+00 1.024710322374860816e+00 3.400000000000000000e+03
0.000000000000000000e+00 1.039323526148230536e+00 3.500000000000000000e+03
0.000000000000000000e+00 1.028120069921980351e+00 3.600000000000000000e+03
0.000000000000000000e+00 1.020326361242849700e+00 3.700000000000000000e+03
0.000000000000000000e+00 1.033965351431328283e+00 3.800000000000000000e+03
0.000000000000000000e+00 1.024547953444045589e+00 3.900000000000000000e+03
0.000000000000000000e+00 1.034127720362143510e+00 4.000000000000000000e+03
0.000000000000000000e+00 1.029581390299317389e+00 4.100000000000000000e+03
0.000000000000000000e+00 1.037537467909263267e+00 4.200000000000000000e+03
0.000000000000000000e+00 1.040297739733121896e+00 4.300000000000000000e+03
0.000000000000000000e+00 1.033153506777252151e+00 4.400000000000000000e+03
0.000000000000000000e+00 1.035913778601111002e+00 4.500000000000000000e+03
0.000000000000000000e+00 1.033478244638882604e+00 4.600000000000000000e+03
0.000000000000000000e+00 1.042246166902904614e+00 4.700000000000000000e+03
0.000000000000000000e+00 1.038186943632524173e+00 4.800000000000000000e+03
0.000000000000000000e+00 1.035913778601111002e+00 4.900000000000000000e+03
0.000000000000000000e+00 1.026171642752197632e+00 5.000000000000000000e+03
0.000000000000000000e+00 1.032179293192361014e+00 5.100000000000000000e+03
0.000000000000000000e+00 1.034452458223773963e+00 5.200000000000000000e+03
0.000000000000000000e+00 1.032179293192361014e+00 5.300000000000000000e+03
0.000000000000000000e+00 1.035426671808665322e+00 5.400000000000000000e+03
0.000000000000000000e+00 1.036238516462741455e+00 5.500000000000000000e+03
0.000000000000000000e+00 1.043707487280241653e+00 5.600000000000000000e+03
0.000000000000000000e+00 1.046630128034915508e+00 5.700000000000000000e+03
0.000000000000000000e+00 1.038024574701708946e+00 5.800000000000000000e+03
0.000000000000000000e+00 1.042083797972089387e+00 5.900000000000000000e+03
0.000000000000000000e+00 1.045168807657578691e+00 6.000000000000000000e+03
0.000000000000000000e+00 1.037375098978448040e+00 6.100000000000000000e+03
0.000000000000000000e+00 1.036400885393556681e+00 6.200000000000000000e+03
0.000000000000000000e+00 1.038998788286600305e+00 6.300000000000000000e+03
0.000000000000000000e+00 1.045331176588393918e+00 6.400000000000000000e+03
0.000000000000000000e+00 1.042570904764535067e+00 6.500000000000000000e+03
0.000000000000000000e+00 1.044194594072687332e+00 6.600000000000000000e+03
0.000000000000000000e+00 1.037212730047632814e+00 6.700000000000000000e+03
0.000000000000000000e+00 1.039810632940676216e+00 6.800000000000000000e+03
0.000000000000000000e+00 1.042083797972089387e+00 6.900000000000000000e+03
0.000000000000000000e+00 1.045818283380839375e+00 7.000000000000000000e+03
0.000000000000000000e+00 1.029419021368502163e+00 7.100000000000000000e+03
0.000000000000000000e+00 1.046467759104100281e+00 7.200000000000000000e+03
0.000000000000000000e+00 1.045331176588393918e+00 7.300000000000000000e+03
0.000000000000000000e+00 1.034939565016219643e+00 7.400000000000000000e+03
0.000000000000000000e+00 1.038836419355785079e+00 7.500000000000000000e+03
0.000000000000000000e+00 1.041434322248828481e+00 7.600000000000000000e+03
0.000000000000000000e+00 1.037212730047632814e+00 7.700000000000000000e+03
0.000000000000000000e+00 1.041596691179643708e+00 7.800000000000000000e+03
