# gamma d2min std
4.000000000000005287e-03 7.305127954624368591e-01 6.135708184791432984e-01
5.999999999999926399e-03 7.330010336174240804e-01 5.979322223670224812e-01
8.000000000000010575e-03 7.336866645616320071e-01 6.176341168274259719e-01
9.999999999999930819e-03 7.597882044902146692e-01 6.848501807584010947e-01
1.200000000000001586e-02 7.627645918659249347e-01 6.716411493348679596e-01
1.399999999999993611e-02 7.677226398082386272e-01 7.361002651081255399e-01
1.600000000000002115e-02 7.910871900864110406e-01 7.816046165324859185e-01
1.799999999999994313e-02 7.945005963245737046e-01 8.208628848178446402e-01
2.000000000000002470e-02 8.204480806995739783e-01 8.777971727206662633e-01
2.199999999999994668e-02 8.294035001104799187e-01 9.031050822822703772e-01
2.400000000000003172e-02 8.309950975280144814e-01 8.843692816568532455e-01
2.599999999999995370e-02 8.398740869614109705e-01 8.974243799683957468e-01
2.800000000000003528e-02 8.584621194049872894e-01 9.490103113865401285e-01
2.999999999999995379e-02 8.669889577907986533e-01 9.425131332428213771e-01
3.200000000000004230e-02 8.841438955650252618e-01 9.701221706402199940e-01
3.399999999999996081e-02 8.973835691682450211e-01 9.842722373212313691e-01
3.600000000000003891e-02 9.058176948883364110e-01 9.912302752481115808e-01
3.799999999999996436e-02 9.191678614484690701e-01 1.079348916328384922e+00
4.000000000000004940e-02 9.343999688348327837e-01 1.079407393225185974e+00
4.199999999999997485e-02 9.551760022589171895e-01 1.130523086929688503e+00
4.400000000000005296e-02 9.649557602312185400e-01 1.180440233470477773e+00
4.599999999999997841e-02 1.005103171638257464e+00 1.261174912413373539e+00
4.800000000000006345e-02 1.022446589409722328e+00 1.267083557187325349e+00
4.999999999999998196e-02 1.057145104719065642e+00 1.347044226948784118e+00
5.200000000000006700e-02 1.098500513975694481e+00 1.422939096390584579e+00
5.399999999999998551e-02 1.105746155162957711e+00 1.424856573444581054e+00
5.600000000000007055e-02 1.138286994000552665e+00 1.476488192707801517e+00
5.799999999999998213e-02 1.181039300528724523e+00 1.549128863285151647e+00
6.000000000000008105e-02 1.187890143091067108e+00 1.571626058038296359e+00
6.199999999999999956e-02 1.238993246020754446e+00 1.715574047327160789e+00
6.399999999999991807e-02 1.285267113379892745e+00 1.764591642001066329e+00
6.600000000000000311e-02 1.320592421766492830e+00 1.878210784129028754e+00
6.800000000000008815e-02 1.338531776325757816e+00 1.853548908160731479e+00
7.000000000000000666e-02 1.388946846523831935e+00 1.977534627266070988e+00
7.199999999999992517e-02 1.415270919310290587e+00 2.022475703914763390e+00
7.400000000000001021e-02 1.448874354227825068e+00 2.097386837027541695e+00
7.599999999999992872e-02 1.502978030857402114e+00 2.178125479201237003e+00
7.800000000000001377e-02 1.562500033100536978e+00 2.256456285552656205e+00
7.999999999999994615e-02 1.618802952797506522e+00 2.304036061276376834e+00
8.200000000000003120e-02 1.704614938007023461e+00 2.482062867080609081e+00
8.399999999999994971e-02 1.809829157266019450e+00 2.680016003579388961e+00
8.600000000000003475e-02 1.850835834284249026e+00 2.676076829561530257e+00
8.799999999999995326e-02 1.926355970355902780e+00 2.816372886887756444e+00
9.000000000000002442e-02 1.995291760235164080e+00 2.945450647225873464e+00
9.199999999999995681e-02 2.041499374009628109e+00 3.022995571503769963e+00
9.400000000000004186e-02 2.120187086590514802e+00 3.104246266819677746e+00
9.599999999999996037e-02 2.194482367710306470e+00 3.218104465692843252e+00
9.800000000000004541e-02 2.261175543961094991e+00 3.357620448834897520e+00
9.999999999999996392e-02 2.346280125781249559e+00 3.494144688330119042e+00
1.020000000000000490e-01 2.423799731518307965e+00 3.577297018095297876e+00
1.039999999999999675e-01 2.569929784307923182e+00 3.848876490985737586e+00
1.060000000000000525e-01 2.670648096168718677e+00 4.015840517056897596e+00
1.079999999999999710e-01 2.772458778314393690e+00 4.133668594801003238e+00
1.100000000000000561e-01 2.864364558739741273e+00 4.319022480210551684e+00
1.119999999999999885e-01 3.005590253042140336e+00 4.503806450856862043e+00
1.140000000000000735e-01 3.140865363758680751e+00 4.722456009882389338e+00
1.159999999999999643e-01 3.353634960422584577e+00 5.063787159600517285e+00
1.180000000000000770e-01 3.509288923175110320e+00 5.239398425265203052e+00
1.199999999999999956e-01 3.713236292840514707e+00 5.569709245512192375e+00
1.220000000000000806e-01 3.894983090851878327e+00 5.886525770091289189e+00
1.239999999999999991e-01 4.048579719570706281e+00 6.085985563361186124e+00
1.260000000000000842e-01 4.176720880470722541e+00 6.203438687006915586e+00
1.280000000000000304e-01 4.303509904744712955e+00 6.366684637397698410e+00
1.299999999999999212e-01 4.474173586264994285e+00 6.584242086013973427e+00
