# gamma d2min std
4.000000000000072074e-03 6.226091906624842132e-01 4.072439800827714063e-01
5.999999999999944614e-03 6.266422609355271067e-01 4.313249878848499641e-01
7.999999999999981085e-03 6.179069414713541653e-01 4.127323605692178599e-01
1.000000000000001582e-02 6.289753763770519202e-01 4.269431341826928072e-01
1.200000000000005229e-02 6.222619147569443676e-01 4.171016841211031001e-01
1.399999999999992570e-02 6.190797295849115311e-01 4.194189279509576984e-01
1.599999999999996217e-02 6.174075157058870333e-01 4.085336728939531481e-01
1.799999999999999517e-02 6.217861669606219444e-01 4.246167021852577106e-01
2.000000000000003164e-02 6.299831535787563386e-01 4.479057459011812070e-01
2.200000000000006811e-02 6.294459174064868101e-01 4.431579904719247232e-01
2.399999999999994152e-02 6.343668534051452035e-01 4.412663037185688419e-01
2.599999999999997799e-02 6.406487511166352178e-01 4.440363393619912724e-01
2.800000000000001446e-02 6.475750634331597366e-01 4.693145872668972873e-01
3.000000000000004399e-02 6.453836973327019555e-01 4.520221863874660517e-01
3.199999999999992434e-02 6.468224139026987896e-01 4.688187115646123559e-01
3.399999999999996081e-02 6.478629851483586055e-01 4.491235430703390819e-01
3.599999999999999034e-02 6.463982731514362756e-01 4.566003650365600963e-01
3.800000000000002681e-02 6.566463489208490545e-01 4.762435610097940364e-01
4.000000000000006328e-02 6.661876005385890531e-01 5.086265956803471822e-01
4.199999999999994016e-02 6.718542225043403482e-01 5.127309105462224403e-01
4.399999999999997663e-02 6.738693045987216301e-01 5.229264198479096626e-01
4.600000000000001310e-02 6.817953970288824772e-01 5.401603484799839539e-01
4.800000000000004263e-02 6.929262063861270082e-01 5.684282386742716131e-01
5.000000000000007910e-02 7.019383036241318985e-01 5.809328878418555941e-01
5.199999999999995598e-02 7.042846343809184839e-01 6.053239206789747806e-01
5.399999999999999245e-02 7.124299674696179530e-01 6.159277805569032260e-01
5.600000000000002892e-02 7.260122277185921957e-01 6.447751049069779805e-01
5.800000000000005845e-02 7.333154505188606009e-01 6.533847200130949995e-01
5.999999999999993533e-02 7.499006930318812270e-01 6.695429964634403985e-01
6.199999999999997180e-02 7.629158791212909962e-01 6.990414144095664639e-01
6.400000000000000133e-02 7.650381574850063648e-01 7.096863845607769283e-01
6.600000000000004474e-02 7.804808060487690158e-01 7.444281878411461717e-01
6.800000000000007427e-02 7.903948488616634460e-01 7.583315584252775521e-01
6.999999999999995115e-02 8.111065276081123043e-01 8.171404314536976354e-01
7.199999999999998068e-02 8.262068246843434771e-01 8.710152610051390409e-01
7.400000000000002409e-02 8.437612578835227417e-01 8.826072062025349663e-01
7.600000000000005362e-02 8.712854644708806218e-01 9.562199080764159920e-01
7.799999999999993050e-02 8.941078888158932036e-01 1.003866922788321681e+00
7.999999999999997391e-02 8.974749150094696315e-01 9.882387439489265235e-01
8.200000000000000344e-02 9.364990393742109731e-01 1.054469787389003210e+00
8.400000000000003297e-02 9.576030580867266329e-01 1.103923338539481991e+00
8.600000000000009026e-02 9.739216408104482969e-01 1.122184115102043966e+00
8.799999999999995326e-02 9.901234609256629460e-01 1.194247095954640736e+00
8.999999999999998279e-02 1.038754460692866255e+00 1.303640581858563241e+00
9.200000000000002620e-02 1.103606830263573313e+00 1.422477862811062588e+00
9.400000000000005573e-02 1.120358374350931330e+00 1.434850981356555089e+00
9.599999999999993261e-02 1.158011623473011342e+00 1.565591049733070506e+00
9.799999999999996214e-02 1.219757920671559193e+00 1.658744537383743944e+00
1.000000000000000056e-01 1.273487411584595774e+00 1.819594049569245753e+00
1.020000000000000351e-01 1.334814863310842981e+00 1.994439260031210193e+00
1.040000000000000785e-01 1.392291924197049058e+00 2.068446024563188601e+00
1.059999999999999415e-01 1.455667937073863882e+00 2.210782724110592401e+00
1.079999999999999849e-01 1.503016673640704015e+00 2.278948086534570816e+00
1.100000000000000144e-01 1.568496899268071232e+00 2.438570512071252860e+00
1.120000000000000578e-01 1.672771508883759362e+00 2.671498567020524906e+00
1.139999999999999208e-01 1.708416653119081419e+00 2.669133022892701490e+00
1.159999999999999643e-01 1.786153328975299992e+00 2.785865188824684591e+00
1.179999999999999938e-01 1.834856685789535868e+00 2.900854648583051532e+00
1.200000000000000372e-01 1.996206577322048759e+00 3.215752467384930036e+00
1.220000000000000667e-01 2.107356050761521438e+00 3.488853756121241378e+00
1.239999999999999436e-01 2.381207408493134281e+00 4.223725998819676697e+00
1.259999999999999731e-01 3.408602611996923049e+00 6.616498041972262101e+00
1.280000000000000027e-01 4.721708551136363674e+00 1.049786855034686539e+01
1.300000000000000600e-01 5.410316275662878205e+00 1.268296577103037137e+01
1.320000000000000895e-01 5.710817630703520109e+00 1.370931360835665558e+01
1.339999999999999247e-01 5.956511882342960362e+00 1.446865264166958553e+01
1.359999999999999820e-01 6.190953780746922597e+00 1.504411323338130302e+01
1.380000000000000393e-01 6.391199104525726149e+00 1.553820103052820301e+01
1.399999999999999301e-01 6.566353922263652443e+00 1.599801750685552904e+01
1.419999999999999318e-01 6.697746115021306679e+00 1.631459325296108176e+01
1.439999999999999614e-01 6.852772887083728115e+00 1.673445448378223332e+01
1.460000000000000187e-01 7.075136582790800155e+00 1.739034233788821027e+01
1.480000000000000482e-01 7.244069605930397060e+00 1.771369428357517251e+01
1.499999999999999112e-01 7.395128409501262823e+00 1.814607676209211462e+01
1.519999999999999407e-01 7.517269558694366083e+00 1.847572182196486423e+01
1.539999999999999980e-01 7.682817040682214049e+00 1.886661055337802395e+01
1.559999999999999998e-01 7.782538730312895225e+00 1.905474535711947581e+01
1.580000000000000571e-01 7.936731362531566525e+00 1.949595475858557236e+01
1.599999999999999478e-01 8.116130234280303668e+00 1.985144010731394815e+01
1.619999999999999774e-01 8.257361916524621037e+00 2.019406538935784212e+01
1.640000000000000069e-01 8.429132559949099601e+00 2.051770823250782882e+01
1.660000000000000364e-01 8.599910176826863761e+00 2.098182278363389841e+01
1.680000000000000659e-01 8.751244617335462550e+00 2.133985991343452326e+01
1.699999999999999567e-01 8.999219695178345191e+00 2.200920354549803193e+01
1.719999999999999862e-01 9.101587635262783138e+00 2.230352909323032051e+01
1.740000000000000158e-01 9.310376984617660057e+00 2.280558742268750194e+01
1.760000000000000453e-01 9.517483357794745302e+00 2.330384037432942534e+01
