# gamma d2min std
4.000000000000019165e-03 6.542363577967170718e-01 4.207584830826170963e-01
6.000000000000029615e-03 6.523928366931028844e-01 4.179058676103106773e-01
8.000000000000038330e-03 6.493149800840434249e-01 4.240892640725112961e-01
1.000000000000004878e-02 6.566077943201545919e-01 4.215060214063454103e-01
1.200000000000005923e-02 6.604209803858901440e-01 4.188106009343037783e-01
1.400000000000006795e-02 6.580773582169349156e-01 4.408922218142318772e-01
1.600000000000007666e-02 6.617129133956755060e-01 4.382053979627012485e-01
1.799999999999992578e-02 6.586276187855113484e-01 4.316407421624122165e-01
1.999999999999993450e-02 6.658357270123106408e-01 4.401441567838001445e-01
2.199999999999994321e-02 6.617447056976010211e-01 4.419182707048648906e-01
2.399999999999995540e-02 6.621207234730113189e-01 4.414845007045687941e-01
2.599999999999996411e-02 6.724002708333333134e-01 4.686944714394303824e-01
2.799999999999997283e-02 6.755520673137624943e-01 4.549039112551830910e-01
2.999999999999998501e-02 6.779329725102588577e-01 4.529247487559751040e-01
3.199999999999999373e-02 6.716949571713227707e-01 4.574877218027922909e-01
3.400000000000000244e-02 6.875191248461174354e-01 5.091632353684746315e-01
3.600000000000001116e-02 6.967279722399777331e-01 5.171706646009285313e-01
3.800000000000001987e-02 6.979506606435449401e-01 5.091797258976769047e-01
4.000000000000003553e-02 6.971621471058239150e-01 4.923746102651700429e-01
4.200000000000004424e-02 7.034335951290245914e-01 5.324657591158997727e-01
4.400000000000005296e-02 7.065618353732638912e-01 5.287515513829261771e-01
4.600000000000006167e-02 7.149097277521307969e-01 5.406408828724923454e-01
4.800000000000007039e-02 7.191175891670612552e-01 5.595489531125814597e-01
5.000000000000007910e-02 7.234907885692866136e-01 5.545663676129950481e-01
5.199999999999992822e-02 7.342267504281092538e-01 5.672882107260336371e-01
5.399999999999993694e-02 7.485069263198390610e-01 6.347705414756247277e-01
5.599999999999994565e-02 7.426536861643779908e-01 6.137009381734329638e-01
5.799999999999995437e-02 7.633067079407356292e-01 6.407492442195982241e-01
5.999999999999997002e-02 7.716900584990529222e-01 6.722521542499940717e-01
6.199999999999997874e-02 7.874949898437499929e-01 6.955442706953269827e-01
6.399999999999998745e-02 8.002701440261995591e-01 7.821788297447546112e-01
6.599999999999998923e-02 8.065546714784562754e-01 7.459949280768847224e-01
6.800000000000000488e-02 8.119549736091382641e-01 7.559066578641232548e-01
7.000000000000002054e-02 8.335441919073547368e-01 8.238686210672203636e-01
7.200000000000002232e-02 8.341087193063447813e-01 7.987540971577221649e-01
7.400000000000003797e-02 8.629736389855586776e-01 8.873757877112634640e-01
7.600000000000003975e-02 8.601371167554449082e-01 8.536725168754690785e-01
7.800000000000005540e-02 8.971248983112373176e-01 9.243263482401935516e-01
8.000000000000007105e-02 9.219496820864898634e-01 1.006941765444210102e+00
8.199999999999990630e-02 9.526112598800505760e-01 1.037917253016168884e+00
8.399999999999992195e-02 9.625157281309184576e-01 1.124422668575842499e+00
8.599999999999993761e-02 9.872957651278408964e-01 1.195289072484813975e+00
8.799999999999993938e-02 1.001611875317629519e+00 1.212652616059731070e+00
8.999999999999994116e-02 1.039280224149700116e+00 1.308120997372092198e+00
9.199999999999995681e-02 1.087615231484769573e+00 1.385625114942687031e+00
9.399999999999997247e-02 1.110855207546164847e+00 1.463389625919869541e+00
9.599999999999997424e-02 1.140798390962357800e+00 1.631269144662257808e+00
9.799999999999998990e-02 1.197581881904987489e+00 1.793822564677201692e+00
1.000000000000000056e-01 1.262167524863873069e+00 1.909111396904027869e+00
1.020000000000000073e-01 1.321564787681502651e+00 2.063762916699440897e+00
1.040000000000000230e-01 1.381032185665246104e+00 2.239925752330158115e+00
1.060000000000000248e-01 1.516583754060132572e+00 2.640826274079749236e+00
1.080000000000000404e-01 2.216869765404040127e+00 4.789011300478095201e+00
1.100000000000000422e-01 4.086181675232796628e+00 1.098761950457461012e+01
1.120000000000000578e-01 4.877590294268860482e+00 1.351016675333967676e+01
1.140000000000000735e-01 5.311671532155539666e+00 1.473801728605220518e+01
1.159999999999999087e-01 5.557939379397491386e+00 1.544301790115590300e+01
1.179999999999999244e-01 5.782431170987216262e+00 1.604058482691065279e+01
1.199999999999999400e-01 5.963823264993686202e+00 1.662173330536754534e+01
1.219999999999999279e-01 6.098684027815261643e+00 1.699807177265202895e+01
1.239999999999999575e-01 6.243498768821021727e+00 1.748574703378651662e+01
1.259999999999999731e-01 6.435464675621449082e+00 1.804067318026500999e+01
1.279999999999999749e-01 6.503209512598642661e+00 1.822889523160667125e+01
1.299999999999999767e-01 6.594700331135574523e+00 1.851080787770746738e+01
1.319999999999999785e-01 6.655087711787800231e+00 1.869755640717298562e+01
1.340000000000000080e-01 6.834553830099825866e+00 1.922827919309119338e+01
1.360000000000000098e-01 6.915528012636126043e+00 1.941676656226636410e+01
1.380000000000000115e-01 7.143661816820550570e+00 2.011731843901508654e+01
1.400000000000000411e-01 7.249093489551768243e+00 2.037718320633062774e+01
1.420000000000000151e-01 7.442223742773438566e+00 2.094012014395192978e+01
1.440000000000000446e-01 7.616209495253314365e+00 2.136003089605733152e+01
1.460000000000000742e-01 7.929964707796718137e+00 2.238295358127831491e+01
1.480000000000000759e-01 8.207607146634311235e+00 2.317037693803704812e+01
1.499999999999999112e-01 8.484163252982954262e+00 2.380122064650007729e+01
1.520000000000000795e-01 8.777026054797980592e+00 2.455116525641981085e+01
1.539999999999999425e-01 9.171559272766730331e+00 2.573681148633394855e+01
1.559999999999999165e-01 9.405198090510573650e+00 2.632820303475626389e+01
1.579999999999999460e-01 9.564905217826703776e+00 2.681397242189722618e+01
1.599999999999999756e-01 9.825781056737294961e+00 2.756383919340458277e+01
1.619999999999999774e-01 1.008762764921875110e+01 2.843473523957104376e+01
1.639999999999999791e-01 1.031348782215711601e+01 2.909122663217485538e+01
1.659999999999999809e-01 1.045861126892360993e+01 2.942349296457558339e+01
1.680000000000000104e-01 1.066244363501025916e+01 3.014277785964940293e+01
1.700000000000000122e-01 1.078375489732086834e+01 3.052358873307197129e+01
1.720000000000000140e-01 1.087553025544112906e+01 3.077107166559126483e+01
1.740000000000000435e-01 1.115344523253432740e+01 3.146425263930188976e+01
1.760000000000000175e-01 1.142363960022687941e+01 3.230195684164434056e+01
1.780000000000000471e-01 1.158154221507852100e+01 3.265493517835456316e+01
1.800000000000000766e-01 1.180828733619397042e+01 3.333626072082788028e+01
1.820000000000000784e-01 1.204877169214015531e+01 3.409382028394858821e+01
1.839999999999999136e-01 1.228008801790561755e+01 3.477715699209741018e+01
1.860000000000000264e-01 1.242083560995896363e+01 3.510116972329461049e+01
1.879999999999999449e-01 1.253101720548058751e+01 3.533294314471991271e+01
1.899999999999999467e-01 1.274311249355468867e+01 3.586249212374809758e+01
1.919999999999999485e-01 1.279174432517755733e+01 3.592865382115098782e+01
1.939999999999999780e-01 1.290335487035195428e+01 3.623521785432861719e+01
1.959999999999999798e-01 1.299697619735242959e+01 3.649544264897384949e+01
1.979999999999999816e-01 1.330133105358073031e+01 3.737300760421371848e+01
2.000000000000000111e-01 1.351237043824376727e+01 3.804703217046156993e+01
