# gamma d2min std
3.999999999999952378e-03 6.765976861584596103e-01 4.730364103993398017e-01
5.999999999999929001e-03 6.785752013967802920e-01 4.638465489977631195e-01
8.000000000000067821e-03 6.802566425722065269e-01 4.659972010259945674e-01
1.000000000000004358e-02 6.818805009923454286e-01 4.608650125729737979e-01
1.200000000000001933e-02 6.914470515190971334e-01 5.384148848504003437e-01
1.399999999999999682e-02 6.883275388967804442e-01 5.111902195803005311e-01
1.599999999999997258e-02 6.919597718375158912e-01 5.028273809919679982e-01
1.799999999999995007e-02 6.973944436809500491e-01 5.116358288223435968e-01
1.999999999999992409e-02 6.976403680752839565e-01 5.071258080117503342e-01
2.200000000000006464e-02 7.079300795987215622e-01 5.662099536367929398e-01
2.400000000000003866e-02 7.024637193438290073e-01 5.849495534111660566e-01
2.600000000000001615e-02 7.187260203914139778e-01 6.224118266598470672e-01
2.799999999999999364e-02 7.250638530066286780e-01 6.179808022261696898e-01
2.999999999999996766e-02 7.283333830946180365e-01 6.297025476836479729e-01
3.199999999999994515e-02 7.266907698370423940e-01 6.189668283629917722e-01
3.400000000000008571e-02 7.330157610124683476e-01 6.494523638716220848e-01
3.600000000000005973e-02 7.541801833372790975e-01 6.896367218861069182e-01
3.800000000000003375e-02 7.547343767617581411e-01 6.639659820907147791e-01
4.000000000000000777e-02 7.676004862748578850e-01 7.039624994481509246e-01
4.199999999999999567e-02 7.572582645576861893e-01 6.844221151410592174e-01
4.399999999999996275e-02 7.693632622238005814e-01 6.948164242915616517e-01
4.599999999999994371e-02 7.885489171302871858e-01 7.519066708893218376e-01
4.799999999999991773e-02 8.072673042929293663e-01 8.061408598290445982e-01
5.000000000000005829e-02 8.016293965139678068e-01 7.725391820450034919e-01
5.200000000000003231e-02 8.159510709674875351e-01 8.027635565257777994e-01
5.400000000000000633e-02 8.257500897549715502e-01 7.997411400559384376e-01
5.599999999999998729e-02 8.397409223208648354e-01 8.468804874039547181e-01
5.799999999999996131e-02 8.466280213482479944e-01 8.840578042953997073e-01
