# gamma d2min
1.999999999999937158e-03 6.702566368055554724e-01
4.000000000000036512e-03 6.748767749999999843e-01
5.999999999999973237e-03 6.649727019452335020e-01
8.000000000000073025e-03 6.728037196575126222e-01
1.000000000000000888e-02 6.734005377880364351e-01
1.199999999999994647e-02 6.778776311138731137e-01
1.400000000000004539e-02 6.790566538036615363e-01
1.599999999999998299e-02 6.789110553819445171e-01
1.799999999999991884e-02 6.832258560961174121e-01
2.000000000000001776e-02 6.849254871113479304e-01
2.199999999999995709e-02 6.903481071515940037e-01
2.400000000000005601e-02 6.925321851483584590e-01
2.599999999999999187e-02 6.972839037602588386e-01
2.799999999999993119e-02 6.966614084023832199e-01
3.000000000000003011e-02 7.015382950284091423e-01
3.199999999999996597e-02 7.138242226976798666e-01
3.400000000000006489e-02 7.205954782690183746e-01
3.600000000000000422e-02 7.252452050189392985e-01
3.799999999999993661e-02 7.259360866043245153e-01
4.000000000000003553e-02 7.308569279691445875e-01
4.199999999999997485e-02 7.345539709083016566e-01
4.400000000000007377e-02 7.515645432488953226e-01
4.600000000000001310e-02 7.499025703657670183e-01
4.799999999999995243e-02 7.666124939650410530e-01
5.000000000000005135e-02 7.719654595111268280e-01
5.199999999999998374e-02 7.793850244771937108e-01
5.399999999999992306e-02 7.864046025785195182e-01
5.600000000000002198e-02 8.038816280046559015e-01
5.799999999999996131e-02 8.197807608842331284e-01
6.000000000000006023e-02 8.232341896602745068e-01
6.199999999999999262e-02 8.365849361801611650e-01
6.399999999999993194e-02 8.607642272766728997e-01
6.600000000000003086e-02 8.568830584438130726e-01
6.799999999999996325e-02 8.983786984098800499e-01
7.000000000000006217e-02 9.062180829150884298e-01
7.200000000000000844e-02 9.275944732599431530e-01
7.399999999999994083e-02 9.540510587989267099e-01
7.600000000000003975e-02 9.835642329308711407e-01
7.799999999999997213e-02 1.013588766512784067e+00
8.000000000000007105e-02 1.054151800716146115e+00
8.200000000000001732e-02 1.082849150834516827e+00
8.399999999999996358e-02 1.113396765139677891e+00
8.600000000000004863e-02 1.153840240536221584e+00
8.799999999999999489e-02 1.188167157258127826e+00
8.999999999999992728e-02 1.223646696314709681e+00
9.200000000000002620e-02 1.288888310963147266e+00
9.399999999999995859e-02 1.347763844235321695e+00
9.600000000000005751e-02 1.422906570004734750e+00
9.800000000000000377e-02 1.499547358727904234e+00
9.999999999999993616e-02 1.613980563425268189e+00
1.020000000000000351e-01 1.763847948918876085e+00
1.039999999999999675e-01 1.933225693335700379e+00
1.060000000000000664e-01 2.108532284822837610e+00
1.080000000000000127e-01 2.354339078306502575e+00
1.099999999999999450e-01 3.129986676813051982e+00
1.120000000000000440e-01 4.042320535953282779e+00
1.139999999999999764e-01 4.871871643584280598e+00
1.159999999999999226e-01 5.425314942970722143e+00
1.180000000000000215e-01 5.710591525114425693e+00
1.199999999999999539e-01 5.989766735681029353e+00
1.220000000000000528e-01 6.174642287776198835e+00
1.239999999999999852e-01 6.460313829831517474e+00
1.259999999999999176e-01 6.768422239610952573e+00
1.280000000000000582e-01 6.947560081044823477e+00
1.299999999999999767e-01 7.098669894466145713e+00
1.320000000000000617e-01 7.200872632891414327e+00
1.339999999999999802e-01 7.340533270245424013e+00
1.359999999999999543e-01 7.476727722026910605e+00
1.380000000000000393e-01 7.584126270752445720e+00
1.399999999999999856e-01 7.795429017566287477e+00
1.420000000000000706e-01 7.917035507337042866e+00
1.440000000000000169e-01 8.035692583566129699e+00
1.459999999999999354e-01 8.292465536263019743e+00
1.480000000000000482e-01 8.541584597648357757e+00
1.499999999999999667e-01 8.664531360201626953e+00
1.520000000000000795e-01 8.794114588044507741e+00
1.540000000000000258e-01 9.078230908666744980e+00
1.559999999999999443e-01 9.200911725467566527e+00
1.580000000000000571e-01 9.481303206151357799e+00
1.600000000000000033e-01 9.624587609447996073e+00
1.620000000000000884e-01 9.838627592106613307e+00
1.640000000000000346e-01 1.005028028567511100e+01
1.659999999999999531e-01 1.027396103987729070e+01
1.679999999999999272e-01 1.050365421408025490e+01
1.700000000000000122e-01 1.076379551517519140e+01
1.719999999999999307e-01 1.094881782167771433e+01
1.740000000000000435e-01 1.120802262525055326e+01
1.759999999999999898e-01 1.139022041183712197e+01
1.779999999999999083e-01 1.156340547552083287e+01
1.800000000000000211e-01 1.174719576643189711e+01
1.819999999999999396e-01 1.192370525033932971e+01
1.840000000000000524e-01 1.215227045628748570e+01
1.859999999999999987e-01 1.237983190355113550e+01
1.879999999999999172e-01 1.245693327848800536e+01
1.900000000000000300e-01 1.252857056448863560e+01
1.919999999999999485e-01 1.263042994885771897e+01
1.939999999999999780e-01 1.274946138179845256e+01
1.960000000000000075e-01 1.287504662354995411e+01
1.979999999999999261e-01 1.301658616669625701e+01
2.000000000000000389e-01 1.317223602539654337e+01
