# gamma	percentage
0.000000000000000000e+00 9.859974364437933403e-01
2.000000070790803816e-03 9.720323871133970117e-01
4.000000141581608500e-03 9.804763704294505722e-01
6.000000212372411448e-03 9.780406060113582267e-01
8.000001424950381815e-03 9.770663002441213330e-01
1.000000035395401908e-02 9.791772960731346398e-01
1.200000042474482290e-02 9.842112092038589610e-01
1.400000163732279500e-02 9.717076185243180841e-01
1.600000170811359881e-02 9.767415316550422943e-01
1.800000177890440090e-02 9.702461598734626325e-01
2.000000184969520645e-02 9.747929201205683958e-01
2.200000306227318028e-02 9.796644489567531977e-01
2.400000199127681755e-02 9.658617839208963884e-01
2.600000434564194926e-02 9.629388666191854851e-01
2.800000441643275481e-02 9.757672258878054006e-01
3.000000448722356036e-02 9.629388666191854851e-01
3.200000455801436244e-02 9.626140980301065575e-01
3.400000348701800318e-02 9.665113210990543546e-01
3.600000355780880179e-02 9.647250938591198643e-01
3.800000362859961428e-02 9.606654864956326589e-01
4.000000369939041289e-02 9.566058791321453425e-01
4.200000605375554807e-02 9.585544906666192411e-01
4.400000612454635363e-02 9.637507880918829706e-01
4.600000619533715918e-02 9.595287964338561348e-01
4.800000284076646334e-02 9.583921063720797218e-01
5.000000519513159852e-02 9.570930320157637894e-01
5.200000869128389852e-02 9.522215031795790985e-01
5.400000533671320962e-02 9.520591188850395792e-01
5.600000883286550962e-02 9.494609701724077144e-01
5.800000547829481379e-02 9.484866644051707096e-01
6.000000783265994897e-02 9.523838874741185068e-01
6.200000561987642489e-02 9.479995115215522627e-01
6.400000797424156007e-02 9.478371272270127434e-01
6.600000461967085730e-02 9.442646727471439849e-01
6.800000697403600636e-02 9.395555282054987023e-01
7.000000932840114154e-02 9.434527512744464994e-01
7.200000711561761746e-02 9.343592307802349728e-01
7.400000946998275264e-02 9.403674496781961878e-01
7.600000725719922856e-02 9.431279826853675718e-01
7.800000961156434987e-02 9.288381647658923157e-01
8.000000625699366097e-02 9.416665240345121202e-01
8.200000975314596097e-02 9.286757804713527964e-01
8.400001210751111003e-02 9.202317971552992359e-01
8.600000875294040725e-02 9.164969583808908471e-01
8.800001224909270725e-02 9.179584170317462988e-01
9.000001003630919705e-02 9.117878138392456755e-01
9.200001124888713966e-02 9.147107311409564678e-01
9.400001360325228872e-02 9.114630452501666369e-01
9.600000568153292668e-02 9.074034378866793205e-01
9.800000803589804799e-02 8.979851488033888662e-01
1.000000115320503619e-01 8.910026241381907575e-01
1.020000150282026619e-01 9.020447561668761827e-01
1.040000162407806322e-01 8.952246157962174822e-01
1.060000083190612702e-01 8.890540126037168589e-01
1.080000106734264192e-01 8.879173225419403348e-01
1.100000130277915544e-01 8.893787811927957865e-01
1.120000165239438544e-01 8.973356116252309000e-01
1.140000086022244924e-01 8.859687110074664362e-01
1.160000098148024628e-01 8.840200994729925377e-01
1.180000133109547766e-01 8.788238020477288082e-01
1.200000156653198979e-01 8.781742648695708420e-01
1.220000180196850470e-01 8.733027360333861511e-01
1.240000112397528498e-01 8.734651203279255594e-01
1.260000124523308063e-01 8.741146575060835255e-01
1.280000148066959553e-01 8.760632690405574241e-01
1.300000171610610766e-01 8.653459056009510375e-01
1.320000092393417146e-01 8.679440543135829023e-01
1.340000115937068637e-01 8.729779674443071125e-01
1.360000139480719850e-01 8.567395379903579578e-01
1.380000174442242988e-01 8.547909264558840592e-01
1.400000197985894479e-01 8.491074761470018828e-01
1.420000118768700859e-01 8.518680091541732669e-01
1.440000142312352349e-01 8.655082898954905568e-01
1.460000165856003562e-01 8.556028479285815447e-01
1.480000189399655053e-01 8.599872238811477887e-01
1.500000224361177914e-01 8.567395379903579578e-01
1.520000133726112646e-01 8.619358354156216873e-01
1.540000168687635784e-01 8.606367610593057549e-01
1.560000192231286997e-01 8.534918520995681268e-01
1.580000215774938488e-01 8.541413892777260930e-01
1.600000136557744868e-01 8.523551620377917137e-01
1.620000160101396081e-01 8.486203232633834359e-01
1.640000183645047571e-01 8.491074761470018828e-01
1.660000207188698784e-01 8.450478687835145664e-01
1.680000242150221923e-01 8.383901127073953852e-01
1.700000151515156932e-01 8.421249514818036630e-01
1.720000175058808145e-01 8.422873357763430713e-01
1.740000210020331006e-01 8.393644184746323900e-01
1.760000233563982497e-01 8.432616415435800761e-01
1.780000154346788876e-01 8.426121043654222209e-01
1.800000177890440367e-01 8.479707860852253587e-01
1.820000201434091303e-01 8.520303934487126751e-01
1.840000224977742793e-01 8.440735630162776726e-01
1.860000145760549450e-01 8.515432405650942282e-01
1.880000283482917145e-01 8.419625671872642547e-01
1.900000204265723802e-01 8.387148812964744238e-01
1.920000113630658534e-01 8.419625671872642547e-01
1.940000251353026228e-01 8.497570133251598490e-01
1.960000172135832885e-01 8.478084017906859504e-01
1.980000298440329209e-01 8.513808562705547089e-01
2.000000219223135312e-01 8.569019222848974771e-01
