# gamma	percentage	time
0.000000000000000000e+00 9.715452342297785648e-01 0.000000000000000000e+00
0.000000000000000000e+00 9.845359777929378886e-01 1.000000000000000000e+02
0.000000000000000000e+00 9.793396803676741591e-01 2.000000000000000000e+02
0.000000000000000000e+00 9.741433829424104296e-01 3.000000000000000000e+02
0.000000000000000000e+00 9.908689652799780312e-01 4.000000000000000000e+02
0.000000000000000000e+00 9.785277588949766736e-01 5.000000000000000000e+02
0.000000000000000000e+00 9.757672258878054006e-01 6.000000000000000000e+02
0.000000000000000000e+00 9.889203537455041326e-01 7.000000000000000000e+02
0.000000000000000000e+00 9.892451223345831712e-01 8.000000000000000000e+02
0.000000000000000000e+00 9.853478992656353741e-01 9.000000000000000000e+02
0.000000000000000000e+00 9.793396803676741591e-01 1.000000000000000000e+03
0.000000000000000000e+00 9.736562300587919827e-01 1.100000000000000000e+03
0.000000000000000000e+00 9.824249819639244707e-01 1.200000000000000000e+03
0.000000000000000000e+00 9.817754447857665046e-01 1.300000000000000000e+03
0.000000000000000000e+00 9.821002133748455432e-01 1.400000000000000000e+03
0.000000000000000000e+00 9.848607463820169272e-01 1.500000000000000000e+03
0.000000000000000000e+00 9.903818123963595843e-01 1.600000000000000000e+03
0.000000000000000000e+00 9.827497505530035093e-01 1.700000000000000000e+03
0.000000000000000000e+00 9.855102835601748934e-01 1.800000000000000000e+03
0.000000000000000000e+00 9.892451223345831712e-01 1.900000000000000000e+03
0.000000000000000000e+00 9.903818123963595843e-01 2.000000000000000000e+03
0.000000000000000000e+00 9.911937338690570698e-01 2.100000000000000000e+03
0.000000000000000000e+00 9.850231306765563355e-01 2.200000000000000000e+03
0.000000000000000000e+00 9.955781098216233138e-01 2.300000000000000000e+03
0.000000000000000000e+00 9.973643370615576931e-01 2.400000000000000000e+03
0.000000000000000000e+00 9.939542668762284539e-01 2.500000000000000000e+03
0.000000000000000000e+00 9.968771841779392462e-01 2.600000000000000000e+03
0.000000000000000000e+00 9.895698909236620988e-01 2.700000000000000000e+03
0.000000000000000000e+00 9.933047296980704877e-01 2.800000000000000000e+03
0.000000000000000000e+00 9.907065809854386229e-01 2.900000000000000000e+03
0.000000000000000000e+00 9.788525274840557122e-01 3.000000000000000000e+03
0.000000000000000000e+00 9.833992877311614755e-01 3.100000000000000000e+03
0.000000000000000000e+00 9.970395684724787655e-01 3.200000000000000000e+03
0.000000000000000000e+00 1.004996398904913768e+00 3.300000000000000000e+03
0.000000000000000000e+00 9.928175768144519298e-01 3.400000000000000000e+03
0.000000000000000000e+00 1.000449638657808116e+00 3.500000000000000000e+03
0.000000000000000000e+00 9.949285726434653476e-01 3.600000000000000000e+03
0.000000000000000000e+00 9.978514899451762510e-01 3.700000000000000000e+03
0.000000000000000000e+00 9.972019527670182848e-01 3.800000000000000000e+03
0.000000000000000000e+00 9.970395684724787655e-01 3.900000000000000000e+03
0.000000000000000000e+00 9.983386428287946979e-01 4.000000000000000000e+03
0.000000000000000000e+00 9.921680396362939636e-01 4.100000000000000000e+03
0.000000000000000000e+00 9.947661883489258283e-01 4.200000000000000000e+03
0.000000000000000000e+00 1.004022093137676874e+00 4.300000000000000000e+03
0.000000000000000000e+00 9.972019527670182848e-01 4.400000000000000000e+03
0.000000000000000000e+00 9.918432710472150360e-01 4.500000000000000000e+03
0.000000000000000000e+00 9.928175768144519298e-01 4.600000000000000000e+03
0.000000000000000000e+00 9.954157255270837945e-01 4.700000000000000000e+03
0.000000000000000000e+00 9.887579694509647243e-01 4.800000000000000000e+03
0.000000000000000000e+00 9.902194281018200650e-01 4.900000000000000000e+03
0.000000000000000000e+00 9.952533412325443862e-01 5.000000000000000000e+03
0.000000000000000000e+00 1.007269779028466816e+00 5.100000000000000000e+03
0.000000000000000000e+00 9.936294982871494152e-01 5.200000000000000000e+03
0.000000000000000000e+00 9.972019527670182848e-01 5.300000000000000000e+03
0.000000000000000000e+00 1.004346861726755913e+00 5.400000000000000000e+03
0.000000000000000000e+00 9.874588950946487920e-01 5.500000000000000000e+03
0.000000000000000000e+00 9.967147998833997269e-01 5.600000000000000000e+03
0.000000000000000000e+00 1.006133088966690181e+00 5.700000000000000000e+03
0.000000000000000000e+00 9.993129485960315916e-01 5.800000000000000000e+03
0.000000000000000000e+00 9.993129485960315916e-01 5.900000000000000000e+03
0.000000000000000000e+00 1.002885403075900461e+00 6.000000000000000000e+03
0.000000000000000000e+00 1.005158783199453287e+00 6.100000000000000000e+03
0.000000000000000000e+00 1.001748713014124048e+00 6.200000000000000000e+03
