# gamma d2min
2.000000000000062492e-03 6.733978827888257301e-01
3.999999999999962787e-03 6.656882183258364671e-01
6.000000000000025278e-03 6.745386124092487279e-01
7.999999999999925573e-03 6.661546859098800288e-01
9.999999999999988065e-03 6.701272703716856238e-01
1.200000000000005056e-02 6.747718530362215583e-01
1.399999999999995172e-02 6.791638368686870875e-01
1.600000000000001421e-02 6.842856410550821611e-01
1.800000000000007497e-02 6.859508346413351054e-01
1.999999999999997613e-02 6.864831334655145945e-01
2.200000000000004036e-02 6.864466829249525892e-01
2.399999999999994152e-02 7.057497017440025333e-01
2.600000000000000228e-02 6.983721815064708460e-01
2.800000000000006650e-02 6.946033987945866572e-01
2.999999999999996420e-02 7.014608747632575803e-01
3.200000000000002842e-02 7.128230120541351189e-01
3.399999999999992611e-02 7.151904327217487589e-01
3.599999999999999034e-02 7.237974862018623501e-01
3.800000000000005457e-02 7.318105028330176287e-01
3.999999999999995226e-02 7.302613636620107762e-01
4.200000000000001649e-02 7.474414897076232522e-01
4.400000000000008071e-02 7.442883618055555761e-01
4.599999999999997841e-02 7.590161906565655592e-01
4.800000000000004263e-02 7.779636422683869901e-01
4.999999999999994033e-02 7.807719396148989910e-01
5.200000000000000455e-02 7.952551589034879687e-01
5.400000000000006878e-02 7.870052070588698934e-01
5.599999999999996647e-02 7.956360160373263657e-01
5.800000000000002376e-02 8.177279532413983532e-01
5.999999999999992839e-02 8.299937288667929014e-01
6.199999999999998568e-02 8.460530434027777602e-01
6.400000000000005684e-02 8.518131912622316504e-01
6.599999999999996148e-02 8.708590728239423706e-01
6.800000000000001876e-02 8.806540320647884279e-01
6.999999999999993727e-02 8.919466789614897140e-01
7.199999999999998068e-02 9.125795130543719047e-01
7.400000000000005185e-02 9.262292094578598034e-01
7.599999999999994260e-02 9.570199464745107187e-01
7.799999999999999989e-02 9.687569432567866290e-01
8.000000000000007105e-02 9.849671917613636030e-01
8.199999999999996181e-02 1.022957535091145731e+00
8.400000000000003297e-02 1.098524392150015627e+00
8.599999999999995148e-02 1.140703246336411070e+00
8.799999999999999489e-02 1.159428600666824627e+00
9.000000000000006606e-02 1.205744209378945886e+00
9.199999999999995681e-02 1.225464328424873628e+00
9.400000000000002798e-02 1.293982825086805510e+00
9.600000000000008527e-02 1.325663488083964392e+00
9.799999999999998990e-02 1.389106442574179257e+00
1.000000000000000472e-01 1.425655298804450632e+00
1.019999999999999518e-01 1.537940994426688857e+00
1.040000000000000091e-01 1.615313269339883506e+00
1.060000000000000803e-01 1.736383278572837696e+00
1.079999999999999710e-01 1.881715727732402366e+00
1.100000000000000422e-01 2.229886045622238466e+00
1.119999999999999329e-01 3.566281466001815836e+00
1.140000000000000041e-01 4.809733079851246984e+00
1.160000000000000475e-01 5.334417591370738343e+00
1.179999999999999660e-01 5.674883215181108831e+00
1.200000000000000094e-01 5.949214388660037933e+00
1.219999999999999279e-01 6.074038170438763373e+00
1.239999999999999714e-01 6.261707101878156934e+00
1.260000000000000564e-01 6.384103844596353383e+00
1.279999999999999194e-01 6.523275082684264703e+00
1.300000000000000044e-01 6.728190476087042349e+00
1.320000000000000895e-01 6.966527864672112713e+00
1.339999999999999802e-01 7.143497566453599568e+00
1.360000000000000375e-01 7.405336087541430246e+00
1.379999999999999283e-01 7.617138255103771627e+00
1.400000000000000133e-01 7.758552289676058145e+00
1.420000000000000706e-01 7.870636044882417082e+00
1.439999999999999614e-01 8.008353415088382832e+00
1.460000000000000187e-01 8.211628505581202830e+00
1.480000000000001037e-01 8.378823334830729053e+00
1.499999999999999944e-01 8.568124547845643590e+00
1.520000000000000240e-01 8.682890457078599411e+00
1.539999999999999425e-01 8.901583055967881464e+00
1.559999999999999998e-01 9.030053794813367674e+00
1.580000000000000848e-01 9.179902913827730160e+00
1.599999999999999478e-01 9.380742497837752936e+00
1.620000000000000329e-01 9.641047388109612370e+00
1.639999999999999236e-01 9.801851970770201206e+00
1.660000000000000087e-01 9.916133274573862622e+00
1.680000000000000659e-01 9.987345381437421565e+00
1.699999999999999567e-01 1.020721863584082989e+01
1.720000000000000417e-01 1.037062594169231389e+01
1.739999999999999325e-01 1.053343865265348711e+01
1.759999999999999898e-01 1.074748742468237239e+01
1.780000000000000471e-01 1.095770515023476754e+01
1.799999999999999656e-01 1.106468726838699368e+01
1.820000000000000229e-01 1.135649693645241420e+01
1.840000000000000802e-01 1.150163538925584206e+01
1.859999999999999709e-01 1.165895813307094286e+01
1.880000000000000560e-01 1.193024146648911277e+01
1.899999999999999467e-01 1.215678819364543983e+01
1.920000000000000040e-01 1.237757867160866354e+01
1.939999999999999780e-01 1.258086101475694463e+01
1.959999999999999798e-01 1.297474567684461810e+01
1.980000000000000371e-01 1.320514319456873409e+01
2.000000000000000111e-01 1.343458326620107535e+01
