# gamma d2min std
3.999999999999944572e-03 6.653886538016887675e-01 5.074943660947592861e-01
6.000000000000079922e-03 6.641198208550346260e-01 4.964287975397291275e-01
8.000000000000052208e-03 6.676055848248106939e-01 4.926957019698575690e-01
1.000000000000002449e-02 6.718681160649463413e-01 5.303964182114445647e-01
1.199999999999999678e-02 6.810985473701863802e-01 5.616100382872583063e-01
1.399999999999996907e-02 6.833827140940655909e-01 5.391022859274359202e-01
1.599999999999994135e-02 6.852335743746054142e-01 5.610506930590268837e-01
1.800000000000007497e-02 6.969005678089489342e-01 5.902345677164642090e-01
2.000000000000004899e-02 6.915871684205334713e-01 5.924716110439786076e-01
2.200000000000001954e-02 6.962439933120265767e-01 5.754433303327982641e-01
2.399999999999999356e-02 6.961807022372159537e-01 6.167207592880916689e-01
2.599999999999996411e-02 7.091601794191919605e-01 6.198058215090432865e-01
2.799999999999993813e-02 7.135117373776830307e-01 6.343682563822338194e-01
3.000000000000007869e-02 7.247043059106692553e-01 6.457884511113941572e-01
3.200000000000004924e-02 7.311227143130524242e-01 6.513628075698081332e-01
3.400000000000000938e-02 7.279681197107795709e-01 6.371710213291127411e-01
3.599999999999999034e-02 7.266425679154829842e-01 6.407210468276209880e-01
3.799999999999996436e-02 7.390905516374683959e-01 6.973983077907198735e-01
3.999999999999993144e-02 7.532464540660511743e-01 6.981805900947228860e-01
4.200000000000007200e-02 7.711967392440024494e-01 7.160842908768121351e-01
4.400000000000003908e-02 7.718275628235479191e-01 7.554672846146864851e-01
4.600000000000001310e-02 8.026788740333017369e-01 8.472694296257629043e-01
4.799999999999998712e-02 8.127207048098169517e-01 8.699444778928230315e-01
4.999999999999996114e-02 8.346301235420612308e-01 9.700365832322966897e-01
5.199999999999992822e-02 8.579085225359059930e-01 1.025712898773547543e+00
5.400000000000006878e-02 8.596153555358271303e-01 1.058079363033739506e+00
5.600000000000003586e-02 8.838837061237373449e-01 1.101870204129763886e+00
5.800000000000000988e-02 9.076820737610480361e-01 1.153905480557415597e+00
5.999999999999998390e-02 9.122383865096275191e-01 1.182873944579854841e+00
6.199999999999995792e-02 9.426659690873578912e-01 1.212696820363414085e+00
6.399999999999993194e-02 9.486898630089962703e-01 1.169603605856889716e+00
6.600000000000007250e-02 9.627128015447444787e-01 1.173763286531224859e+00
6.800000000000001876e-02 1.000609473125789073e+00 1.273677613068825654e+00
6.999999999999999278e-02 1.037156957802635837e+00 1.368839722376478996e+00
7.199999999999998068e-02 1.066643134047506214e+00 1.571426652676157554e+00
7.399999999999995470e-02 1.101861802704782178e+00 1.636264733467865051e+00
7.599999999999992872e-02 1.137556484649226540e+00 1.698996220210118313e+00
7.800000000000005540e-02 1.147930833382654781e+00 1.684820737685764236e+00
8.000000000000002942e-02 1.170927792073074514e+00 1.704938066254949147e+00
8.200000000000000344e-02 1.241320638859296110e+00 1.830417575116122686e+00
8.399999999999997746e-02 1.296553059949100639e+00 2.005946628913616525e+00
8.599999999999995148e-02 1.371204559603850903e+00 2.141383977736810440e+00
8.799999999999992550e-02 1.405351692556423560e+00 2.188792223678631021e+00
9.000000000000005218e-02 1.456899998916903582e+00 2.287407901975958335e+00
9.200000000000002620e-02 1.516161757615214878e+00 2.465484335886969358e+00
9.400000000000000022e-02 1.593265169537168457e+00 2.610579442845958553e+00
9.599999999999997424e-02 1.636858582763178305e+00 2.659524350504368417e+00
9.799999999999994826e-02 1.692539775159800808e+00 2.744586868335801455e+00
1.000000000000000749e-01 1.770183174788904523e+00 2.843037755071447403e+00
1.020000000000000490e-01 1.830460305681817834e+00 2.966001139023307420e+00
1.040000000000000230e-01 1.896940871575126364e+00 3.044306491466102216e+00
