# gamma d2min std
3.999999999999997481e-03 6.923233612807764281e-01 4.931098286717144896e-01
5.999999999999995788e-03 7.018388045198074021e-01 5.113355028119681567e-01
7.999999999999994962e-03 7.016458713995422647e-01 4.916261967942445188e-01
9.999999999999993269e-03 6.978089809876104610e-01 4.830256593813824217e-01
1.199999999999999158e-02 7.001845096689552905e-01 4.955335388543924968e-01
1.399999999999999162e-02 7.051256212140941670e-01 5.104079823956022555e-01
1.599999999999998992e-02 7.163285554884786244e-01 6.038914503566831238e-01
1.799999999999998823e-02 7.249305584753789056e-01 6.768199832494354862e-01
1.999999999999998654e-02 7.211513353574811047e-01 6.346062167621767669e-01
2.199999999999998485e-02 7.343434660590278940e-01 6.110684457285621152e-01
2.399999999999998315e-02 7.287123222281407520e-01 5.885038559485419318e-01
2.599999999999998146e-02 7.316816564808238388e-01 6.076639729561102987e-01
2.799999999999998324e-02 7.401310960089171331e-01 6.258905657220003027e-01
2.999999999999998154e-02 7.490014899522569047e-01 6.513100158582350030e-01
3.199999999999997985e-02 7.556370624053029283e-01 6.575456602419170737e-01
3.399999999999997469e-02 7.675021857658615998e-01 7.120328566585193419e-01
3.599999999999997646e-02 7.796714044132735388e-01 7.459440585993082351e-01
3.799999999999997824e-02 7.838958178977273317e-01 7.236910166276906420e-01
3.999999999999997308e-02 7.933868092250631054e-01 7.644326824767588846e-01
4.199999999999997485e-02 7.964509826783459090e-01 8.138497900661016971e-01
4.399999999999996969e-02 8.213991034781408240e-01 8.740898506188407024e-01
4.599999999999997147e-02 8.364913033262308950e-01 8.857814530054087809e-01
4.799999999999996630e-02 8.468651638809974180e-01 9.164840765023540836e-01
4.999999999999996808e-02 8.566891888277302636e-01 9.655184359402048111e-01
5.199999999999996292e-02 8.853514383917298058e-01 1.023248218129823472e+00
5.399999999999996469e-02 9.065602774621212001e-01 1.061065356667076465e+00
5.599999999999996647e-02 9.231393043225221140e-01 1.107141357239768364e+00
5.799999999999996131e-02 9.725220945707070408e-01 1.234769327633565617e+00
5.999999999999996309e-02 9.791643702690973061e-01 1.240404759960097580e+00
6.199999999999995792e-02 1.013441049613320599e+00 1.301975243776579694e+00
6.399999999999995970e-02 1.026309806125710100e+00 1.304936027525740894e+00
