# gamma	percentage
0.000000000000000000e+00 1.005298282392107945e+00
2.000000454550230396e-03 1.007573448242979230e+00
3.999999767014455164e-03 1.014236433949102123e+00
6.000000221564684259e-03 1.004973258699126459e+00
7.999999534028908593e-03 1.007085912703506780e+00
9.999999988579139423e-03 9.983102729930034558e-01
1.199999930104336462e-02 1.009523590400868809e+00
1.399999975559359545e-02 1.003998187620181559e+00
1.599999906805782066e-02 9.984727848394943095e-01
1.799999952260804975e-02 1.001723021769310273e+00
1.999999883507227322e-02 1.005948329778071137e+00
2.200000043170850794e-02 1.000260415150893145e+00
2.399999860208672925e-02 1.013748898409629673e+00
2.599999905663696181e-02 9.991228322254575023e-01
2.799999951118719091e-02 9.989603203789666486e-01
2.999999996573742000e-02 1.004485723159654009e+00
3.199999813611564131e-02 9.861218845061932026e-01
3.399999859066586694e-02 9.903471925149540667e-01
3.599999904521609950e-02 1.001723021769310273e+00
3.799999949976633207e-02 9.939224531377517380e-01
3.999999767014454644e-02 9.968476663745862165e-01
4.199999812469477900e-02 9.960351071421322811e-01
4.399999857924501157e-02 9.909972399009173705e-01
4.599999903379523719e-02 9.934349175982793989e-01
4.799999720417345850e-02 9.900221688219724703e-01
4.999999994289569538e-02 9.957100834491505736e-01
5.199999811327392363e-02 9.922973346728437560e-01
5.399999628365213106e-02 9.867719318921565064e-01
5.599999902237438182e-02 9.848217897342668170e-01
5.799999719275260313e-02 9.789713632605978599e-01
5.999999993147484001e-02 9.762086618702542351e-01
6.199999810185305438e-02 9.788088514141071173e-01
6.399999627223128262e-02 9.757211263307818960e-01
6.599999901095351951e-02 9.737709841728922067e-01
6.799999718133173388e-02 9.739334960193830604e-01
6.999999992005397076e-02 9.812465291114691457e-01
7.199999809043219900e-02 9.701957235500945353e-01
7.399999626081041337e-02 9.781588040281439245e-01
7.599999899953266413e-02 9.750710789448185922e-01
7.799999716991087850e-02 9.745835434053462532e-01
7.999999419820309765e-02 9.779962921816530708e-01
8.199999807901134363e-02 9.695456761641313426e-01
8.399999624938955800e-02 9.698706998571129390e-01
8.599999898811179488e-02 9.622326430720451462e-01
8.799999715849000925e-02 9.680830695457141033e-01
8.999999532886822362e-02 9.502067664317257467e-01
9.199999806759047438e-02 9.552446336729406573e-01
9.400000080631272514e-02 9.562197047518854465e-01
9.599999326626090790e-02 9.573572876773210893e-01
9.799999714706915388e-02 9.604450127606463106e-01
9.999999988579139076e-02 9.515068612036521323e-01
1.019999934878255965e-01 9.495567190457625539e-01
1.039999962265478473e-01 9.562197047518854465e-01
1.059999989652700703e-01 9.636952496904623855e-01
1.079999914252182669e-01 9.363932594800075115e-01
1.099999953060265129e-01 9.378558660984247508e-01
1.119999980447487636e-01 9.264800368440685441e-01
1.140000007834709866e-01 9.279426434624857833e-01
1.159999932434191694e-01 9.376933542519338971e-01
1.179999971242274293e-01 9.399685201028051829e-01
1.199999998629497078e-01 9.266425486905592868e-01
1.219999923228978628e-01 9.209546340633811834e-01
1.239999962037061088e-01 9.201420748309271369e-01
1.259999989424283595e-01 9.370433068659707043e-01
1.279999914023765561e-01 9.203045866774179906e-01
1.299999952831847883e-01 9.242048709931972583e-01
1.319999980219070390e-01 9.276176197695040759e-01
1.339999904818552634e-01 9.310303685458110046e-01
1.359999943626634678e-01 9.261550131510869477e-01
1.379999971013857185e-01 9.136416009712950981e-01
1.399999998401079415e-01 9.183544445195283012e-01
1.419999923000561382e-01 9.194920274449639441e-01
1.439999961808643980e-01 9.207921222168904407e-01
1.459999989195866488e-01 9.214421696028536335e-01
1.479999925216208545e-01 9.259925013045960940e-01
1.499999941182570684e-01 9.170543497476019157e-01
1.519999979990653283e-01 9.040534020283377270e-01
1.539999904590135249e-01 9.164043023616387229e-01
1.559999943398217570e-01 9.142916483572582909e-01
1.579999970785439800e-01 9.094162929625341230e-01
1.599999895384921766e-01 8.986905110941412200e-01
1.619999922772144274e-01 9.048659612607916625e-01
1.639999961580226873e-01 9.105538758879697658e-01
1.659999988967449103e-01 9.162417905151478692e-01
1.679999913566931069e-01 9.190044919054916051e-01
1.699999952375013390e-01 9.134790891248042444e-01
1.719999979762235898e-01 9.298927856203753617e-01
1.739999904361717864e-01 9.177043971335651085e-01
1.759999931748940094e-01 9.092537811160433803e-01
1.779999970557022693e-01 9.086037337300801875e-01
1.799999895156504659e-01 9.043784257213193234e-01
1.819999933964587258e-01 9.076286626511352873e-01
1.839999961351809488e-01 9.071411271116629482e-01
1.859999885951291176e-01 9.152667194362030800e-01
1.880000027547114316e-01 8.978779518616871735e-01
1.899999952146596283e-01 9.030783309493928268e-01
1.919999876746078249e-01 9.110414114274422159e-01
1.940000006921041020e-01 9.149416957432214836e-01
1.959999931520523264e-01 9.134790891248042444e-01
1.979999856120004953e-01 8.983654874011595126e-01
1.999999997715827815e-01 9.016157243309755875e-01
