# gamma	percentage	time
0.000000000000000000e+00 9.321729207246606252e-01 0.000000000000000000e+00
2.000000094024247631e-03 9.362844808901716886e-01 2.000000000000000000e+04
4.000000188048494394e-03 9.377646425497556670e-01 4.000000000000000000e+04
6.000000282072743760e-03 9.387514169894782823e-01 6.000000000000000000e+04
8.000000376096990523e-03 9.356266312636899452e-01 8.000000000000000000e+04
9.999999323484071861e-03 9.306927590650766469e-01 1.000000000000000000e+05
1.199999941750831862e-02 9.310216838783175186e-01 1.200000000000000000e+05
1.399999951153256712e-02 9.331596951643833515e-01 1.400000000000000000e+05
1.599999960555681389e-02 9.320084583180402449e-01 1.600000000000000000e+05
1.799999969958106238e-02 9.354621688570694538e-01 1.800000000000000000e+05
1.999999979360530741e-02 9.341464696041059668e-01 2.000000000000000000e+05
2.199999988762955591e-02 9.320084583180402449e-01 2.200000000000000000e+05
2.399999768837946662e-02 9.369423305166534321e-01 2.400000000000000000e+05
2.600000007567805291e-02 9.326663079445219884e-01 2.600000000000000000e+05
2.799999902306513425e-02 9.338175447908650950e-01 2.800000000000000000e+05
3.000000026372654643e-02 9.352977064504490734e-01 3.000000000000000000e+05
3.199999921111362777e-02 9.305282966584562665e-01 3.200000000000000000e+05
3.400000045177504343e-02 9.265811988995656945e-01 3.400000000000000000e+05
3.599999825252495761e-02 9.313506086915585014e-01 3.600000000000000000e+05
3.799999719991203895e-02 9.241142628002589898e-01 3.800000000000000000e+05
3.999999958721061483e-02 9.203316274479889092e-01 4.000000000000000000e+05
4.199999738796052901e-02 9.252654996466020965e-01 4.200000000000000000e+05
4.399999977525911182e-02 9.257588868664634596e-01 4.400000000000000000e+05
4.599999986928336726e-02 9.229630259539159942e-01 4.600000000000000000e+05
4.799999652339610040e-02 9.168779169089595893e-01 4.800000000000000000e+05
4.999999776405752300e-02 9.116151198971055303e-01 5.000000000000000000e+05
5.199999900471893866e-02 9.152332928427552305e-01 5.200000000000000000e+05
5.400000139201752147e-02 9.078324845448353386e-01 5.400000000000000000e+05
5.599999804613026849e-02 9.193448530082662939e-01 5.600000000000000000e+05
5.799999814015451005e-02 9.122729695235872738e-01 5.800000000000000000e+05
