# gamma d2min
2.000000000000032568e-03 7.067524147549715252e-01
4.000000000000065135e-03 7.112237828716856392e-01
5.999999999999935073e-03 7.152038270123105557e-01
7.999999999999967207e-03 7.164410062184344286e-01
1.000000000000000021e-02 7.206201039180870627e-01
1.200000000000003321e-02 7.126030466264203778e-01
1.400000000000006448e-02 7.284709209457860268e-01
1.599999999999993441e-02 7.247986732244316999e-01
1.799999999999996741e-02 7.300131471985480403e-01
2.000000000000000042e-02 7.314977516650883471e-01
2.200000000000003342e-02 7.358128058021622397e-01
2.400000000000006642e-02 7.382446414970013082e-01
2.599999999999993636e-02 7.585129558593750598e-01
2.799999999999996589e-02 7.467585053267046247e-01
2.999999999999999889e-02 7.583904627071497151e-01
3.200000000000003536e-02 7.701270571239741125e-01
3.400000000000006489e-02 7.847282678858901184e-01
3.599999999999993483e-02 7.924189652146464979e-01
3.799999999999996436e-02 8.051638531486742245e-01
4.000000000000000083e-02 8.169582515486900620e-01
4.200000000000003036e-02 8.165417426136363233e-01
4.400000000000006684e-02 8.248239862531564492e-01
4.599999999999993677e-02 8.414814174479168241e-01
4.799999999999996630e-02 8.574211711805554970e-01
5.000000000000000278e-02 8.651732446397568665e-01
5.200000000000003231e-02 8.854367084004103328e-01
5.400000000000006184e-02 9.013802434442077516e-01
5.599999999999993178e-02 9.219496989307134349e-01
5.799999999999996825e-02 9.402120660077335490e-01
5.999999999999999778e-02 9.653574914378155736e-01
6.200000000000003425e-02 9.863383779415246799e-01
6.400000000000007072e-02 1.011314501094933815e+00
6.599999999999994760e-02 1.037708307074652891e+00
6.799999999999997713e-02 1.059998072997553775e+00
7.000000000000000666e-02 1.104334056804371800e+00
7.200000000000003619e-02 1.109142625787168601e+00
7.400000000000007960e-02 1.193275752698863545e+00
7.599999999999992872e-02 1.208867064344617992e+00
7.799999999999997213e-02 1.285097687357954710e+00
8.000000000000000167e-02 1.325547130963936393e+00
8.200000000000003120e-02 1.374288204452730255e+00
8.400000000000006073e-02 1.418184557601404716e+00
8.599999999999993761e-02 1.478109047638494600e+00
8.799999999999996714e-02 1.555924908112373606e+00
8.999999999999999667e-02 1.649553373579545346e+00
9.200000000000002620e-02 1.739409389289378050e+00
9.400000000000006961e-02 1.809340093688841522e+00
9.599999999999993261e-02 1.912494110848721895e+00
9.799999999999996214e-02 2.041867091998105899e+00
1.000000000000000056e-01 2.146078174051057275e+00
1.020000000000000351e-01 2.278886800824652781e+00
1.040000000000000646e-01 2.405123746819760377e+00
1.059999999999999415e-01 2.567734201126499194e+00
1.079999999999999710e-01 2.741422454790088725e+00
1.100000000000000006e-01 2.852323700173611254e+00
1.120000000000000301e-01 3.074365376633522828e+00
1.140000000000000596e-01 3.219301416899463142e+00
1.159999999999999365e-01 3.344135192690577796e+00
1.179999999999999660e-01 3.514791220584754239e+00
1.199999999999999956e-01 3.746032268692786715e+00
1.220000000000000390e-01 4.038494179517835292e+00
1.240000000000000685e-01 4.259843660343671345e+00
1.259999999999999454e-01 4.556931280776514548e+00
1.279999999999999749e-01 4.896067304953835020e+00
1.300000000000000044e-01 5.318486148628866594e+00
1.320000000000000340e-01 5.640187681433475930e+00
1.340000000000000635e-01 5.993678415968277662e+00
1.360000000000000930e-01 6.230707824013572704e+00
1.379999999999999838e-01 6.476802702310212823e+00
1.400000000000000133e-01 6.663713794815340208e+00
1.420000000000000429e-01 6.904328693548768214e+00
1.440000000000000724e-01 7.159005704736821407e+00
1.459999999999999354e-01 7.341811576846590803e+00
1.479999999999999649e-01 7.491751387995186029e+00
1.499999999999999944e-01 7.756589074402226558e+00
1.520000000000000240e-01 7.965553638139204473e+00
1.540000000000000535e-01 8.199780973157354325e+00
1.559999999999999443e-01 8.561723596612610621e+00
1.579999999999999738e-01 8.832457285795454638e+00
1.600000000000000033e-01 9.030710882867738931e+00
1.620000000000000329e-01 9.240892048705807937e+00
1.639999999999998959e-01 9.405710812430950085e+00
1.659999999999999254e-01 9.676337874457464849e+00
1.679999999999999549e-01 9.800761621164774340e+00
1.700000000000000122e-01 9.940172678856930233e+00
1.720000000000000417e-01 1.008487218893820980e+01
1.740000000000000713e-01 1.023855377937579014e+01
1.759999999999999343e-01 1.044840259278132777e+01
1.779999999999999638e-01 1.065871225003748535e+01
1.799999999999999933e-01 1.083040606560527230e+01
1.820000000000000229e-01 1.100593366553227526e+01
1.840000000000000524e-01 1.120420761003787824e+01
1.860000000000000264e-01 1.137218171402304279e+01
1.879999999999999727e-01 1.163626840946969665e+01
1.900000000000000022e-01 1.179086466237965602e+01
1.920000000000000318e-01 1.196563238314591260e+01
1.939999999999999780e-01 1.206783794494752371e+01
1.960000000000000075e-01 1.224933402411616257e+01
1.979999999999999538e-01 1.238094599968434650e+01
2.000000000000000111e-01 1.267169344001144182e+01
