# gamma d2min std
4.000000000000078146e-03 6.279235344262942276e-01 4.244930846429214033e-01
6.000000000000035687e-03 6.313108195864898242e-01 4.556464033430329685e-01
7.999999999999993228e-03 6.385431405677871597e-01 4.731304659616377140e-01
9.999999999999951636e-03 6.416428887271149462e-01 4.873155007571355890e-01
1.200000000000007137e-02 6.455110265388257496e-01 4.997390326350035217e-01
1.400000000000002978e-02 6.451947837042298906e-01 5.195141216360278369e-01
1.599999999999998646e-02 6.457976660649462630e-01 5.145424506962534839e-01
1.799999999999994313e-02 6.524023042791194937e-01 5.017144857758016885e-01
2.000000000000006634e-02 6.496805374644886166e-01 4.961689924453912548e-01
2.200000000000002301e-02 6.472861083530618842e-01 4.996428761317929790e-01
2.399999999999997968e-02 6.510861057252210760e-01 5.151255622121057032e-01
2.599999999999993636e-02 6.569589212476325546e-01 5.181990337925010959e-01
2.800000000000005956e-02 6.526650745778093121e-01 5.178107937433216179e-01
3.000000000000001624e-02 6.579994495265151233e-01 5.247103935118120344e-01
3.199999999999997291e-02 6.603349006332858151e-01 5.163224041990028823e-01
3.399999999999993305e-02 6.709399178918087348e-01 5.453420647567575053e-01
3.600000000000005279e-02 6.690971612413194602e-01 5.401805882135312098e-01
3.800000000000001293e-02 6.809516039831912115e-01 5.303567571468402742e-01
3.999999999999996614e-02 6.810682961055871676e-01 5.590576471940366110e-01
4.199999999999992628e-02 6.846444674992109292e-01 5.616935607626275528e-01
4.400000000000004602e-02 6.977453359453912318e-01 6.036887735018178214e-01
4.600000000000000616e-02 7.159585350694442907e-01 6.392650959088743701e-01
4.799999999999995937e-02 7.209356309678819352e-01 6.641718501902560412e-01
4.999999999999991951e-02 7.197121527679135600e-01 6.749461103373241011e-01
5.200000000000003925e-02 7.434385621961805413e-01 7.051094386222803712e-01
5.399999999999999939e-02 7.534725871330490987e-01 7.413429000404011537e-01
5.599999999999995259e-02 7.673318234059344212e-01 7.480109966891174134e-01
5.800000000000007233e-02 7.639449692708334405e-01 7.594456070800050806e-01
6.000000000000003247e-02 7.827982481672191017e-01 7.969861651998327856e-01
6.199999999999999262e-02 7.985007748934660476e-01 8.096894776982326292e-01
6.399999999999994582e-02 8.078179476996529829e-01 8.337107707258766265e-01
6.600000000000007250e-02 8.186825082978218537e-01 8.203403081996784030e-01
6.800000000000003264e-02 8.314708718671085519e-01 8.471696475682295446e-01
6.999999999999997891e-02 8.349203036616160700e-01 8.284193053644623994e-01
7.199999999999993905e-02 8.645744185980903662e-01 8.870042350068687576e-01
7.400000000000006573e-02 8.849302262093592386e-01 9.271584375359628316e-01
7.600000000000002587e-02 9.010187417653093833e-01 9.767744425103436212e-01
7.799999999999997213e-02 9.322828878097378924e-01 1.029077769407812148e+00
7.999999999999993228e-02 9.511858017558395550e-01 1.082128852883133652e+00
8.200000000000005895e-02 9.990642453125000433e-01 1.168743937730198690e+00
8.400000000000001910e-02 1.014207802566682526e+00 1.219362800753235776e+00
8.599999999999996536e-02 1.055949815157433580e+00 1.320833613748811475e+00
8.799999999999992550e-02 1.083653776584201145e+00 1.339760394871406524e+00
9.000000000000005218e-02 1.119716408723958390e+00 1.460262747632324665e+00
9.200000000000001232e-02 1.148898171642203314e+00 1.538817396032509555e+00
9.399999999999995859e-02 1.198015286487926323e+00 1.631667024557506451e+00
9.600000000000008527e-02 1.225562567534722147e+00 1.719469748928711184e+00
9.800000000000004541e-02 1.264547522938367807e+00 1.760550544016975305e+00
1.000000000000000056e-01 1.355789974447600965e+00 2.006835704662850439e+00
1.019999999999999518e-01 1.445481377006391899e+00 2.228858662870423668e+00
1.039999999999999120e-01 1.533049737411221747e+00 2.344283713571930772e+00
1.060000000000000386e-01 1.618413723703835405e+00 2.579081681781352220e+00
1.079999999999999988e-01 1.716711246790167067e+00 2.783925226093988847e+00
1.099999999999999450e-01 1.777431836397174836e+00 2.875249309672412767e+00
1.120000000000000717e-01 1.919323271989425317e+00 3.189486462543638101e+00
1.140000000000000319e-01 2.022133457848011240e+00 3.349313392185547134e+00
1.159999999999999920e-01 2.206039738182607568e+00 3.782399535155940740e+00
1.179999999999999383e-01 2.876329606362452385e+00 5.390129358662891335e+00
1.200000000000000649e-01 3.865936850617503140e+00 8.172570419199811198e+00
1.220000000000000251e-01 4.537611370963542612e+00 1.008811347538871672e+01
1.239999999999999852e-01 4.973783173094223464e+00 1.127126543266636816e+01
1.259999999999999454e-01 5.354063029058159451e+00 1.231574863233471717e+01
1.280000000000000859e-01 5.586939511935763214e+00 1.289420467110148927e+01
1.300000000000000044e-01 5.898700987071889834e+00 1.382528029476856091e+01
1.319999999999999785e-01 6.134790026607875646e+00 1.449375330447080223e+01
1.340000000000001190e-01 6.243518839123657571e+00 1.475348886517430991e+01
