# gamma	percentage
0.000000000000000000e+00 1.072441706374937631e+00
1.999999707694528547e-03 1.065941074725445636e+00
4.000000557207304686e-03 1.064478432604309965e+00
6.000000264901833233e-03 1.075854537990920790e+00
7.999999972596361780e-03 1.062528243109462256e+00
1.000000082210913965e-02 1.063828369439360655e+00
1.200000052980366647e-02 1.068541327385242434e+00
1.400000023749819501e-02 1.059927990449665458e+00
1.600000108701096768e-02 1.065128495769259054e+00
1.800000079470549796e-02 1.079754916980615986e+00
2.000000050240002825e-02 1.064315916813072693e+00
2.200000135191280265e-02 1.065616043142971092e+00
2.400000105960733293e-02 1.065616043142971092e+00
2.600000190912010734e-02 1.063665853648123383e+00
2.800000161681463415e-02 1.066916169472869491e+00
3.000000132450916443e-02 1.062365727318224984e+00
3.200000103220369124e-02 1.057165221998631388e+00
3.400000188171647258e-02 1.058465348328529787e+00
3.600000044759274487e-02 1.061228116779563857e+00
3.800000129710552621e-02 1.062690758900699528e+00
4.000000100480005649e-02 1.063340822065648839e+00
4.200000071249457984e-02 1.057977800954817971e+00
4.400000270382560530e-02 1.059277927284716370e+00
4.600000012788364040e-02 1.062203211526987712e+00
4.800000326103290998e-02 1.057165221998631388e+00
4.999999954327270096e-02 1.045464085029545798e+00
5.200000267642196361e-02 1.060740569405852041e+00
5.400000010048000565e-02 1.045139053447071253e+00
5.600000323362926830e-02 1.055052516712546629e+00
5.799999951586905927e-02 1.048389369271817362e+00
6.000000264901832886e-02 1.042051253413562639e+00
6.200000464034934045e-02 1.038963453380054025e+00
6.400000206440738248e-02 1.046439179776969652e+00
6.600000519755665207e-02 1.041726221831088095e+00
6.800000147979644305e-02 1.037825842841392898e+00
7.000000461294571263e-02 1.046439179776969652e+00
7.200000203700374080e-02 1.031000179609426359e+00
7.400000402833477320e-02 1.038150874423867442e+00
7.600000145239281524e-02 1.029212505905815922e+00
7.800000458554207095e-02 1.031487726983138176e+00
8.000000086778186192e-02 1.032300305939324758e+00
8.200000400093113151e-02 1.027424832202205707e+00
8.400000142498915967e-02 1.023361937421273238e+00
8.600000341632019207e-02 1.024824579542408909e+00
8.800000654946946166e-02 1.026287221663544580e+00
9.000000283170923876e-02 1.018974011057866225e+00
9.200000025576728080e-02 1.004022558264034526e+00
9.400000338891655038e-02 9.999596634831021680e-01
9.600000538024758279e-02 1.004835137220221108e+00
9.800000851339683849e-02 1.016373758398069427e+00
1.000000002283636391e-01 1.002722431934136127e+00
1.020000033615129087e-01 1.002884947725373399e+00
1.040000053528439272e-01 9.978469581970171864e-01
1.060000073441749596e-01 1.002072368769187038e+00
1.080000002009600113e-01 9.871209159753554507e-01
1.100000021922910159e-01 9.811078316995753834e-01
1.120000053254402994e-01 9.830580211944229818e-01
1.140000084585895690e-01 9.726570105552359014e-01
1.159999990317381185e-01 9.809453159083381113e-01
1.180000021648873743e-01 9.843581475243213808e-01
1.200000041562183928e-01 9.905337475913387202e-01
1.220000072893676762e-01 9.876084633490673781e-01
1.240000092806986809e-01 1.004347589846509292e+00
1.260000009956654954e-01 9.908587791738133754e-01
1.280000041288147650e-01 9.916713581299998470e-01
1.300000061201457835e-01 9.976844424057799143e-01
1.320000092532950808e-01 9.947591581635085722e-01
1.340000009682618676e-01 9.934590318336101733e-01
1.360000029595928861e-01 1.001422305604237728e+00
1.380000060927421557e-01 9.885835580964911218e-01
1.400000092258914253e-01 9.983345055707291138e-01
1.420000009408582398e-01 9.910212949650506475e-01
1.440000029321892583e-01 9.915088423387625749e-01
1.460000060653385279e-01 1.001747337186712494e+00
1.480000080566695186e-01 9.955717371196950438e-01
1.500000111898188160e-01 9.889085896789657770e-01
1.520000029047856027e-01 9.975219266145426422e-01
1.540000048961166212e-01 1.004510105637746564e+00
1.560000080292659186e-01 1.002884947725373399e+00
1.580000111624151882e-01 9.882585265140165776e-01
1.600000017355637238e-01 9.903712318001014481e-01
1.620000048687129934e-01 9.905337475913387202e-01
1.640000068600440397e-01 9.884210423052538497e-01
1.660000099931932815e-01 9.864708528104062513e-01
1.680000017081600960e-01 9.864708528104062513e-01
1.700000048413093656e-01 1.006297779341356780e+00
1.720000068326403841e-01 9.817578948645245829e-01
1.740000099657896537e-01 9.841956317330841086e-01
1.760000119571206723e-01 9.936215476248474454e-01
1.780000036720874590e-01 9.807828001171008392e-01
1.800000068052367563e-01 9.885835580964911218e-01
1.820000099383860259e-01 9.944341265810339170e-01
1.840000005115345616e-01 9.869584001841181786e-01
1.860000036446838312e-01 9.880960107227793054e-01
1.880000067778331008e-01 9.890711054702030491e-01
1.900000087691641193e-01 9.877709791403046502e-01
1.920000119023134166e-01 9.845206633155586529e-01
1.940000150354626862e-01 9.944341265810339170e-01
1.960000170267936770e-01 9.954092213284577717e-01
1.979999973235780086e-01 9.976844424057799143e-01
2.000000004567272782e-01 9.890711054702030491e-01
