# gamma	percentage
0.000000000000000000e+00 1.052084108333572576e+00
1.999999577430535379e-03 1.049483962251809066e+00
4.000000296940704747e-03 1.043958651828061468e+00
6.000001016450874115e-03 1.047696361820596556e+00
8.000000593881407759e-03 1.047208834430265911e+00
1.000000131339157973e-02 1.045258724868943334e+00
1.200000089082211424e-02 1.048021380080817133e+00
1.399999932617301476e-02 1.044121160958171757e+00
1.600000004568318326e-02 1.054034217894895153e+00
1.799999962311371951e-02 1.036808250103211870e+00
2.000000034262388801e-02 1.051109053552911288e+00
2.200000106213405998e-02 1.046721307039935267e+00
2.400000063956459276e-02 1.045258724868943334e+00
2.600000135907476126e-02 1.046883816170045556e+00
2.799999865234602953e-02 1.050296507902360066e+00
2.999999937185619803e-02 1.041683524006518535e+00
3.199999894928673427e-02 1.040220941835526380e+00
3.400000081087653503e-02 1.044771197478612690e+00
3.599999924622743902e-02 1.039083377924754803e+00
3.799999996573760752e-02 1.040870978355967313e+00
4.000000068524776908e-02 1.035833195322550360e+00
4.200000026267830533e-02 1.040708469225857025e+00
4.400000212426811996e-02 1.032745521850456205e+00
4.599999827545973863e-02 1.037458286623652581e+00
4.800000127912918552e-02 1.039408396184975381e+00
4.999999857240044338e-02 1.031607957939684628e+00
5.200000157606989026e-02 1.038758359664534447e+00
5.400000001142078732e-02 1.028357775337480184e+00
5.599999730469205905e-02 1.032745521850456205e+00
5.800000030836149206e-02 1.036970759233321937e+00
5.999999760163276380e-02 1.020882355352410009e+00
6.200000060530219681e-02 1.024945083605165674e+00
6.399999789857345467e-02 1.016494608839434211e+00
6.600000090224290850e-02 1.017794681880315855e+00
6.799999933759380555e-02 1.017469663620095499e+00
7.000000119918360630e-02 1.016169590579213633e+00
7.199999963453451723e-02 1.022182428393291875e+00
7.399999692780577509e-02 1.017632172750205788e+00
7.599999993147521504e-02 1.018932245791087432e+00
7.799999722474647290e-02 1.016332099709323922e+00
8.000000022841592673e-02 1.008531661464033391e+00
8.199999752168718459e-02 1.008044134073702525e+00
8.400000052535662454e-02 9.979685680068689502e-01
8.599999896070752159e-02 1.002843841910175504e+00
8.800000196437694766e-02 9.995936593079711718e-01
9.000000039972787247e-02 9.885430384604760867e-01
9.199999655091947726e-02 9.903306388916884861e-01
9.399999955458891721e-02 9.945558762745542181e-01
9.600000255825837103e-02 1.000243695828411994e+00
9.799999528321109987e-02 9.960184584455462620e-01
9.999999828688053982e-02 9.893555841110271976e-01
1.020000001484703267e-01 9.838302736872795995e-01
1.040000042942194197e-01 9.841552919475000660e-01
1.059999958770925094e-01 9.804175819549649784e-01
1.079999988807619493e-01 9.846428193378307103e-01
1.100000018844313893e-01 9.726171437096743366e-01
1.119999946093841181e-01 9.766798719624298908e-01
1.139999976130535442e-01 9.695294702375801821e-01
1.159999994746433727e-01 9.836677645571694217e-01
1.180000036203924241e-01 9.770048902226503573e-01
1.199999952032655276e-01 9.719671071892335146e-01
1.219999982069349537e-01 9.638416506837224063e-01
1.240000012106043936e-01 9.618915411223998291e-01
1.259999927934774833e-01 9.722921254494539811e-01
1.279999957971469371e-01 9.653042328547144502e-01
1.299999988008163632e-01 9.722921254494539811e-01
1.320000029465654423e-01 9.721296163193436923e-01
1.339999945294385597e-01 9.734296893602254475e-01
1.359999986751876111e-01 9.698544884978006486e-01
1.380000005367774119e-01 9.766798719624298908e-01
1.400000035404468102e-01 9.778174358732014682e-01
1.419999962653995806e-01 9.835052554270592440e-01
1.439999992690690345e-01 9.752172897914379579e-01
1.460000022727384883e-01 9.794425271743036898e-01
1.479999938556115224e-01 9.698544884978006486e-01
1.499999968592809763e-01 9.745672532709970248e-01
1.519999998629504301e-01 9.758673263118787800e-01
1.540000028666198562e-01 9.677418698063677827e-01
1.559999944494929458e-01 9.766798719624298908e-01
1.579999974531623719e-01 9.869179471593738651e-01
1.600000004568318535e-01 9.870804562894840428e-01
1.619999931817845684e-01 9.761923445720992465e-01
1.639999961854539945e-01 9.713170706687925815e-01
1.659999991891234483e-01 9.740797258806663805e-01
1.680000021927928744e-01 9.630291050331712954e-01
1.699999949177456171e-01 9.670918332859268496e-01
1.719999967793354179e-01 9.757048171817686022e-01
1.739999997830048439e-01 9.722921254494539811e-01
1.760000027866742978e-01 9.721296163193436923e-01
1.779999955116270405e-01 9.810676184754059115e-01
1.799999985152964388e-01 9.887055475905862645e-01
1.820000015189658926e-01 9.835052554270592440e-01
1.839999931018389545e-01 9.758673263118787800e-01
1.859999961055084083e-01 9.804175819549649784e-01
1.879999991091778344e-01 9.784674723936424012e-01
1.900000021128473160e-01 9.812301276055160892e-01
1.920000051165167421e-01 9.784674723936424012e-01
1.940000081201861959e-01 9.906556571519089527e-01
1.959999894243425467e-01 9.778174358732014682e-01
1.979999924280120005e-01 9.672543424160371384e-01
1.999999954316814266e-01 9.706670341483517594e-01
