# gamma	percentage
0.000000000000000000e+00 1.043625935355484424e+00
2.000000301523940406e-03 1.046226467198762444e+00
4.000000603047880812e-03 1.033386341222577665e+00
6.000000904571820351e-03 1.037287138987494473e+00
8.000000063959620752e-03 1.034849140384421329e+00
1.000000036548356376e-02 1.044601134796713682e+00
1.200000066700750503e-02 1.046389000438967321e+00
1.399999982639530544e-02 1.035661806585445710e+00
1.600000012791924497e-02 1.048339399321425836e+00
1.800000042944318798e-02 1.034849140384421329e+00
1.999999958883098838e-02 1.043951001835894177e+00
2.200000217462720967e-02 1.044113535076099053e+00
2.400000133401501007e-02 1.028022744295816748e+00
2.599999935126667480e-02 1.036311939546265215e+00
2.800000079492675348e-02 1.032086075300938655e+00
3.000000223858683562e-02 1.043300868875074672e+00
3.200000025583848995e-02 1.038099805188518854e+00
3.400000169949857209e-02 1.026397411893767986e+00
3.599999971675023336e-02 1.030460742898889892e+00
3.800000116041031550e-02 1.035986873065855463e+00
3.999999917766197677e-02 1.025909812173153357e+00
4.200000062132205891e-02 1.029648076697865511e+00
4.400000206498213412e-02 1.031761008820528902e+00
4.600000350864221627e-02 1.028347810776226501e+00
4.800000152589387753e-02 1.028510344016431377e+00
5.000000068528168140e-02 1.029323010217455758e+00
5.199999870253334960e-02 1.030785809379299645e+00
5.400000243046570308e-02 1.017295550442295138e+00
5.600000158985350696e-02 1.023471813570080435e+00
5.799999960710516822e-02 1.028997943737046006e+00
6.000000333503752170e-02 1.022334080888646302e+00
6.200000249442532557e-02 1.032898741501963036e+00
6.400000051167697990e-02 1.022984213849465807e+00
6.599999852892864116e-02 1.022009014408236549e+00
6.800000339899714419e-02 1.015670218040246597e+00
7.000000141624880545e-02 1.019408482564958529e+00
7.199999943350046672e-02 1.001529826142422586e+00
7.400000430356895587e-02 1.008681288711436919e+00
7.600000232082063101e-02 1.016970483961885385e+00
7.800000033807227839e-02 9.999044937403739342e-01
7.999999949746010308e-02 9.940532970929985002e-01
8.200000322539244269e-02 1.001367292902217709e+00
8.400000124264411783e-02 1.002505025583651843e+00
8.600000040203191476e-02 9.935656973723838714e-01
8.800000412996426824e-02 9.890147666466474474e-01
9.000000328935207905e-02 9.906400990486962099e-01
9.200000587514829686e-02 9.843013026807061472e-01
9.399999932385540158e-02 9.817007708374282382e-01
9.600000305178775506e-02 9.797503719549697232e-01
9.800000677972012242e-02 9.711361102241115040e-01
1.000000002284272133e-01 9.724363761457505140e-01
1.020000050984957024e-01 9.773123733518966905e-01
1.039999974050666992e-01 9.786126392735355894e-01
1.060000011329990388e-01 9.605714496107947697e-01
1.080000048609314062e-01 9.660975797777604512e-01
1.099999983096385248e-01 9.618717155324337797e-01
1.120000020375708644e-01 9.604089163705898935e-01
1.140000069076393535e-01 9.698358443024724940e-01
1.159999992142103364e-01 9.506569219582976515e-01
1.180000029421426760e-01 9.600838498901802520e-01
1.200000066700750295e-01 9.704859772632919990e-01
1.220000001187821620e-01 9.454558582717417226e-01
1.240000049888506789e-01 9.527698540809609318e-01
1.260000075746468551e-01 9.717862431849310090e-01
1.280000010233539598e-01 9.638221144148922948e-01
1.300000047512863133e-01 9.547202529634194468e-01
1.319999981999934180e-01 9.547202529634194468e-01
1.340000019279257992e-01 9.607339828509996460e-01
1.360000067979942884e-01 9.543951864830096943e-01
1.379999979624291218e-01 9.571582515664924795e-01
1.400000028324976387e-01 9.669102459787848325e-01
1.420000065604299644e-01 9.573207848066973558e-01
1.440000000091370969e-01 9.597587834097704995e-01
1.460000037370694226e-01 9.683730451406287187e-01
1.480000086071379117e-01 9.669102459787848325e-01
1.499999997715727729e-01 9.625218484932532848e-01
1.520000046416412343e-01 9.607339828509996460e-01
1.540000083695736155e-01 9.669102459787848325e-01
1.560000006761445845e-01 9.527698540809609318e-01
1.580000055462130737e-01 9.475687903944050028e-01
1.599999978527840705e-01 9.504943887180927753e-01
1.620000015807164240e-01 9.530949205613706843e-01
1.640000053086487775e-01 9.472437239139952503e-01
1.659999987573558544e-01 9.581334510077217370e-01
1.680000024852882357e-01 9.435054593892832075e-01
1.700000062132205891e-01 9.350537308986298646e-01
1.719999996619276939e-01 9.493566560366586415e-01
1.740000033898600473e-01 9.589461172087461183e-01
1.760000071177924008e-01 9.436679926294880838e-01
1.780000005664995055e-01 9.443181255903075888e-01
1.800000042944318590e-01 9.283898680502301604e-01
1.820000080223642402e-01 9.477313236346098790e-01
1.840000117502965937e-01 9.503318554778878990e-01
1.860000051990036984e-01 9.352162641388347408e-01
1.879999986477108032e-01 9.449682585511270938e-01
1.900000137970045133e-01 9.509819884387074040e-01
1.920000061035755101e-01 9.397671948645711648e-01
1.940000006944187783e-01 9.444806588305124651e-01
1.960000135594402448e-01 9.439930591098978363e-01
1.980000070081473218e-01 9.418801269872345561e-01
2.000000004568544265e-01 9.459434579923563513e-01
