# gamma d2min
2.000000000000039507e-03 7.888749808278094910e-01
4.000000000000079013e-03 7.816820690222537893e-01
5.999999999999956757e-03 7.948486716540402730e-01
7.999999999999996697e-03 8.025265870935922585e-01
1.000000000000003490e-02 7.918798396721118404e-01
1.200000000000007484e-02 7.961032889500473386e-01
1.399999999999995345e-02 8.045687774029355310e-01
1.599999999999999339e-02 8.211056994199811276e-01
1.800000000000003333e-02 8.172261504340279092e-01
2.000000000000006981e-02 8.335642865293561021e-01
2.199999999999995015e-02 8.326851889066445578e-01
2.399999999999998662e-02 8.397588690696022873e-01
2.600000000000002656e-02 8.614255030993528406e-01
2.800000000000006650e-02 8.779002703065814650e-01
2.999999999999994338e-02 8.961708012014675262e-01
3.199999999999998679e-02 9.160133428306502790e-01
3.400000000000003020e-02 9.240667941011678765e-01
3.600000000000006667e-02 9.419858331833964593e-01
3.799999999999993661e-02 9.601662223899148918e-01
3.999999999999998002e-02 9.720727358467488033e-01
4.200000000000002343e-02 9.871715732165403656e-01
4.400000000000005296e-02 9.867078116990215531e-01
4.599999999999993677e-02 1.018107361515546261e+00
4.799999999999997324e-02 1.077724394253077644e+00
5.000000000000001665e-02 1.079258028119081558e+00
5.200000000000005312e-02 1.124809223573626893e+00
5.400000000000009653e-02 1.151750612902461945e+00
5.599999999999997341e-02 1.177617682814472877e+00
5.800000000000000988e-02 1.230706472883128066e+00
6.000000000000005329e-02 1.244767120302635810e+00
6.199999999999993017e-02 1.295487037121212381e+00
6.399999999999997358e-02 1.357530128111189782e+00
6.600000000000000311e-02 1.403128553170375881e+00
6.800000000000006040e-02 1.446720846150962636e+00
7.000000000000007605e-02 1.512260337805792609e+00
7.199999999999995293e-02 1.592003647088068075e+00
7.400000000000001021e-02 1.713647239814157341e+00
7.600000000000003975e-02 1.781274534205334437e+00
7.800000000000008316e-02 1.848780699277935646e+00
7.999999999999996003e-02 1.941720046289062251e+00
8.200000000000000344e-02 2.021492788306896937e+00
8.400000000000004685e-02 2.060840064506392011e+00
8.600000000000007638e-02 2.177334016045218146e+00
8.799999999999995326e-02 2.304462465660511494e+00
9.000000000000001055e-02 2.429737747273516213e+00
9.200000000000004008e-02 2.540853368444207838e+00
9.400000000000006961e-02 2.617237569276751774e+00
9.599999999999994649e-02 2.723835559394728989e+00
9.799999999999998990e-02 2.857289345606455644e+00
1.000000000000000333e-01 2.995964034365136364e+00
1.020000000000000767e-01 3.166306001736110876e+00
1.039999999999999536e-01 3.311016144326073274e+00
1.059999999999999831e-01 3.483838741487137458e+00
1.080000000000000265e-01 3.709863502327967577e+00
1.100000000000000699e-01 3.965719495945785766e+00
1.120000000000001134e-01 4.141589942838541205e+00
1.139999999999999902e-01 4.376780685998657994e+00
1.160000000000000198e-01 4.557374213912562588e+00
1.180000000000000909e-01 4.659494464758917154e+00
1.199999999999999678e-01 4.765814022054529531e+00
1.219999999999999835e-01 4.926701174461411092e+00
1.239999999999999991e-01 5.102207834801136599e+00
1.260000000000000564e-01 5.363279739307132310e+00
1.280000000000001137e-01 5.640209260440341765e+00
1.299999999999999767e-01 5.986591529206122253e+00
1.320000000000000062e-01 6.228868925838463966e+00
1.340000000000000635e-01 6.508804025435999563e+00
1.360000000000001208e-01 7.064710903148673893e+00
1.379999999999999838e-01 7.351177984893861428e+00
1.400000000000000133e-01 7.509234943325836298e+00
1.420000000000000429e-01 7.810000574303582965e+00
1.440000000000001001e-01 7.941771750033539412e+00
1.459999999999999631e-01 8.113028613064237504e+00
1.480000000000000204e-01 8.260204245117186872e+00
1.500000000000000500e-01 8.415906045941840219e+00
1.520000000000000795e-01 8.754363297393860321e+00
1.539999999999999702e-01 8.891811415776910366e+00
1.559999999999999998e-01 9.138507484688684457e+00
1.580000000000000571e-01 9.247430849441682810e+00
1.600000000000000588e-01 9.404390548646622605e+00
1.619999999999999774e-01 9.621549279519806319e+00
1.640000000000000069e-01 9.817953629813761296e+00
1.660000000000000364e-01 9.979272183952810238e+00
1.680000000000000937e-01 1.020195045302635783e+01
1.699999999999999567e-01 1.041454085785590422e+01
1.719999999999999862e-01 1.066663990242463633e+01
1.740000000000000435e-01 1.099820015280934271e+01
1.760000000000000731e-01 1.120451000605271474e+01
1.779999999999999638e-01 1.145361934769373669e+01
1.800000000000000211e-01 1.179195866220604572e+01
1.820000000000000229e-01 1.197236909200007737e+01
1.840000000000000802e-01 1.218013904375592027e+01
1.860000000000000264e-01 1.233377641319049722e+01
1.880000000000000004e-01 1.248602217561553118e+01
1.900000000000000300e-01 1.257413045659722250e+01
1.920000000000000595e-01 1.270028504510535150e+01
1.940000000000000335e-01 1.296622979056186864e+01
1.959999999999999798e-01 1.304241493313604927e+01
1.980000000000000371e-01 1.321076667057291587e+01
2.000000000000000666e-01 1.344515089235321881e+01
