# gamma d2min std
1.420000000000000151e-01 7.588687452495660679e+00 1.216046619905159609e+01
1.440000000000000169e-01 7.909687252748184072e+00 1.273051764925744678e+01
1.459999999999999909e-01 8.191538461389283654e+00 1.328445807411919688e+01
1.479999999999999649e-01 8.445393304077887464e+00 1.367751732283779020e+01
1.499999999999999667e-01 8.701634564098011282e+00 1.413768408970903323e+01
1.519999999999999685e-01 8.922736843179844612e+00 1.449591655999156004e+01
1.540000000000001090e-01 9.125941848780776411e+00 1.483672022205344376e+01
1.559999999999999443e-01 9.318572935858584927e+00 1.510452078443614532e+01
1.580000000000000848e-01 9.485917070756393343e+00 1.539517861466160475e+01
1.600000000000000866e-01 9.665063550288035543e+00 1.564771294254447831e+01
1.620000000000000884e-01 9.967290618444208050e+00 1.609001205688091929e+01
1.640000000000000624e-01 1.013443706037720915e+01 1.635009262016826170e+01
1.660000000000000642e-01 1.028837530696811875e+01 1.661669844907657634e+01
1.680000000000000382e-01 1.040441744787918132e+01 1.684356147589573283e+01
1.700000000000000400e-01 1.057969680793481793e+01 1.719420490343485852e+01
1.720000000000000417e-01 1.080153080379971442e+01 1.752105497273437607e+01
1.740000000000000158e-01 1.101953469029750643e+01 1.804855533605001483e+01
1.760000000000000175e-01 1.125114540002761920e+01 1.841732414666777728e+01
1.779999999999999916e-01 1.155004694809817067e+01 1.883304888794882359e+01
1.799999999999999656e-01 1.180829716351404635e+01 1.930506171676568883e+01
1.819999999999999951e-01 1.200432879636600525e+01 1.967049726839800528e+01
1.839999999999999691e-01 1.223533510288233828e+01 2.012208886405765540e+01
1.860000000000000542e-01 1.243549328258759346e+01 2.048635405834955137e+01
1.879999999999999449e-01 1.264978586555792539e+01 2.079193601363814992e+01
1.900000000000000300e-01 1.289580911174439848e+01 2.103906419914772030e+01
1.920000000000000318e-01 1.305884175452375118e+01 2.132238130206601312e+01
1.940000000000000058e-01 1.333903662553069580e+01 2.178107957867449684e+01
1.960000000000000075e-01 1.352963054438920665e+01 2.198136198429990884e+01
1.980000000000000648e-01 1.373086142173295521e+01 2.237710442139240641e+01
2.000000000000000666e-01 1.395028304817905607e+01 2.261552777938627656e+01
