# gamma d2min std
4.000000000000035645e-03 6.009924126321811721e-01 3.825872907080404284e-01
6.000000000000053901e-03 6.094971672052557077e-01 4.007983185791245684e-01
8.000000000000071290e-03 6.106354889855587498e-01 3.955602239580737756e-01
9.999999999999927350e-03 6.075777274877682821e-01 3.934263486711372937e-01
1.199999999999994474e-02 6.110322640348800904e-01 4.033052021004334131e-01
1.399999999999996213e-02 6.149468298670296429e-01 4.052826464774494375e-01
1.599999999999997952e-02 6.139125496961805872e-01 4.238671707998753480e-01
1.799999999999999864e-02 6.175941442155934435e-01 4.165150244323808093e-01
2.000000000000001776e-02 6.192208176412562493e-01 4.214348535651868399e-01
2.200000000000003689e-02 6.253598416153723916e-01 4.325713123917029335e-01
2.400000000000005254e-02 6.282429602627840337e-01 4.275821514525710021e-01
2.600000000000007166e-02 6.295024301886047446e-01 4.444983126180332977e-01
2.799999999999992426e-02 6.260158102529198576e-01 4.314936186068686896e-01
2.999999999999994338e-02 6.332003641177399444e-01 4.447596512834967042e-01
3.199999999999995903e-02 6.414207728594538693e-01 4.730511640101964232e-01
3.399999999999998163e-02 6.423468053562974012e-01 4.672952907240425779e-01
3.599999999999999728e-02 6.480010149640941242e-01 4.787398814031886274e-01
3.800000000000001987e-02 6.485122451507260299e-01 4.918666228215566316e-01
4.000000000000003553e-02 6.534823640546084667e-01 4.802343184691875710e-01
4.200000000000005118e-02 6.625670699416035259e-01 4.853208037740434078e-01
4.400000000000007377e-02 6.618841607362689894e-01 5.126240696894958093e-01
4.599999999999992290e-02 6.727345563663983397e-01 5.586250708639619589e-01
4.799999999999993855e-02 6.818146902264835552e-01 5.690209403963834012e-01
4.999999999999996114e-02 6.843832482421875474e-01 5.641664902902038259e-01
5.199999999999997680e-02 6.855798157335067922e-01 5.563951649522650422e-01
5.399999999999999245e-02 6.969885305713383605e-01 5.932067246044936404e-01
5.600000000000001504e-02 7.056883485282513524e-01 6.067325430496771643e-01
5.800000000000003070e-02 7.125879555634467843e-01 6.054268959841758724e-01
6.000000000000004635e-02 7.220017780697600696e-01 6.372959963987010479e-01
6.200000000000006894e-02 7.301631718907828361e-01 6.465752701362146304e-01
6.400000000000008460e-02 7.420915929174557446e-01 6.575466442005568624e-01
6.599999999999993372e-02 7.472197766927083373e-01 6.621947940424300905e-01
6.799999999999996325e-02 7.714174490037090104e-01 7.277292816103608786e-01
6.999999999999996503e-02 7.701350700205178423e-01 7.071080007528962597e-01
7.199999999999999456e-02 7.793342983506944543e-01 7.421552280664737156e-01
7.400000000000001021e-02 8.129013454387626902e-01 8.179703466588585936e-01
7.600000000000003975e-02 8.189756249467329274e-01 8.543028981029522351e-01
7.800000000000004152e-02 8.360842435921718163e-01 8.611008468077325784e-01
8.000000000000007105e-02 8.429253450363004552e-01 8.589757756312235148e-01
8.199999999999992017e-02 8.720059327986899866e-01 9.117127625752696751e-01
8.399999999999993583e-02 8.757519881707701570e-01 9.091189606041060189e-01
8.599999999999995148e-02 9.057675309895834026e-01 9.922579148107746327e-01
8.799999999999996714e-02 9.288963971748736004e-01 1.082037608725737066e+00
8.999999999999999667e-02 9.629260918619793053e-01 1.152803220436310783e+00
9.200000000000001232e-02 9.767571062322443209e-01 1.175141412171260669e+00
9.400000000000002798e-02 1.023250861687184488e+00 1.283490430863164944e+00
9.600000000000004363e-02 1.056738994128787690e+00 1.335831265199085127e+00
9.800000000000005929e-02 1.104483282303503788e+00 1.441939009163228702e+00
1.000000000000000749e-01 1.129550124579782100e+00 1.497741193810464111e+00
1.019999999999999379e-01 1.180187248165246228e+00 1.625689715158628479e+00
1.039999999999999536e-01 1.214142479904513960e+00 1.731609792737102138e+00
1.059999999999999692e-01 1.271151234517045481e+00 1.888085508394040435e+00
1.079999999999999849e-01 1.310482888060290563e+00 1.974956764323718916e+00
