# gamma	percentage	time
9.999999793624848865e-02 8.666351154562121906e-01 1.000000000000000000e+06
1.019999967255142692e-01 8.506867932783991337e-01 1.020000000000000000e+06
1.040000046870089984e-01 8.709099234626362929e-01 1.040000000000000000e+06
1.060000034762747789e-01 8.635112172976714406e-01 1.060000000000000000e+06
1.080000011190119236e-01 8.602229034465759261e-01 1.080000000000000000e+06
1.099999987617490960e-01 8.598940720614663968e-01 1.100000000000000000e+06
1.119999975510148765e-01 8.643332957604452638e-01 1.120000000000000000e+06
1.139999963402806571e-01 8.533174443592753677e-01 1.140000000000000000e+06
1.160000043017753862e-01 8.543039385146040665e-01 1.160000000000000000e+06
1.180000019445125309e-01 8.585787465210281688e-01 1.180000000000000000e+06
1.199999995872497033e-01 8.495358834305157814e-01 1.200000000000000000e+06
1.219999983765154838e-01 8.454254911166463327e-01 1.220000000000000000e+06
1.239999960192526285e-01 8.551260169773780007e-01 1.240000000000000000e+06
1.260000051272759658e-01 8.429592557283247523e-01 1.260000000000000000e+06
1.280000027700131382e-01 8.332587298675931953e-01 1.280000000000000000e+06
1.300000004127503106e-01 8.337519769452574891e-01 1.300000000000000000e+06
1.319999992020161050e-01 8.363826280261338342e-01 1.320000000000000000e+06
1.339999968447532497e-01 8.334231455601478489e-01 1.340000000000000000e+06
1.359999956340190164e-01 8.265176864728472905e-01 1.360000000000000000e+06
1.380000035955137594e-01 8.431236714208795169e-01 1.380000000000000000e+06
1.400000012382509318e-01 8.298060003239428051e-01 1.400000000000000000e+06
1.420000000275166707e-01 8.363826280261338342e-01 1.420000000000000000e+06
1.439999976702538431e-01 8.386844477219006500e-01 1.440000000000000000e+06
1.459999953129910155e-01 8.482205578900774423e-01 1.460000000000000000e+06
1.480000044210143528e-01 8.598940720614663968e-01 1.480000000000000000e+06
1.500000020637515252e-01 8.523309502039467800e-01 1.500000000000000000e+06
1.520000008530172642e-01 8.526597815890564203e-01 1.520000000000000000e+06
1.539999984957544643e-01 8.589075779061378091e-01 1.540000000000000000e+06
1.559999961384916090e-01 8.501935462007347288e-01 1.560000000000000000e+06
1.579999949277574034e-01 8.597296563689116322e-01 1.580000000000000000e+06
1.600000040357807407e-01 8.584143308284734042e-01 1.600000000000000000e+06
1.620000016785179131e-01 8.441101655762081046e-01 1.620000000000000000e+06
1.639999993212550577e-01 8.465764009645296850e-01 1.640000000000000000e+06
1.659999969639922301e-01 8.380267849516813694e-01 1.660000000000000000e+06
1.679999957532579691e-01 8.534818600518302434e-01 1.680000000000000000e+06
1.700000048612813341e-01 8.444389969613177449e-01 1.700000000000000000e+06
1.720000025040185065e-01 8.352317181782504818e-01 1.720000000000000000e+06
1.740000001467556789e-01 8.431236714208795169e-01 1.740000000000000000e+06
1.759999977894928236e-01 8.447678283464273852e-01 1.760000000000000000e+06
1.779999965787585903e-01 8.358893809484694293e-01 1.780000000000000000e+06
1.800000056867819276e-01 8.459187381943106265e-01 1.800000000000000000e+06
1.820000033295191277e-01 8.398353575697840023e-01 1.820000000000000000e+06
1.839999895069700797e-01 8.393421104921197085e-01 1.840000000000000000e+06
1.859999986149934170e-01 8.442745812687629803e-01 1.860000000000000000e+06
1.880000077230167821e-01 8.434525028059890461e-01 1.880000000000000000e+06
1.899999950469963839e-01 8.434525028059890461e-01 1.900000000000000000e+06
1.920000041550197212e-01 8.464119852719750314e-01 1.920000000000000000e+06
1.939999914789993229e-01 8.464119852719750314e-01 1.940000000000000000e+06
1.959999994404940382e-01 8.390132791070102902e-01 1.960000000000000000e+06
1.980000085485173755e-01 8.350673024856956062e-01 1.980000000000000000e+06
