# gamma d2min
2.000000000000009149e-03 7.641526865944601177e-01
4.000000000000018298e-03 7.543276150390624268e-01
6.000000000000027880e-03 7.649859712594697658e-01
8.000000000000036596e-03 7.734330201329702170e-01
1.000000000000004705e-02 7.769069234236901655e-01
1.200000000000005576e-02 7.863906610973010469e-01
1.400000000000006621e-02 7.879689511955493275e-01
1.600000000000007319e-02 7.996186506411773198e-01
1.799999999999992231e-02 8.124740497001262662e-01
1.999999999999993103e-02 8.240767079505997295e-01
2.199999999999993974e-02 8.343537187105429798e-01
2.399999999999995193e-02 8.460694306936553666e-01
2.599999999999996064e-02 8.602700269274780043e-01
2.799999999999996936e-02 8.994272347320864114e-01
2.999999999999998501e-02 8.978882112077810618e-01
3.199999999999998679e-02 9.216815213975695364e-01
3.399999999999999550e-02 9.420735140190973356e-01
3.600000000000000422e-02 9.526711945667613035e-01
3.800000000000001987e-02 9.879189568734216831e-01
4.000000000000002859e-02 1.011018458720012614e+00
4.200000000000003730e-02 1.021905377838936424e+00
4.400000000000004602e-02 1.055638700645123107e+00
4.600000000000005473e-02 1.087970577838935915e+00
4.800000000000006345e-02 1.112109079214015139e+00
5.000000000000007216e-02 1.144887304294902153e+00
5.199999999999992129e-02 1.173193270572916891e+00
5.400000000000008959e-02 1.217529781672190614e+00
5.599999999999993872e-02 1.282659525704308745e+00
5.799999999999994743e-02 1.299096927959280334e+00
5.999999999999995615e-02 1.363391985706676079e+00
6.199999999999996486e-02 1.409656218412641770e+00
6.399999999999997358e-02 1.427004674029356046e+00
6.599999999999998923e-02 1.502141675946969457e+00
6.799999999999999101e-02 1.545157824122079804e+00
7.000000000000002054e-02 1.616962559763651885e+00
7.200000000000000844e-02 1.696774933625315507e+00
7.400000000000002409e-02 1.773486676479640201e+00
7.600000000000003975e-02 1.873107859590041002e+00
7.800000000000004152e-02 1.961934666388494009e+00
8.000000000000004330e-02 2.048833823907039164e+00
8.200000000000005895e-02 2.158925388796165024e+00
8.400000000000007461e-02 2.250540929217960784e+00
8.599999999999992373e-02 2.345312032331123842e+00
8.800000000000009204e-02 2.448104863091856043e+00
8.999999999999994116e-02 2.589233673960305904e+00
9.199999999999994293e-02 2.776934515573705742e+00
9.399999999999995859e-02 2.951701930778487970e+00
9.599999999999996037e-02 3.047054224717881787e+00
9.799999999999997602e-02 3.275982028675425983e+00
9.999999999999997780e-02 3.384660247301136238e+00
1.019999999999999934e-01 3.569505102359532778e+00
1.040000000000000091e-01 3.841803740094303254e+00
1.060000000000000109e-01 4.090942140798611071e+00
1.080000000000000265e-01 4.343934808406328507e+00
1.100000000000000283e-01 4.613792534367108900e+00
1.120000000000000440e-01 4.879986213308869836e+00
1.140000000000000457e-01 5.118606764638573559e+00
1.160000000000000614e-01 5.312872251233033083e+00
1.180000000000000909e-01 5.567866913346352753e+00
1.199999999999999123e-01 5.730641110789536086e+00
1.220000000000000806e-01 5.898302980381945559e+00
1.239999999999999297e-01 6.107551356382181496e+00
1.259999999999999454e-01 6.267515691714015347e+00
1.279999999999999472e-01 6.392012738216145351e+00
1.299999999999999767e-01 6.571499256764915309e+00
1.319999999999999785e-01 6.806808318982795925e+00
1.339999999999999802e-01 7.051009964172979316e+00
1.359999999999999820e-01 7.277445091609454408e+00
1.380000000000000115e-01 7.490814144146543896e+00
1.400000000000000411e-01 7.721032814770754094e+00
1.420000000000000151e-01 8.193802503259155046e+00
1.440000000000000169e-01 8.520098065806504195e+00
1.460000000000000464e-01 8.726146986669428784e+00
1.480000000000000482e-01 8.860265528132892143e+00
1.500000000000000777e-01 8.959664669625947653e+00
1.520000000000000795e-01 9.170705004711173558e+00
1.540000000000000813e-01 9.377048143481690801e+00
1.560000000000000830e-01 9.552141122344538715e+00
1.579999999999999183e-01 9.775500515490847420e+00
1.600000000000000866e-01 1.002705610878906306e+01
1.619999999999999496e-01 1.018632268702651444e+01
1.639999999999999514e-01 1.032332225358270250e+01
1.659999999999999809e-01 1.053530373760061423e+01
1.680000000000000104e-01 1.079570552686434937e+01
1.699999999999999845e-01 1.094477763838975726e+01
1.719999999999999862e-01 1.117652611221196501e+01
1.740000000000000158e-01 1.127584750964527949e+01
1.760000000000000175e-01 1.151255209516453704e+01
1.780000000000000193e-01 1.179672794885574305e+01
1.800000000000000488e-01 1.191904203842723931e+01
1.820000000000000784e-01 1.218037041127683118e+01
1.840000000000000524e-01 1.235317042148634847e+01
1.860000000000000542e-01 1.259301766259469701e+01
1.880000000000000004e-01 1.268021751802793418e+01
1.900000000000000022e-01 1.293034769305160836e+01
1.920000000000000040e-01 1.314404192672230032e+01
1.940000000000000335e-01 1.326012809635416900e+01
1.959999999999999520e-01 1.342070953038786385e+01
1.979999999999999538e-01 1.361070969760890215e+01
1.999999999999999556e-01 1.389088502334082875e+01
