# gamma	percentage	time
0.000000000000000000e+00 8.709902526817084878e-01 0.000000000000000000e+00
1.999999761529723530e-03 8.599754646617625564e-01 2.000000000000000000e+04
4.000000669551160258e-03 8.752646480327324063e-01 4.000000000000000000e+04
6.000000431080882921e-03 8.691818546485829966e-01 6.000000000000000000e+04
8.000000192610608185e-03 8.629346614432404916e-01 8.000000000000000000e+04
1.000000110063204231e-02 8.525774727080672744e-01 1.000000000000000000e+05
1.199999971567005524e-02 8.604686641253421753e-01 1.200000000000000000e+05
1.400000062369149111e-02 8.635922607280134278e-01 1.400000000000000000e+05
1.600000038522121637e-02 8.604686641253421753e-01 1.600000000000000000e+05
1.800000014675093643e-02 8.611262634101150004e-01 1.800000000000000000e+05
2.000000105477237403e-02 8.626058618008540790e-01 2.000000000000000000e+05
2.199999966981038696e-02 8.714834521452882177e-01 2.200000000000000000e+05
2.399999828484839295e-02 8.660582580459117441e-01 2.400000000000000000e+05
2.600000033936154462e-02 8.547146703835792891e-01 2.600000000000000000e+05
2.800000010089127161e-02 8.607974637677285878e-01 2.800000000000000000e+05
2.999999986242098821e-02 8.635922607280134278e-01 3.000000000000000000e+05
3.200000191693413987e-02 8.596466650193759218e-01 3.200000000000000000e+05
3.400000053197215627e-02 8.558654691319317331e-01 3.400000000000000000e+05
3.599999914701016573e-02 8.520842732444875445e-01 3.600000000000000000e+05
3.799999890853988926e-02 8.580026668074436369e-01 3.800000000000000000e+05
4.000000096305303399e-02 8.542214709199994482e-01 4.000000000000000000e+05
4.200000072458275752e-02 8.533994718140334168e-01 4.200000000000000000e+05
4.399999933962077392e-02 8.512622741385215130e-01 4.400000000000000000e+05
4.599999795465877644e-02 8.522486730656807508e-01 4.600000000000000000e+05
4.799999771618850691e-02 8.445218814695992782e-01 4.800000000000000000e+05
5.000000206368507977e-02 8.483030773570433558e-01 5.000000000000000000e+05
5.200000182521481024e-02 8.366306900523243772e-01 5.200000000000000000e+05
5.400000044025281276e-02 8.382746882642566622e-01 5.400000000000000000e+05
5.600000020178254323e-02 8.441930818272128656e-01 5.600000000000000000e+05
5.799999881682054576e-02 8.527418725292603696e-01 5.800000000000000000e+05
5.999999857835027622e-02 8.404118859397686769e-01 6.000000000000000000e+05
6.199999719338827875e-02 8.436998823636332467e-01 6.200000000000000000e+05
6.400000268737657261e-02 8.366306900523243772e-01 6.400000000000000000e+05
6.600000130241458207e-02 8.295614977410157298e-01 6.600000000000000000e+05
6.800000106394429866e-02 8.400830862973821533e-01 6.800000000000000000e+05
6.999999967898232200e-02 8.303834968469818723e-01 7.000000000000000000e+05
7.199999944051202472e-02 8.300546972045953487e-01 7.200000000000000000e+05
7.399999805555004806e-02 8.390966873702228046e-01 7.400000000000000000e+05
7.599999781707977853e-02 8.256159020323783349e-01 7.600000000000000000e+05
7.800000216457635138e-02 8.127927159793066902e-01 7.800000000000000000e+05
8.000000192610606797e-02 8.210127070389680037e-01 8.000000000000000000e+05
8.200000054114409132e-02 8.239719038204460499e-01 8.200000000000000000e+05
8.400000030267379403e-02 8.203551077541950676e-01 8.400000000000000000e+05
8.599999891771181737e-02 8.185467097210695764e-01 8.600000000000000000e+05
8.799999867924154784e-02 8.147655138336253877e-01 8.800000000000000000e+05
8.999999844077126443e-02 8.132859154428864201e-01 9.000000000000000000e+05
9.199999705580926002e-02 8.073675218799303277e-01 9.200000000000000000e+05
9.399999567084726948e-02 8.078607213435100576e-01 9.400000000000000000e+05
9.599999543237701383e-02 8.012847284957809180e-01 9.600000000000000000e+05
9.799999404741502329e-02 8.144367141912388641e-01 9.800000000000000000e+05
1.000000052738618667e-01 8.052303242044183129e-01 1.000000000000000000e+06
1.020000038888998761e-01 8.177247106151034339e-01 1.020000000000000000e+06
1.040000025039378856e-01 8.078607213435100576e-01 1.040000000000000000e+06
1.060000022654676161e-01 8.147655138336253877e-01 1.060000000000000000e+06
1.080000020269973326e-01 8.007915290322012991e-01 1.080000000000000000e+06
1.100000006420353421e-01 7.988187311778824906e-01 1.100000000000000000e+06
1.120000004035650865e-01 7.886259422639024796e-01 1.120000000000000000e+06
1.140000001650947892e-01 7.930647374361196045e-01 1.140000000000000000e+06
