# gamma d2min
1.999999999999991368e-03 7.115496635673138615e-01
3.999999999999982736e-03 7.095847975497158178e-01
5.999999999999974971e-03 7.068017952986899166e-01
7.999999999999965472e-03 7.091154768663193719e-01
9.999999999999958575e-03 7.125523388435132111e-01
1.199999999999994994e-02 7.222793732855902205e-01
1.399999999999994131e-02 7.195398337219854890e-01
1.599999999999993094e-02 7.318531129596748119e-01
1.799999999999992578e-02 7.348190412720959630e-01
2.000000000000007674e-02 7.497532845150726155e-01
2.200000000000006811e-02 7.580861165759155140e-01
2.400000000000005948e-02 7.641437259568339968e-01
2.600000000000005085e-02 7.624547689689867846e-01
2.800000000000004569e-02 7.705797693241004387e-01
3.000000000000004052e-02 7.576814583708175732e-01
3.200000000000003536e-02 7.737771100812815828e-01
3.400000000000001632e-02 7.839649950895674069e-01
3.600000000000001116e-02 8.035522770991160302e-01
3.799999999999999906e-02 8.001249827020201488e-01
3.999999999999999389e-02 8.077376945825441856e-01
4.199999999999998179e-02 8.227330722261680940e-01
4.399999999999997663e-02 8.267265370896464960e-01
4.599999999999997147e-02 8.421381877505524916e-01
4.799999999999995937e-02 8.488103983467487623e-01
4.999999999999995420e-02 8.609558998283616260e-01
5.199999999999994210e-02 8.761315851661143350e-01
5.399999999999993694e-02 8.961505038036614579e-01
5.600000000000009137e-02 9.057052761284721809e-01
5.800000000000007233e-02 9.067471820983270536e-01
6.000000000000008105e-02 9.410343384962909230e-01
6.200000000000007588e-02 9.534317706498579570e-01
6.400000000000007072e-02 9.617986028744475169e-01
6.600000000000004474e-02 1.005910495367739799e+00
6.800000000000003264e-02 1.014013036365609022e+00
7.000000000000003442e-02 1.049870065269886465e+00
7.200000000000002232e-02 1.071960153712910424e+00
7.400000000000001021e-02 1.085409590871606822e+00
7.599999999999999811e-02 1.112204621776357039e+00
7.799999999999999989e-02 1.128342035373263830e+00
7.999999999999998779e-02 1.174163264713541821e+00
8.199999999999997569e-02 1.245957321561316222e+00
8.399999999999996358e-02 1.256442579071969767e+00
8.599999999999996536e-02 1.325237941386521623e+00
8.799999999999995326e-02 1.360376765630918472e+00
8.999999999999994116e-02 1.445571441224747344e+00
9.199999999999994293e-02 1.489435246415324876e+00
9.399999999999993083e-02 1.551747758885732242e+00
9.599999999999991873e-02 1.630480631435448746e+00
9.799999999999990663e-02 1.711547023281644320e+00
1.000000000000000611e-01 1.791390600301846492e+00
1.020000000000000628e-01 1.894807920316445848e+00
1.040000000000000507e-01 2.019920507751341798e+00
1.060000000000000386e-01 2.090648544393150399e+00
1.080000000000000265e-01 2.270571483619396869e+00
1.100000000000000283e-01 2.542229778714883093e+00
1.120000000000000162e-01 2.981753206309186055e+00
1.140000000000000041e-01 3.713771181443339398e+00
1.159999999999999920e-01 4.643929870916192471e+00
1.179999999999999938e-01 5.151207710477825330e+00
1.199999999999999817e-01 5.635507216195154712e+00
1.219999999999999696e-01 5.881580032893386267e+00
1.239999999999999575e-01 6.029398838306896380e+00
1.259999999999999454e-01 6.191735945870817659e+00
1.279999999999999472e-01 6.311370995584753452e+00
1.300000000000000877e-01 6.445664846991399521e+00
1.320000000000000895e-01 6.598593876284328807e+00
1.340000000000000913e-01 6.848856410308159504e+00
1.360000000000000653e-01 7.104719138285195079e+00
1.380000000000000671e-01 7.504772180541745108e+00
1.400000000000000688e-01 7.677410885426530385e+00
1.420000000000000429e-01 7.888770111659564321e+00
1.440000000000000446e-01 8.110928271178583060e+00
1.460000000000000464e-01 8.345126558658854776e+00
1.480000000000000204e-01 8.562303339372238753e+00
1.500000000000000222e-01 8.787975652714646202e+00
1.519999999999999962e-01 8.867007371616557165e+00
1.539999999999999980e-01 9.093184299179293717e+00
1.559999999999999998e-01 9.299400500278172998e+00
1.579999999999999738e-01 9.477342412523674042e+00
1.599999999999999756e-01 9.650023756031014699e+00
1.619999999999999774e-01 9.808836745030383497e+00
1.639999999999999514e-01 1.005200961979955743e+01
1.659999999999999531e-01 1.021399798528842950e+01
1.679999999999999272e-01 1.044270108968197697e+01
1.699999999999999012e-01 1.070383758526081053e+01
1.719999999999999307e-01 1.087510914663431194e+01
1.739999999999999047e-01 1.120158760195312553e+01
1.760000000000000731e-01 1.141450382674794817e+01
1.780000000000000471e-01 1.158858038821614755e+01
1.800000000000000488e-01 1.181014762024542186e+01
1.820000000000000506e-01 1.190380180618489625e+01
1.840000000000000246e-01 1.197787595505642244e+01
1.860000000000000264e-01 1.215519196382970435e+01
1.880000000000000282e-01 1.235862767955137365e+01
1.900000000000000022e-01 1.253063875829979423e+01
1.920000000000000040e-01 1.265131230281920871e+01
1.940000000000000058e-01 1.288130556816208916e+01
1.959999999999999798e-01 1.303872440637429087e+01
1.979999999999999816e-01 1.317082324455097897e+01
1.999999999999999556e-01 1.329533300917771577e+01
