# gamma	percentage	time
0.000000000000000000e+00 8.949873850877683168e-01 0.000000000000000000e+00
2.000000236191294863e-03 9.038665544419368647e-01 2.000000000000000000e+04
4.000000472382589725e-03 9.092927134917065946e-01 4.000000000000000000e+04
6.000000708573883720e-03 9.076484228705642421e-01 6.000000000000000000e+04
8.000000944765179450e-03 9.027155510071371847e-01 8.000000000000000000e+04
1.000000003439679118e-02 8.994269697648525907e-01 1.000000000000000000e+05
1.200000027058808517e-02 8.979471082058244624e-01 1.200000000000000000e+05
1.400000050677937917e-02 9.000846860133094873e-01 1.400000000000000000e+05
1.600000074297067490e-02 9.040309835040510889e-01 1.600000000000000000e+05
1.800000097916196543e-02 9.027155510071371847e-01 1.800000000000000000e+05
2.000000121535326636e-02 8.989336825785099183e-01 2.000000000000000000e+05
2.200000145154455689e-02 8.979471082058244624e-01 2.200000000000000000e+05
2.400000054117617035e-02 8.963028175846822210e-01 2.400000000000000000e+05
2.600000077736746781e-02 8.925209491560548436e-01 2.600000000000000000e+05
2.800000101355875834e-02 8.995913988269668149e-01 2.800000000000000000e+05
3.000000124975004887e-02 8.987692535163956942e-01 3.000000000000000000e+05
3.200000148594134980e-02 8.989336825785099183e-01 3.200000000000000000e+05
3.400000286869232780e-02 8.999202569511952632e-01 3.400000000000000000e+05
3.600000195832393085e-02 8.907122294727982670e-01 3.600000000000000000e+05
3.800000219451523525e-02 8.940008107150828609e-01 3.800000000000000000e+05
4.000000243070653272e-02 8.928498072802832919e-01 4.000000000000000000e+05
4.200000266689782324e-02 8.921920910318263953e-01 4.200000000000000000e+05
4.400000290308911377e-02 8.969605338331391176e-01 4.400000000000000000e+05
4.600000313928041817e-02 9.018934056965660639e-01 4.600000000000000000e+05
4.799999993579266017e-02 8.928498072802832919e-01 4.800000000000000000e+05
5.000000361166299923e-02 8.893967969758843628e-01 5.000000000000000000e+05
5.200000155473493563e-02 8.954806722741109892e-01 5.200000000000000000e+05
5.400000408404558722e-02 8.908766585349124911e-01 5.400000000000000000e+05
5.600000202711751668e-02 8.918632329075978360e-01 5.600000000000000000e+05
5.800000455642818908e-02 8.801887694974873666e-01 5.800000000000000000e+05
6.000000135294043108e-02 8.836417798018862957e-01 6.000000000000000000e+05
6.200000502881077014e-02 8.798599113732589183e-01 6.200000000000000000e+05
6.400000297188269960e-02 8.782156207521165658e-01 6.400000000000000000e+05
6.600000550119335119e-02 8.744337523234891885e-01 6.600000000000000000e+05
6.800000344426528065e-02 8.755847557582888685e-01 6.800000000000000000e+05
7.000000024077752958e-02 8.795310532490304700e-01 7.000000000000000000e+05
7.200000277008819505e-02 8.847927832366858647e-01 7.200000000000000000e+05
7.400000071316012451e-02 8.739404651371465160e-01 7.400000000000000000e+05
7.600000438903047051e-02 8.690075932737195696e-01 7.600000000000000000e+05
7.800000118554270556e-02 8.645680085966352957e-01 7.800000000000000000e+05
8.000000486141306544e-02 8.624304307891502708e-01 8.000000000000000000e+05
8.200000165792530049e-02 8.652257248450921923e-01 8.200000000000000000e+05
8.400000418723597984e-02 8.609505692301221425e-01 8.400000000000000000e+05
8.600000213030790930e-02 8.581552751741801099e-01 8.600000000000000000e+05
8.800000580617821366e-02 8.532224033107531636e-01 8.800000000000000000e+05
9.000000260269047647e-02 8.663767282798918723e-01 9.000000000000000000e+05
9.200000513200114194e-02 8.471385280125265371e-01 9.200000000000000000e+05
9.400000307507307140e-02 8.538801195592100601e-01 9.400000000000000000e+05
9.600000101814498699e-02 8.408902236521857976e-01 9.600000000000000000e+05
9.800000928025406899e-02 8.359573517887587402e-01 9.800000000000000000e+05
1.000000072233259985e-01 8.361217808508729643e-01 1.000000000000000000e+06
1.020000040198382613e-01 8.354640646024160677e-01 1.020000000000000000e+06
1.040000019629101768e-01 8.349707774160733953e-01 1.040000000000000000e+06
1.059999987594224119e-01 8.371083552235583092e-01 1.060000000000000000e+06
1.080000081680911744e-01 8.272426114967044164e-01 1.080000000000000000e+06
1.100000049646034372e-01 8.249406046271051673e-01 1.100000000000000000e+06
1.120000029076753528e-01 8.316821961737886904e-01 1.120000000000000000e+06
1.140000008507472962e-01 8.117862796579666806e-01 1.140000000000000000e+06
1.160000079662966838e-01 8.055379752976256080e-01 1.160000000000000000e+06
1.180000059093686132e-01 8.111285634095096730e-01 1.180000000000000000e+06
1.200000038524405427e-01 8.099775599747099930e-01 1.200000000000000000e+06
1.220000017955124721e-01 8.030715393659121348e-01 1.220000000000000000e+06
1.240000100576215403e-01 8.081688402914534164e-01 1.240000000000000000e+06
1.260000068541337892e-01 8.198433037015638858e-01 1.260000000000000000e+06
1.280000047972057187e-01 8.198433037015638858e-01 1.280000000000000000e+06
1.300000015937179676e-01 8.205010199500208934e-01 1.300000000000000000e+06
1.320000110023867301e-01 8.081688402914534164e-01 1.320000000000000000e+06
1.340000077988989513e-01 8.145815737139084911e-01 1.340000000000000000e+06
1.360000068885305613e-01 8.152392899623654987e-01 1.360000000000000000e+06
1.380000025384831297e-01 8.112929924716240082e-01 1.380000000000000000e+06
1.400000004815550314e-01 8.019205359311126768e-01 1.400000000000000000e+06
1.420000087436641134e-01 8.019205359311126768e-01 1.420000000000000000e+06
1.440000066867360706e-01 8.093198437262529854e-01 1.440000000000000000e+06
1.460000046298080001e-01 8.111285634095096730e-01 1.460000000000000000e+06
1.480000014263202213e-01 8.112929924716240082e-01 1.480000000000000000e+06
1.500000096884293310e-01 8.144171446517942670e-01 1.500000000000000000e+06
1.520000076315012327e-01 8.045514009249402632e-01 1.520000000000000000e+06
1.540000055745731899e-01 8.117862796579666806e-01 1.540000000000000000e+06
1.560000023710854111e-01 8.037292556143691424e-01 1.560000000000000000e+06
1.580000106331944931e-01 8.107997052852811137e-01 1.580000000000000000e+06
1.600000097228261309e-01 8.165547224592792919e-01 1.600000000000000000e+06
1.620000053727786715e-01 8.045514009249402632e-01 1.620000000000000000e+06
1.640000033158505732e-01 7.956722315707718263e-01 1.640000000000000000e+06
1.660000115779596552e-01 8.045514009249402632e-01 1.660000000000000000e+06
1.680000095210316124e-01 8.052091171733972708e-01 1.680000000000000000e+06
1.700000074641035419e-01 8.057024043597399432e-01 1.700000000000000000e+06
1.720000042606157908e-01 8.152392899623654987e-01 1.720000000000000000e+06
1.740000022036876925e-01 8.058668334218541673e-01 1.740000000000000000e+06
1.760000104657967746e-01 8.081688402914534164e-01 1.760000000000000000e+06
1.780000084088687318e-01 8.091554146641388723e-01 1.780000000000000000e+06
1.800000052053809529e-01 8.142527155896800428e-01 1.800000000000000000e+06
1.820000042950125907e-01 8.132661412169948090e-01 1.820000000000000000e+06
1.840000114105619644e-01 8.257627499376763991e-01 1.840000000000000000e+06
1.860000082070742411e-01 8.185278712046502037e-01 1.860000000000000000e+06
1.880000061501461428e-01 8.154037190244797229e-01 1.880000000000000000e+06
1.900000040932180723e-01 8.165547224592792919e-01 1.900000000000000000e+06
1.920000008897303212e-01 8.119507087200807938e-01 1.920000000000000000e+06
