# gamma d2min std
4.000000000000006155e-03 6.524724879991319337e-01 4.246331067019267214e-01
6.000000000000009666e-03 6.592710694404987359e-01 4.398806836540632981e-01
8.000000000000012310e-03 6.528823734138258228e-01 4.363560582715381719e-01
1.000000000000001582e-02 6.572799344677241473e-01 4.445720864244028236e-01
1.200000000000001933e-02 6.530114368627683019e-01 4.450040075022441699e-01
1.400000000000002284e-02 6.652322874013573140e-01 4.511401917922573945e-01
1.600000000000002462e-02 6.630620290147570817e-01 4.527755260175631569e-01
1.800000000000002986e-02 6.597817361841067374e-01 4.541718770492572110e-01
2.000000000000003164e-02 6.678997754024620370e-01 4.689455819876634513e-01
2.200000000000003689e-02 6.703177747139362763e-01 4.815412717148424004e-01
2.400000000000003866e-02 6.716159958175504929e-01 4.699448105632162420e-01
2.600000000000004391e-02 6.754833243765784312e-01 4.817787812200338693e-01
2.800000000000004569e-02 6.752211809777463047e-01 4.838377043529782928e-01
3.000000000000005440e-02 6.858037847222221428e-01 5.182403888459862218e-01
3.200000000000004924e-02 6.774444471531722023e-01 4.740274112061948486e-01
3.400000000000005101e-02 6.972648947107796813e-01 5.567576929380382289e-01
3.600000000000005973e-02 7.012264325737844750e-01 5.694043440036012926e-01
3.800000000000006151e-02 7.067914187361900025e-01 5.361682606241051641e-01
4.000000000000006328e-02 6.983891788253629995e-01 5.154347705501401977e-01
4.200000000000006506e-02 7.153160048650567537e-01 5.945868811657032404e-01
4.400000000000007377e-02 7.161196439827968163e-01 6.025673904184779550e-01
4.600000000000007555e-02 7.183691975220959369e-01 5.769596514078850769e-01
4.800000000000007733e-02 7.281915249447601379e-01 5.724283695148399964e-01
5.000000000000007910e-02 7.450897335187817161e-01 6.578246761478264704e-01
5.200000000000008782e-02 7.482383819444444750e-01 6.363525061360677526e-01
5.400000000000008959e-02 7.523368966145833614e-01 6.495111886347293417e-01
5.600000000000009137e-02 7.669281180299084566e-01 6.664271042173279813e-01
5.799999999999993355e-02 7.732472965415876365e-01 6.672694999423850470e-01
5.999999999999993533e-02 7.839507698626894117e-01 7.181004757800220073e-01
6.199999999999993711e-02 7.944313317294033894e-01 7.561894347382769332e-01
6.399999999999994582e-02 8.132606556601166270e-01 8.837079519184828369e-01
6.599999999999994760e-02 8.301776699494950451e-01 8.492460213611423558e-01
6.799999999999996325e-02 8.330575671657987069e-01 8.327425419048356536e-01
6.999999999999995115e-02 8.551307122750946288e-01 8.885193919469117629e-01
7.199999999999995293e-02 8.629321419330020504e-01 9.003861452478367777e-01
7.399999999999995470e-02 8.926194835108900438e-01 9.562509170517781154e-01
7.599999999999997036e-02 8.999083254083807271e-01 9.719548853912460817e-01
7.799999999999995826e-02 9.072635438210225889e-01 9.675968281482744127e-01
7.999999999999997391e-02 9.446035112945865286e-01 1.074169901130355820e+00
8.199999999999997569e-02 9.766078436474115998e-01 1.202267639531334753e+00
8.399999999999997746e-02 1.004234743826941445e+00 1.247509108595942884e+00
8.599999999999997924e-02 1.055883199514678017e+00 1.387966592438870883e+00
8.799999999999998102e-02 1.101958655551609878e+00 1.513425030830353402e+00
8.999999999999998279e-02 1.176801512138967887e+00 1.700419854866412228e+00
9.199999999999998457e-02 1.200467162354009076e+00 1.722306531914538308e+00
9.399999999999998634e-02 1.298041032703992848e+00 2.062813387302966817e+00
9.599999999999998812e-02 1.402449322462910430e+00 2.381784561451731452e+00
9.799999999999998990e-02 1.461560237490135528e+00 2.621264473302289399e+00
1.000000000000000056e-01 1.537469550187421152e+00 2.832538916115444838e+00
1.020000000000000073e-01 1.637199463959911672e+00 3.017066332436882714e+00
1.040000000000000091e-01 1.771005643308080968e+00 3.318857638606889537e+00
1.060000000000000109e-01 1.879997687020596553e+00 3.568207419555798676e+00
1.080000000000000127e-01 1.999896279888730755e+00 3.884247163436088002e+00
1.100000000000000144e-01 2.174315616122159067e+00 4.312244331463952918e+00
1.120000000000000162e-01 2.306134670953677190e+00 4.696058756356531916e+00
1.140000000000000180e-01 2.443114301031802160e+00 4.991613699342286381e+00
1.160000000000000198e-01 2.711084833009785200e+00 5.588404322304385552e+00
1.180000000000000354e-01 3.007289816187263209e+00 6.279988999546421091e+00
1.200000000000000372e-01 3.441528562209990927e+00 7.217726297787256051e+00
1.220000000000000390e-01 4.053477957765151629e+00 8.532646175383076681e+00
1.240000000000000407e-01 4.891985909240846198e+00 1.052870222694706648e+01
1.260000000000000286e-01 5.485405354148912060e+00 1.215325558760075175e+01
1.280000000000000304e-01 5.782010193477746363e+00 1.290363636157635696e+01
1.300000000000000600e-01 6.081025570454545282e+00 1.357311716963901738e+01
1.320000000000000617e-01 6.349524995665640326e+00 1.413631520510569040e+01
1.340000000000000635e-01 6.539843858353061812e+00 1.463019225960509040e+01
1.360000000000000653e-01 6.763441936777934593e+00 1.510277615614174174e+01
