# gamma d2min std
3.999999999999995746e-03 6.466378047190656231e-01 4.102394866844002452e-01
6.000000000000076453e-03 6.491405358388572244e-01 4.086582993936493935e-01
7.999999999999991493e-03 6.504411319069600683e-01 4.162777008673584356e-01
1.000000000000007480e-02 6.459800133207069806e-01 4.080832160145556053e-01
1.199999999999998984e-02 6.497115785905934748e-01 4.189574839764006464e-01
1.400000000000006968e-02 6.432232668363320194e-01 4.051471998899763283e-01
1.599999999999998299e-02 6.531226115352745110e-01 4.172233076368659921e-01
1.800000000000006803e-02 6.501557791291825428e-01 4.112841516997673419e-01
1.999999999999998654e-02 6.516140267025726240e-01 4.163037191831361339e-01
2.200000000000006464e-02 6.545397775390624506e-01 4.166233511913757792e-01
2.399999999999997968e-02 6.620860681403881731e-01 4.267359250822897465e-01
2.600000000000006126e-02 6.592863642657039724e-01 4.329757795615523652e-01
2.799999999999997630e-02 6.625505605567393319e-01 4.222893075181607392e-01
3.000000000000005787e-02 6.691164135357481335e-01 4.432897781163122053e-01
3.199999999999996597e-02 6.679716646030618987e-01 4.495320164673608510e-01
3.400000000000005101e-02 6.750883357086489012e-01 4.545492795629960114e-01
3.599999999999996259e-02 6.768684745067866659e-01 4.626029065960111097e-01
3.800000000000004763e-02 6.812218880563446488e-01 4.762820153885932162e-01
3.999999999999997308e-02 6.913822891315497543e-01 5.079833843799982374e-01
4.200000000000004424e-02 7.005037557331122988e-01 5.101946396626381164e-01
4.399999999999996275e-02 7.017789581794507958e-01 5.357644636660475745e-01
4.600000000000004086e-02 7.066404919191917600e-01 5.420812027955801415e-01
4.799999999999995937e-02 7.202625803188130726e-01 5.909574397768505571e-01
5.000000000000003747e-02 7.181831438131314194e-01 5.734649149669097667e-01
5.199999999999995598e-02 7.266082664338699981e-01 5.724051348134118200e-01
5.400000000000003408e-02 7.353896445845170549e-01 6.001031514209363982e-01
5.599999999999995259e-02 7.349442380109689754e-01 5.920292949101709779e-01
5.800000000000004458e-02 7.528893457603377248e-01 6.333969603740001730e-01
5.999999999999994921e-02 7.546000013040563559e-01 6.197116921763671238e-01
6.200000000000003425e-02 7.717442375670771071e-01 6.413763332045877563e-01
6.399999999999995970e-02 7.734497861347854331e-01 6.940121753164801843e-01
6.600000000000003086e-02 7.979664452434501731e-01 7.087722120337386356e-01
6.799999999999994937e-02 8.037446038963858008e-01 7.683208049362938441e-01
7.000000000000002054e-02 8.128546323962279052e-01 7.393764660921844367e-01
7.199999999999992517e-02 8.293606434363161029e-01 7.885456315396568439e-01
7.400000000000002409e-02 8.565515614425505131e-01 8.651318753138287354e-01
7.599999999999994260e-02 8.700420626637467292e-01 8.778894180321623608e-01
7.800000000000001377e-02 8.797603334004103770e-01 9.087127650283874924e-01
7.999999999999991840e-02 9.020338659741951037e-01 9.735643402981600802e-01
8.200000000000001732e-02 9.166760225733902034e-01 9.784465222083325031e-01
8.399999999999993583e-02 9.396968108013731280e-01 1.017843474979826635e+00
8.600000000000000699e-02 9.635071307410038033e-01 1.073619988846153284e+00
8.799999999999992550e-02 9.687965000295927220e-01 1.102550084882247150e+00
9.000000000000001055e-02 1.006377726789378091e+00 1.157767340666981504e+00
9.200000000000008171e-02 1.021187675303819598e+00 1.209938082433990258e+00
9.400000000000000022e-02 1.076543766167534777e+00 1.339175811324469834e+00
9.599999999999991873e-02 1.121448204166666685e+00 1.414473614315260530e+00
9.800000000000000377e-02 1.162783069545060055e+00 1.491496029621614428e+00
1.000000000000000749e-01 1.210375681831991956e+00 1.617879211838564091e+00
1.019999999999999934e-01 1.247694222812105513e+00 1.715827539823309822e+00
1.039999999999999120e-01 1.291261120389441519e+00 1.850959890887264203e+00
1.059999999999999970e-01 1.351991429056186966e+00 2.010960609505487717e+00
1.080000000000000682e-01 1.446507508785116691e+00 2.201250610127989393e+00
1.099999999999999867e-01 1.546561742248658167e+00 2.623432285438412226e+00
1.120000000000000717e-01 1.755118849131944270e+00 3.227095004086407926e+00
1.139999999999999902e-01 1.928191158720012677e+00 3.626846719575798517e+00
1.160000000000000614e-01 2.078091987002840924e+00 3.936695484466402384e+00
1.179999999999999660e-01 2.419889863592960655e+00 4.711037224148377334e+00
1.200000000000000649e-01 3.235314511357718192e+00 6.689062059758487777e+00
1.219999999999999835e-01 4.831557853385416657e+00 1.117328498414901894e+01
1.240000000000000685e-01 5.518437381486742233e+00 1.308109308748203503e+01
1.259999999999999731e-01 6.036872819369476950e+00 1.435406362611296238e+01
1.280000000000000582e-01 6.261828630654197703e+00 1.481837815816020942e+01
1.300000000000000044e-01 6.588909213770517859e+00 1.568355523256161455e+01
1.320000000000000617e-01 6.761477093578361242e+00 1.612296001407313639e+01
1.339999999999999802e-01 6.828460171221986563e+00 1.627339969452383528e+01
1.360000000000000653e-01 6.977731300854244978e+00 1.660353678204600669e+01
1.379999999999999560e-01 7.103342813987531201e+00 1.691035581240343433e+01
1.400000000000000411e-01 7.339001324530461723e+00 1.748565371026552384e+01
1.419999999999999596e-01 7.531781021598800585e+00 1.807219151516191147e+01
1.440000000000000446e-01 7.670438146119398226e+00 1.833104104988125016e+01
1.459999999999999909e-01 7.773556863492345315e+00 1.850259918080310939e+01
1.480000000000000482e-01 7.910901392791191533e+00 1.882319784888204239e+01
1.499999999999999667e-01 8.059989704150885004e+00 1.922838780499006006e+01
1.520000000000000240e-01 8.347680419012389663e+00 1.993424452583083450e+01
