# gamma	percentage
0.000000000000000000e+00 1.042866789431206032e+00
2.000000570791079374e-03 1.046927164721002113e+00
4.000000000000000083e-03 1.047089579732593867e+00
6.000000570791079457e-03 1.037994339083450734e+00
8.000000000000000167e-03 1.048064069802144838e+00
1.000000171237323821e-02 1.055372745323777783e+00
1.200000000000000025e-02 1.042217129384838570e+00
1.400000057079107962e-02 1.057159310451287970e+00
1.600000114158215900e-02 1.040755394280512114e+00
1.800000057079107971e-02 1.047901654790553083e+00
2.000000114158215908e-02 1.048876144860104054e+00
2.200000057079107632e-02 1.043354034465981517e+00
2.400000114158216263e-02 1.038968829153001927e+00
2.600000057079107987e-02 1.052774105138308158e+00
2.800000114158215925e-02 1.040917809292103868e+00
3.000000171237323862e-02 1.047901654790553083e+00
3.200000114158215586e-02 1.044815769570307973e+00
3.400000171237323870e-02 1.038643999129818196e+00
3.600000114158215941e-02 1.035882943932756817e+00
3.800000171237324226e-02 1.030523248550226034e+00
4.000000114158216297e-02 1.027762193353164877e+00
4.200000171237323887e-02 1.045140599593491704e+00
4.400000114158215958e-02 1.043354034465981517e+00
4.599999828762676990e-02 1.042217129384838570e+00
4.800000114158216313e-02 1.036370188967532302e+00
4.999999942920891477e-02 1.029386343469083309e+00
5.200000228316432188e-02 1.028899098434307824e+00
5.399999942920892526e-02 1.038481584118226220e+00
5.600000228316431850e-02 1.032147398666144467e+00
5.799999942920892188e-02 1.024513893121328012e+00
6.000000228316431511e-02 1.021428007901083124e+00
6.199999942920892543e-02 1.025975628225654690e+00
6.400000228316431172e-02 1.019803857785164691e+00
6.599999942920892204e-02 1.014444162402633909e+00
6.800000342474647741e-02 1.011520692193980775e+00
6.999999942920891172e-02 1.015743482495368610e+00
7.200000228316431883e-02 1.010058957089654319e+00
7.399999942920891527e-02 1.009246882031695103e+00
7.600000228316432238e-02 1.018179707669246259e+00
7.800000057079108096e-02 9.939798709420620826e-01
8.000000228316432593e-02 1.007622731915776670e+00
8.199999942920892237e-02 9.908939857218170832e-01
8.400000228316431561e-02 1.005673751776674507e+00
8.600000057079108806e-02 9.978778312202662981e-01
8.800000342474648130e-02 9.884577605479395457e-01
9.000000171237323987e-02 9.866711954204292478e-01
9.199999771683568806e-02 9.856967053508782772e-01
9.400000057079108129e-02 9.915436457681845450e-01
9.600000342474647452e-02 9.910564007334089487e-01
9.800000627870186776e-02 9.753021446090004432e-01
9.999999771683568128e-02 9.720538443771636894e-01
1.020000005707910745e-01 9.728659194351229056e-01
1.040000034247464678e-01 9.679934690873676084e-01
1.060000062787018887e-01 9.535385330556939154e-01
1.079999977168356745e-01 9.558123432179796986e-01
1.100000005707910677e-01 9.546754381368367515e-01
1.120000034247464887e-01 9.590606434498164523e-01
1.140000062787018820e-01 9.532137030325101845e-01
1.159999988584178299e-01 9.522392129629592139e-01
1.180000017123732647e-01 9.541881931020612662e-01
1.200000045663286302e-01 9.598727185077756685e-01
1.220000074202840373e-01 9.540257780904694007e-01
1.239999988584178509e-01 9.579237383686736163e-01
1.260000017123732441e-01 9.751397295974085777e-01
1.280000045663286234e-01 9.616592836352858553e-01
1.300000074202840306e-01 9.606847935657348847e-01
1.319999988584178441e-01 9.537009480672856698e-01
1.340000017123732234e-01 9.657196589250819363e-01
1.360000045663286306e-01 9.489909127311223491e-01
1.380000074202840377e-01 9.504526478354489161e-01
1.399999988584178512e-01 9.475291776267957822e-01
1.420000017123732305e-01 9.489909127311223491e-01
1.440000045663286377e-01 9.522392129629592139e-01
1.460000074202840170e-01 9.439560473717752975e-01
1.479999988584178583e-01 9.530512880209183191e-01
1.500000017123732377e-01 9.480164226615712675e-01
1.520000045663286448e-01 9.481788376731631329e-01
1.540000074202840241e-01 9.426567272790405960e-01
1.559999999999999998e-01 9.550002681600204824e-01
1.580000028539554069e-01 9.491533277427142146e-01
1.600000045663286519e-01 9.332366566067138436e-01
1.620000074202840312e-01 9.381091069544690297e-01
1.640000000000000069e-01 9.403829171167548129e-01
1.660000028539553862e-01 9.457426124992855954e-01
1.680000057079108211e-01 9.377842769312854099e-01
1.700000085618662005e-01 9.325869965603464928e-01
1.719999999999999862e-01 9.436312173485916777e-01
1.740000028539554211e-01 9.515895529165917521e-01
1.760000057079108005e-01 9.519143829397754830e-01
1.780000085618662076e-01 9.392460120356119768e-01
1.800000000000000211e-01 9.512647228934081323e-01
1.820000028539554282e-01 9.585733984150409670e-01
1.839999954336713761e-01 9.525640429861428338e-01
1.859999982876267555e-01 9.598727185077756685e-01
1.880000011415821626e-01 9.502902328238570506e-01
1.900000039955375697e-01 9.537009480672856698e-01
1.920000068494929490e-01 9.559747582295714530e-01
1.940000085618662218e-01 9.476915926383876476e-01
1.960000114158216011e-01 9.512647228934081323e-01
1.980000142697770082e-01 9.519143829397754830e-01
1.999999954336713626e-01 9.652324138903063400e-01
