# gamma	percentage
0.000000000000000000e+00 1.009934749670675647e+00
1.999999762573367867e-03 1.020001623381219247e+00
4.000000666620928680e-03 1.020163992312034473e+00
6.000000429194296547e-03 1.011558438978827912e+00
8.000000191767662680e-03 1.019676885519588794e+00
1.000000109581522349e-02 1.025684535959751953e+00
1.200000085838859309e-02 1.026171642752197632e+00
1.400000062096196096e-02 1.015617662249208353e+00
1.600000038353532883e-02 1.022924264135893324e+00
1.800000128758288964e-02 1.013182128286979955e+00
2.000000105015625404e-02 1.028120069921980351e+00
2.200000195420382179e-02 1.014643448664316994e+00
2.400000057530299324e-02 1.018540303003882430e+00
2.600000262082474700e-02 1.020163992312034473e+00
2.800000124192392192e-02 1.019514516588773567e+00
3.000000214597148274e-02 1.019352147657958341e+00
3.200000076707065072e-02 1.018702671934697657e+00
3.400000281259241142e-02 1.016916613695730165e+00
3.600000143369158634e-02 1.004251837092142940e+00
3.800000233773914715e-02 1.013669235079425635e+00
4.000000095883832207e-02 1.014481079733501767e+00
4.200000300436007583e-02 1.007174477846816796e+00
4.400000162545925075e-02 1.003764730299697261e+00
4.600000252950681157e-02 1.001166827406653637e+00
4.800000115060598649e-02 1.005226050677034300e+00
4.999999977170515447e-02 1.000679720614207957e+00
5.200000410017530106e-02 1.008798167154969061e+00
5.400000272127447598e-02 1.001978672060729769e+00
5.600000248384784385e-02 9.914246915577403785e-01
5.799999996347281889e-02 9.946720701740447979e-01
6.000000429194296547e-02 9.933731187275230967e-01
6.200000291304214040e-02 9.959710216205666100e-01
6.400000153414130144e-02 9.974323419979035377e-01
6.600000129671468319e-02 1.001329196337468863e+00
6.800000562518482283e-02 9.909375847652946989e-01
7.000000310480980481e-02 9.923989051426317376e-01
7.200000172590897973e-02 1.001816303129914543e+00
7.400000148848234760e-02 9.919117983501860580e-01
7.600000467547829430e-02 9.837933518094249541e-01
7.800000329657746923e-02 9.787599149541531540e-01
8.000000191767664415e-02 9.920741672810012846e-01
8.200000053877581907e-02 9.823320314320880264e-01
8.400000486724595872e-02 9.893138954571425447e-01
8.600000348834513364e-02 9.766491188535553203e-01
8.800000325091850151e-02 9.764867499227400938e-01
9.000000073054346961e-02 9.794093906774140601e-01
9.200000505901362313e-02 9.620359150801853776e-01
9.400000368011279805e-02 9.696672548285008020e-01
9.600000230121197298e-02 9.708038373442072766e-01
9.800000206378534084e-02 9.531056238853482521e-01
1.000000006848845158e-01 9.547293131935004062e-01
1.019999993059836768e-01 9.544045753318699532e-01
1.040000082003506021e-01 9.412526919358370492e-01
1.060000068214497632e-01 9.383300511811630829e-01
1.080000054425489520e-01 9.253405367159454054e-01
1.100000052051223198e-01 9.362192550805652491e-01
1.120000038262214948e-01 9.253405367159454054e-01
1.140000024473206697e-01 9.230673716845322341e-01
1.160000010684198446e-01 9.274513328165432391e-01
1.179999996895190056e-01 9.243663231310540462e-01
1.200000085838859309e-01 9.113768086658363687e-01
1.220000072049851336e-01 9.199823619990430412e-01
1.240000058260842808e-01 9.196576241374125882e-01
1.260000044471834557e-01 9.128381290431734074e-01
1.280000042097568236e-01 9.121886533199125013e-01
1.300000028308559985e-01 9.074799543262710433e-01
1.320000014519552012e-01 9.048820514332275300e-01
1.340000000730543483e-01 9.133252358356189760e-01
1.360000089674212598e-01 9.123510222507277279e-01
1.380000075885204347e-01 9.029336242634448118e-01
1.400000062096196096e-01 9.006604592320317515e-01
1.420000059721929775e-01 9.084541679111624024e-01
1.440000045932921802e-01 9.055315271564884361e-01
1.460000032143913273e-01 9.074799543262710433e-01
1.480000029769646952e-01 9.045573135715970770e-01
1.500000004565896494e-01 9.068304786030101372e-01
1.520000093509565886e-01 8.930291194837163271e-01
1.540000091135299565e-01 9.011475660244774311e-01
1.560000077346291036e-01 8.946528087918685923e-01
1.580000063557283063e-01 9.019594106785535637e-01
1.600000049768274812e-01 8.889698962133358862e-01
1.620000035979266562e-01 9.004980903012165250e-01
1.640000022190258311e-01 8.987120320622491443e-01
1.660000008401249783e-01 8.928667505529011006e-01
1.680000108759660826e-01 9.008228281628469780e-01
1.700000094970652853e-01 8.972507116849121056e-01
1.720000069766902673e-01 9.047196825024123035e-01
1.740000067392636351e-01 8.917301680371946260e-01
1.760000053603628378e-01 8.881580515592597536e-01
1.780000039814619850e-01 9.035830999867057178e-01
1.800000026025611599e-01 9.068304786030101372e-01
1.820000012236603348e-01 9.142994494205103351e-01
1.840000101180272463e-01 9.110520708042059157e-01
1.859999984658586847e-01 9.134876047664342025e-01
1.880000085016997613e-01 9.058562650181188891e-01
1.899999957080570068e-01 9.019594106785535637e-01
1.920000057438981389e-01 9.013099349552926576e-01
1.940000157797392155e-01 8.918925369680098525e-01
1.960000029860964610e-01 8.966012359616511995e-01
1.980000118804633724e-01 9.014723038861078841e-01
2.000000002282948386e-01 8.938409641377924597e-01
