# gamma	percentage
0.000000000000000000e+00 1.086952885156981630e+00
1.999999762510204417e-03 1.084352908155559625e+00
4.000000666798272930e-03 1.070215533210327585e+00
6.000000429308477781e-03 1.067778054771494345e+00
8.000000191818682632e-03 1.074602994400227107e+00
1.000000109610674898e-02 1.090690352096525650e+00
1.200000085861695556e-02 1.072165515961394089e+00
1.400000062112715868e-02 1.081590432591548856e+00
1.600000152541522502e-02 1.077365469964238098e+00
1.800000128792543161e-02 1.073953000149871606e+00
2.000000105043563473e-02 1.072815510211749590e+00
2.200000195472370454e-02 1.076877974276471361e+00
2.400000171723391112e-02 1.073790501587282842e+00
2.600000147974411424e-02 1.078502959902360114e+00
2.800000238403218059e-02 1.071515521711038588e+00
3.000000214654238717e-02 1.069078043272205347e+00
3.200000190905259029e-02 1.083052919654848623e+00
3.400000281334066010e-02 1.070865527460683087e+00
3.600000143407300346e-02 1.063553092144183809e+00
3.800000119658320658e-02 1.065340576332661326e+00
4.000000210087126945e-02 1.068915544709616583e+00
4.200000186338147257e-02 1.057540645328395312e+00
4.400000162589168262e-02 1.061603109393117306e+00
4.600000138840187880e-02 1.059328129516873052e+00
4.800000343446782225e-02 1.053640679826262305e+00
5.000000091342229197e-02 1.052990685575906804e+00
5.200000410126608824e-02 1.065665573457839077e+00
5.400000158022056490e-02 1.058678135266517550e+00
5.600000476806436117e-02 1.043890766070929788e+00
5.800000110524097807e-02 1.054290674076617806e+00
6.000000315130690764e-02 1.052665688450729053e+00
6.200000063026138430e-02 1.051365699950018051e+00
6.400000381810518058e-02 1.048115728698240545e+00
6.600000129705965723e-02 1.042753276132807772e+00
6.800000334312558681e-02 1.046490743072351792e+00
7.000000082208004959e-02 1.049415717198951548e+00
7.200000286814599304e-02 1.040315797693974753e+00
7.400000034710048358e-02 1.041778284757274520e+00
7.600000353494426597e-02 1.033165860940064240e+00
7.799999987212087593e-02 1.030078388250875498e+00
8.000000305996468608e-02 1.028128405499808995e+00
8.200000053891914886e-02 1.023740944309909473e+00
8.400000258498507844e-02 1.024065941435087224e+00
8.600000006393956897e-02 1.025040932810620475e+00
8.800000325178336524e-02 1.021953460121431734e+00
9.000000529784928094e-02 1.028128405499808995e+00
9.200000277680375760e-02 1.025203431373209240e+00
9.399999911398038144e-02 1.013666033429399205e+00
9.600000801071349732e-02 1.012203546366099438e+00
9.800000548966797398e-02 1.011878549240921688e+00
1.000000018268445839e-01 1.001153644110055918e+00
1.019999993057990606e-01 1.001316142672644682e+00
1.040000070607543098e-01 1.001153644110055918e+00
1.060000045397088003e-01 9.944912030439120310e-01
1.080000020186632770e-01 9.982286699834561627e-01
1.099999994976177398e-01 9.925412202928455274e-01
1.120000072525729889e-01 9.785663439102023631e-01
1.140000047315274656e-01 9.923787217302566521e-01
1.160000010687040894e-01 9.897787447288346474e-01
1.179999985476585522e-01 9.956286929820341580e-01
1.200000074443916820e-01 9.785663439102023631e-01
1.220000037815682642e-01 9.832788022252796356e-01
1.240000012605227686e-01 9.878287619777681439e-01
1.259999987394772591e-01 9.855537821015238897e-01
1.280000064944324945e-01 9.951411972942675321e-01
1.300000039733869572e-01 9.927037188554344027e-01
1.320000014523414478e-01 9.933537131057899039e-01
1.340000092072967108e-01 9.935162116683787792e-01
1.360000066862511736e-01 1.001803638360411419e+00
1.380000030234277975e-01 9.957911915446230333e-01
1.400000005023822602e-01 9.927037188554344027e-01
1.420000093991153622e-01 9.909162346669567745e-01
1.440000057362919861e-01 9.967661829201562851e-01
1.460000032152464766e-01 9.931912145432010286e-01
1.480000006942009116e-01 9.975786757331006616e-01
1.500000084491562025e-01 1.000341151297111431e+00
1.520000059281106652e-01 9.987161656712227886e-01
1.540000034070651558e-01 9.969286814827451604e-01
1.560000008860196463e-01 1.020490973058131967e+00
1.580000086409748816e-01 1.007166090925844193e+00
1.600000049781515055e-01 1.001153644110055918e+00
1.620000024571059682e-01 1.006191099550310941e+00
1.639999999360604588e-01 1.014803523367521443e+00
1.660000076910156941e-01 9.956286929820341580e-01
1.680000051699701569e-01 9.974161771705117863e-01
1.700000026489246474e-01 1.001641139797822433e+00
1.720000001278791379e-01 9.918912260424900262e-01
1.740000078828343733e-01 1.003916119674066687e+00
1.760000053617888638e-01 9.985536671086339133e-01
1.780000028407433266e-01 1.000178652734522666e+00
1.800000105956985619e-01 9.909162346669567745e-01
1.820000080746530524e-01 9.975786757331006616e-01
1.840000044118296763e-01 9.975786757331006616e-01
1.860000018907841390e-01 9.941662059187342804e-01
1.879999993697386573e-01 1.008303580863966431e+00
1.899999968486930924e-01 9.975786757331006616e-01
1.920000160214269946e-01 9.972536786079229110e-01
1.940000135003814574e-01 9.894537476036568968e-01
1.960000098375580813e-01 9.946537016065009063e-01
1.980000073165125718e-01 9.881537591029458945e-01
2.000000047954670346e-01 9.987161656712227886e-01
