# gamma d2min
1.999999999999995271e-03 6.409967451526987769e-01
3.999999999999990542e-03 6.464359433593749316e-01
5.999999999999985380e-03 6.410769935428504152e-01
7.999999999999981085e-03 6.431571639165087895e-01
9.999999999999975922e-03 6.514018854324495900e-01
1.199999999999997076e-02 6.475164031447285806e-01
1.399999999999996560e-02 6.438719003590592793e-01
1.599999999999996217e-02 6.568310078243371208e-01
1.799999999999995701e-02 6.537888587200126889e-01
1.999999999999995184e-02 6.580385655046558924e-01
2.199999999999995015e-02 6.551156383009785200e-01
2.399999999999994152e-02 6.583193047309027213e-01
2.599999999999993636e-02 6.574971820154670299e-01
2.799999999999993119e-02 6.609340725142045514e-01
2.999999999999992256e-02 6.742706186947601266e-01
3.199999999999992434e-02 6.727012970229639954e-01
3.400000000000007877e-02 6.794601850872000748e-01
3.600000000000006667e-02 6.802358378886521617e-01
3.800000000000006845e-02 6.867298429845327679e-01
4.000000000000006328e-02 6.939864602292455942e-01
4.200000000000005812e-02 6.957919167613635381e-01
4.400000000000005296e-02 7.032464137113321190e-01
4.600000000000004780e-02 7.036730260791508318e-01
4.800000000000004263e-02 7.257376428622158704e-01
5.000000000000003747e-02 7.184981864603062762e-01
5.200000000000003231e-02 7.307485556463069187e-01
5.400000000000003408e-02 7.435944333510888793e-01
5.600000000000002892e-02 7.430643193753946329e-01
5.800000000000002376e-02 7.526489180062342355e-01
6.000000000000001860e-02 7.519271772648357111e-01
6.200000000000001343e-02 7.757344403270991506e-01
6.400000000000000133e-02 7.736363112649936591e-01
6.600000000000000311e-02 7.913518623875474001e-01
6.800000000000000488e-02 7.929060849865847693e-01
6.999999999999999278e-02 8.157432718256786286e-01
7.199999999999998068e-02 8.229685889638573837e-01
7.399999999999998246e-02 8.400138884292138730e-01
7.599999999999997036e-02 8.545824035688920350e-01
7.799999999999995826e-02 8.650266697048608622e-01
7.999999999999997391e-02 8.981467664476798785e-01
8.199999999999997569e-02 9.313407683080806576e-01
8.399999999999996358e-02 9.755605497395832826e-01
8.599999999999995148e-02 9.799619308731849499e-01
8.799999999999995326e-02 9.938124880405619921e-01
8.999999999999994116e-02 1.030983249810605962e+00
9.199999999999994293e-02 1.070673894608191068e+00
9.399999999999993083e-02 1.096970127260890049e+00
9.599999999999993261e-02 1.126391204334359353e+00
9.799999999999992051e-02 1.169810182630997675e+00
9.999999999999992228e-02 1.223601276274463467e+00
1.019999999999999102e-01 1.296235681776751747e+00
1.040000000000000646e-01 1.316582596843434150e+00
1.060000000000000664e-01 1.373758632715830208e+00
1.080000000000000682e-01 1.434447608315577494e+00
1.100000000000000561e-01 1.498839771764520101e+00
1.120000000000000578e-01 1.641149621855271468e+00
1.140000000000000457e-01 1.939602020184264308e+00
1.160000000000000475e-01 3.251807624838225941e+00
1.180000000000000354e-01 5.068944971979561842e+00
1.200000000000000372e-01 5.518674567720170288e+00
1.220000000000000112e-01 5.775830767134233490e+00
1.240000000000000269e-01 5.969489745681424431e+00
1.260000000000000286e-01 6.218849747159091557e+00
1.280000000000000027e-01 6.431977690445470408e+00
1.300000000000000044e-01 6.705558739395911516e+00
1.320000000000000062e-01 6.958055400974590299e+00
1.340000000000000080e-01 7.192190889328835546e+00
1.360000000000000098e-01 7.363092627249052669e+00
1.379999999999999838e-01 7.470402704618450684e+00
1.399999999999999856e-01 7.551021663241792581e+00
1.419999999999999873e-01 7.692262967445943289e+00
1.439999999999999614e-01 7.759915820492029326e+00
1.459999999999999631e-01 7.897789715759155449e+00
1.479999999999999649e-01 8.006888267611664389e+00
1.499999999999999667e-01 8.237066146673768685e+00
1.519999999999999407e-01 8.488562317130288193e+00
1.539999999999999425e-01 8.770812027162246949e+00
1.559999999999999165e-01 8.995513697666114084e+00
1.579999999999999460e-01 9.169634681579468705e+00
1.600000000000000866e-01 9.391935552880367410e+00
1.620000000000000884e-01 9.619027180729165849e+00
1.639999999999999514e-01 9.736249742329546208e+00
1.660000000000000919e-01 9.905877259570312177e+00
1.680000000000000937e-01 1.017801696298137770e+01
1.700000000000000677e-01 1.040713892549715958e+01
1.720000000000000695e-01 1.051081548651357167e+01
1.740000000000000435e-01 1.092684062562145009e+01
1.760000000000000453e-01 1.116644561922940326e+01
1.780000000000000471e-01 1.140647662676964913e+01
1.800000000000000488e-01 1.150204776105784532e+01
1.820000000000000506e-01 1.173315838124802823e+01
1.840000000000000524e-01 1.188080744281486822e+01
1.860000000000000264e-01 1.200527922098919120e+01
1.880000000000000282e-01 1.218100740088581269e+01
1.900000000000000300e-01 1.233270606971275463e+01
1.920000000000000318e-01 1.250532888433357037e+01
1.940000000000000058e-01 1.284942525074771069e+01
1.960000000000000075e-01 1.306452223076270514e+01
1.980000000000000093e-01 1.341872888048255952e+01
2.000000000000000111e-01 1.360333836181739464e+01
