# gamma d2min std
9.599999999999998812e-02 1.271611927142519027e+00 1.797430265225315571e+00
9.799999999999992051e-02 1.294996944791666715e+00 1.797435512666472945e+00
1.000000000000000056e-01 1.362245683307686139e+00 1.939838170824989882e+00
1.020000000000000906e-01 1.431680605257654504e+00 2.094442012329186031e+00
1.040000000000000091e-01 1.501383494351720138e+00 2.249577167385211407e+00
1.059999999999999276e-01 1.553778438508128135e+00 2.309913932080612131e+00
1.080000000000000127e-01 1.641344261931818593e+00 2.540429663723954956e+00
1.100000000000000977e-01 1.711319968850615547e+00 2.648936712324432730e+00
1.120000000000000162e-01 1.788547589082228439e+00 2.866218407142435698e+00
1.139999999999999347e-01 1.883173844195864755e+00 3.026407313524106524e+00
1.160000000000000198e-01 2.007037516256312770e+00 3.351473573806347694e+00
1.179999999999999521e-01 2.231168292883917381e+00 3.926145141032959529e+00
1.200000000000000372e-01 2.402264466506865315e+00 4.294729495885671433e+00
1.219999999999999279e-01 2.566033263618608284e+00 4.655877481047029143e+00
1.240000000000000407e-01 2.735036304851246935e+00 4.920299803479630363e+00
1.259999999999999731e-01 2.977871214918718312e+00 5.608564037859379070e+00
1.280000000000000304e-01 3.312554367150015722e+00 6.381622387573398392e+00
1.299999999999999489e-01 3.642526712760416618e+00 7.165766659373864478e+00
1.320000000000000617e-01 4.211680946148989690e+00 8.486623077707966090e+00
1.339999999999999802e-01 4.793833694458254691e+00 9.838751301837492136e+00
1.360000000000000375e-01 5.158184766059028092e+00 1.076113622895287847e+01
1.380000000000000115e-01 5.656565142769492738e+00 1.194905492075640119e+01
1.399999999999999301e-01 6.160454653308475415e+00 1.323675638492953333e+01
1.419999999999999873e-01 6.398775305052478046e+00 1.371327358627261184e+01
1.440000000000001001e-01 6.490124793150251925e+00 1.393201483722962664e+01
1.460000000000000187e-01 6.724283497165010282e+00 1.449681714388020737e+01
1.479999999999999094e-01 6.919265757309422504e+00 1.492182969384350422e+01
1.499999999999999944e-01 7.047165554318576497e+00 1.515878750274077369e+01
1.520000000000001072e-01 7.248609066654830180e+00 1.557853900117020096e+01
1.539999999999999980e-01 7.315618762271149045e+00 1.579095670712758803e+01
1.559999999999999165e-01 7.426072118229167351e+00 1.607879308805872398e+01
1.580000000000000016e-01 7.566955599814552791e+00 1.635573777101527426e+01
1.600000000000000866e-01 7.664367984209278895e+00 1.666104839206004939e+01
1.620000000000000329e-01 7.833613384524937828e+00 1.710188747513763730e+01
1.639999999999999514e-01 7.993543056697838267e+00 1.743054851661910831e+01
1.660000000000000364e-01 8.241263684203362416e+00 1.804827104392978043e+01
1.679999999999999549e-01 8.370829156684028050e+00 1.834759518871352668e+01
1.700000000000000400e-01 8.626080406614978102e+00 1.889942195455776996e+01
1.719999999999999585e-01 8.846115115104167259e+00 1.938666616197287951e+01
1.740000000000000435e-01 8.957577365642755751e+00 1.966707148867578780e+01
1.759999999999999620e-01 9.125133663030696951e+00 1.997735330928357556e+01
1.780000000000000471e-01 9.362326179768386325e+00 2.055500373692918359e+01
1.799999999999999656e-01 9.491260027148436862e+00 2.083363894836737984e+01
1.820000000000000506e-01 9.700156177268782542e+00 2.125125412023218985e+01
1.839999999999999691e-01 9.801408677909959621e+00 2.141540175376398736e+01
1.860000000000000542e-01 9.928471810162168509e+00 2.167788567299093572e+01
1.879999999999999727e-01 1.003929119225063182e+01 2.195581356278458429e+01
1.899999999999999745e-01 1.018579531437618435e+01 2.230211900055847707e+01
1.919999999999999762e-01 1.038025447792574063e+01 2.262779676483925329e+01
1.939999999999999780e-01 1.058630825570746659e+01 2.325223485699545378e+01
1.959999999999999798e-01 1.078092296032591690e+01 2.362942038520382937e+01
1.980000000000000093e-01 1.091094079943576567e+01 2.387115791368856677e+01
2.000000000000000111e-01 1.106720893505760372e+01 2.424164049970260493e+01
