# gamma d2min
2.000000000000017389e-03 6.620325836489898697e-01
4.000000000000034778e-03 6.630202851937342379e-01
6.000000000000052167e-03 6.608718837377682842e-01
8.000000000000069555e-03 6.648980194483902206e-01
9.999999999999925615e-03 6.647170407650726531e-01
1.199999999999994300e-02 6.710269939374210457e-01
1.399999999999996039e-02 6.676388967684657727e-01
1.599999999999997952e-02 6.683502520063920871e-01
1.799999999999999517e-02 6.718723327039931581e-01
2.000000000000001429e-02 6.711770592230902333e-01
2.200000000000002648e-02 6.738039264539930073e-01
2.400000000000004907e-02 6.834407242838541618e-01
2.600000000000006473e-02 6.789772169191918838e-01
2.799999999999992079e-02 6.953560723228378038e-01
2.999999999999994338e-02 6.857503148792614134e-01
3.199999999999995903e-02 6.928004650627368477e-01
3.399999999999997469e-02 7.024247521681660222e-01
3.599999999999999034e-02 7.044838596038510703e-01
3.800000000000001293e-02 7.005664617069129463e-01
4.000000000000002859e-02 7.156293756628786529e-01
4.200000000000004424e-02 7.196535598248106069e-01
4.400000000000005990e-02 7.287088539437341916e-01
4.600000000000007555e-02 7.349755657315341084e-01
4.799999999999993161e-02 7.449542115688131405e-01
4.999999999999995420e-02 7.521198782848012021e-01
5.199999999999996986e-02 7.489602920415087128e-01
5.399999999999998551e-02 7.627123047013100177e-01
5.600000000000000117e-02 7.716113313900725412e-01
5.800000000000002376e-02 7.719096726345484605e-01
6.000000000000003941e-02 8.038314081597220939e-01
6.200000000000005507e-02 8.114600986564867169e-01
6.400000000000007072e-02 8.293559102588383691e-01
6.599999999999993372e-02 8.500066731415720778e-01
6.799999999999994937e-02 8.597635749289774809e-01
6.999999999999996503e-02 8.747792877702810221e-01
7.199999999999998068e-02 8.953136185684974491e-01
7.399999999999998246e-02 9.181919471748737349e-01
7.600000000000002587e-02 9.598198286616161923e-01
7.800000000000002764e-02 9.722315597952178035e-01
8.000000000000005718e-02 9.830663306443340188e-01
8.200000000000007283e-02 1.048331474674479180e+00
8.399999999999990807e-02 1.099701731897095858e+00
8.599999999999995148e-02 1.113790891556187157e+00
8.799999999999995326e-02 1.174450700599747544e+00
8.999999999999998279e-02 1.227954257540246230e+00
9.199999999999999845e-02 1.268555260462042478e+00
9.400000000000001410e-02 1.338335699356849595e+00
9.600000000000002975e-02 1.356537194369476174e+00
9.800000000000004541e-02 1.409021994827178048e+00
1.000000000000000611e-01 1.490950136697048567e+00
1.019999999999999241e-01 1.540374041057054999e+00
1.039999999999999397e-01 1.597396750455729153e+00
1.059999999999999554e-01 1.717156508710148355e+00
1.079999999999999710e-01 1.875232094704861296e+00
1.099999999999999867e-01 2.041926451682844590e+00
1.120000000000000023e-01 2.278145807380445031e+00
1.140000000000000319e-01 2.544488539567550500e+00
1.160000000000000475e-01 2.939821801736110629e+00
1.180000000000000632e-01 3.780917937557213282e+00
1.200000000000000788e-01 4.489914872340593277e+00
1.219999999999999279e-01 4.986819482100300682e+00
1.239999999999999575e-01 5.430388623924794267e+00
1.259999999999999731e-01 5.833882803231533742e+00
1.279999999999999749e-01 6.084953095278961221e+00
1.300000000000000044e-01 6.318775417376893522e+00
1.320000000000000340e-01 6.586090372591146824e+00
1.340000000000000357e-01 6.861717966226720478e+00
1.360000000000000653e-01 7.068208596807922461e+00
1.379999999999999005e-01 7.305411563123421104e+00
1.399999999999999301e-01 7.580885505906723942e+00
1.419999999999999596e-01 7.821195352408854440e+00
1.439999999999999614e-01 8.097224784252684771e+00
1.459999999999999909e-01 8.406040074153645847e+00
1.479999999999999649e-01 8.488551746241713047e+00
1.499999999999999944e-01 8.705216565003549789e+00
1.520000000000000517e-01 8.888741263575205664e+00
1.540000000000000813e-01 9.130177894511522396e+00
1.560000000000000553e-01 9.225301270421006450e+00
1.580000000000000848e-01 9.379079077951390175e+00
1.600000000000001144e-01 9.636688549009628346e+00
1.619999999999999774e-01 9.776360141996134345e+00
1.639999999999999791e-01 9.988181213237847800e+00
1.659999999999999809e-01 1.023187816602154321e+01
1.680000000000000104e-01 1.036899877936197889e+01
1.700000000000000400e-01 1.055450856097103873e+01
1.720000000000000417e-01 1.072385937177833171e+01
1.740000000000000713e-01 1.084061961017992459e+01
1.759999999999999065e-01 1.097707620661694961e+01
1.779999999999999638e-01 1.113157149339291507e+01
1.799999999999999656e-01 1.123094739805674003e+01
1.819999999999999674e-01 1.133076240284682790e+01
1.839999999999999969e-01 1.153074862241161647e+01
1.859999999999999987e-01 1.182363460085424478e+01
1.880000000000000282e-01 1.203521251601957154e+01
1.900000000000000300e-01 1.227843118072916617e+01
1.920000000000000595e-01 1.254859615256865446e+01
1.940000000000000058e-01 1.272606867440814149e+01
1.960000000000000075e-01 1.305920156524423703e+01
1.979999999999999538e-01 1.325785212905026889e+01
1.999999999999999556e-01 1.346491500409959130e+01
