# gamma	percentage
0.000000000000000000e+00 1.034473029720789139e+00
2.000000102779799036e-03 1.029273856334411708e+00
4.000000205559598072e-03 1.032523339700897491e+00
6.000000308339397542e-03 1.033660658879167693e+00
8.000000411119197880e-03 1.030411175512681687e+00
1.000000165589676020e-02 1.028299011324465884e+00
1.200000061667879508e-02 1.030736123849330221e+00
1.400000071945859195e-02 1.031061072185978755e+00
1.600000082223839229e-02 1.029273856334411708e+00
1.800000092501819263e-02 1.032523339700897491e+00
2.000000102779799296e-02 1.029598804671060241e+00
2.200000227257555702e-02 1.023749734611385520e+00
2.400000123335759017e-02 1.031873443027600423e+00
2.600000019413961985e-02 1.028623959661114418e+00
2.800000143891718390e-02 1.026999217977871526e+00
3.000000268369475490e-02 1.023749734611385520e+00
3.200000050247902433e-02 1.027649114651168594e+00
3.400000288925435210e-02 1.019362932066629535e+00
3.600000070803862501e-02 1.018875509561656623e+00
3.800000195281618559e-02 1.020337777076575358e+00
4.000000319759374617e-02 1.021637570423169716e+00
4.200000101637800520e-02 1.025699424631277168e+00
4.400000226115557966e-02 1.019200457898305379e+00
4.600000122193761282e-02 1.020500251244899736e+00
4.800000246671518034e-02 1.018225612888359555e+00
5.000000371149274786e-02 1.016275922868467907e+00
5.199999924628147946e-02 1.025049527957979878e+00
5.400000049105904698e-02 1.014326232848576481e+00
5.600000287783436781e-02 1.010264378640469030e+00
5.800000298061417509e-02 1.013026439501982123e+00
6.000000422539172873e-02 1.010101904472144652e+00
6.199999976018047421e-02 1.006040050264037422e+00
6.400000100495804867e-02 9.977538676794982520e-01
6.600000224973560925e-02 1.007014895273983024e+00
6.800000349451316983e-02 1.003277989402524328e+00
7.000000473929074429e-02 1.011726646155387765e+00
7.200000027407946201e-02 9.993786093627412548e-01
7.400000151885703648e-02 9.909299526098779287e-01
7.600000276363461094e-02 1.004252834412470152e+00
7.800000400841217152e-02 9.932045909664179995e-01
8.000000525318973210e-02 9.987287126894440759e-01
8.200000078797846370e-02 9.897926334316078378e-01
8.400000203275602428e-02 9.883303659166891020e-01
8.600000327753358487e-02 9.894676850949591929e-01
8.800000452231115933e-02 9.896301592632835709e-01
9.000000119909766505e-02 9.828062441936631366e-01
9.200000130187746539e-02 9.821563475203659577e-01
9.400000254665502597e-02 9.821563475203659577e-01
9.600000379143260043e-02 9.689959398860980011e-01
9.800000503621014714e-02 9.764697516290156143e-01
1.000000062809877355e-01 9.696458365593951800e-01
1.020000086677630702e-01 9.738701649358268986e-01
1.039999984925629589e-01 9.733827424308539866e-01
1.059999997373405195e-01 9.680210948761521772e-01
1.080000009821180940e-01 9.623344989848018338e-01
1.100000022268956407e-01 9.525860488853441499e-01
1.120000034716732290e-01 9.594099639549645842e-01
1.140000047164507757e-01 9.491740913505339883e-01
1.160000059612283502e-01 9.493365655188582553e-01
1.180000072060059108e-01 9.618470764798290329e-01
1.200000084507834852e-01 9.524235747170198829e-01
1.220000096955610180e-01 9.566479030934514904e-01
1.239999995203609484e-01 9.532359455586413288e-01
1.260000007651385368e-01 9.548606872418843317e-01
1.280000020099160696e-01 9.613596539748561209e-01
1.300000032546936302e-01 9.514487297070740590e-01
1.320000044994712185e-01 9.363386320529145657e-01
1.340000057442487791e-01 9.507988330337768801e-01
1.360000069890263397e-01 9.624969731531262118e-01
1.380000082338039002e-01 9.607097573015589420e-01
1.400000094785814886e-01 9.558355322518300445e-01
1.419999993033813634e-01 9.470619271623180735e-01
1.440000005481589240e-01 9.402380120926977503e-01
1.460000017929365124e-01 9.467369788256695395e-01
1.480000030377140452e-01 9.391006929144276594e-01
1.500000042824916335e-01 9.574602739350730474e-01
1.520000055272692219e-01 9.535608938952899738e-01
1.540000067720467547e-01 9.486866688455610763e-01
1.560000080168243430e-01 9.540483164002627747e-01
1.580000092616019036e-01 9.417002796076163751e-01
1.600000105063794642e-01 9.483617205089124313e-01
1.620000003311793391e-01 9.530734713903170618e-01
1.640000015759569274e-01 9.490116171822096103e-01
1.660000039627322621e-01 9.522611005486956159e-01
1.680000052075098227e-01 9.464120304890208946e-01
1.700000053102896369e-01 9.391006929144276594e-01
1.720000065550671697e-01 9.438124437958321788e-01
1.740000077998447581e-01 9.405629604293462842e-01
1.760000090446223464e-01 9.391006929144276594e-01
1.780000102893998792e-01 9.423501762809135540e-01
1.800000012561975560e-01 9.520986263803712379e-01
1.820000036429728629e-01 9.356887353796173867e-01
1.840000037457526771e-01 9.444623404691293578e-01
1.860000152685101771e-01 9.569728514301001354e-01
1.880000062353078261e-01 9.415378054392921081e-01
1.899999960601077009e-01 9.498239880238311672e-01
1.920000087248629472e-01 9.423501762809135540e-01
1.939999996916606240e-01 9.314644070031857792e-01
1.960000112144180962e-01 9.371510028945361226e-01
1.980000010392179710e-01 9.290272944783213305e-01
2.000000137039731896e-01 9.212285343987551833e-01
