# gamma	percentage
0.000000000000000000e+00 1.053267528663448527e+00
2.000000205587899611e-03 1.054730400231036702e+00
4.000000411175798354e-03 1.055218024086899353e+00
6.000000616763698398e-03 1.059931721360238832e+00
8.000000822351598442e-03 1.060581886501389182e+00
1.000000102793949935e-02 1.058793932363226054e+00
1.200000009137239775e-02 1.063670170921853009e+00
1.400000029696029866e-02 1.057818684651500529e+00
1.600000050254819783e-02 1.054242776375174051e+00
1.800000070813609701e-02 1.055543106657474528e+00
2.000000091372399619e-02 1.060256803930814007e+00
2.200000226146689788e-02 1.044002675402057045e+00
2.399999904058979991e-02 1.050016702957697223e+00
2.600000153048769719e-02 1.053267528663448527e+00
2.800000059392059731e-02 1.054892941516324179e+00
3.000000194166349901e-02 1.061069510357251833e+00
3.200000100509640261e-02 1.064970501204153486e+00
3.400000349499429642e-02 1.055380565372187052e+00
3.600000027411719844e-02 1.051317033239997700e+00
3.800000276401508531e-02 1.045465546969645221e+00
4.000000182744799238e-02 1.048878913960684223e+00
4.200000317519089060e-02 1.048716372675396746e+00
4.400000223862379767e-02 1.048228748819533873e+00
4.600000015990169527e-02 1.053592611234023702e+00
4.799999922333460234e-02 1.053267528663448527e+00
5.000000399754249425e-02 1.040426767125730567e+00
5.200000191882039186e-02 1.042702345119756568e+00
5.400000098225329892e-02 1.039288978128717567e+00
5.600000118784119463e-02 1.041076932266880917e+00
5.800000367773908844e-02 1.042214721263893917e+00
6.000000274117199550e-02 1.046928418537233396e+00
6.200000180460489563e-02 1.032624785431927261e+00
6.400000086803779575e-02 1.039288978128717567e+00
6.599999993147069588e-02 1.030674290008476435e+00
6.800000470567858779e-02 1.033925115714227960e+00
7.000000262695649234e-02 1.035062904711240739e+00
7.200000169038939246e-02 1.036038152422966263e+00
7.400000075382229259e-02 1.031649537720201959e+00
7.600000438587518892e-02 1.030836831293764133e+00
7.800000344930808904e-02 1.021246895461797477e+00
8.000000251274098917e-02 1.017183363329608126e+00
8.200000043401890759e-02 1.017996069756046174e+00
8.400000520822679950e-02 1.007918510068216866e+00
8.600000427165968575e-02 1.009543922921092518e+00
8.800000333509258588e-02 1.013607455053281647e+00
9.000000239852549988e-02 1.001904482512576688e+00
9.200000031980339055e-02 1.008893757779942169e+00
9.400000509401128246e-02 1.003204812794877165e+00
9.599999844666920468e-02 1.009869005491667693e+00
9.800000207872210101e-02 1.000766693515563688e+00
1.000000068529299929e-01 9.991412806626880361e-01
1.020000013477428968e-01 9.986536568068253850e-01
1.040000038376407837e-01 9.848376475573819011e-01
1.060000086118486756e-01 9.923145466806101433e-01
1.080000019645065978e-01 9.915018402541723175e-01
1.100000067387144898e-01 9.853252714132446632e-01
1.120000000913723981e-01 9.749226291548401813e-01
1.140000048655802900e-01 9.687460603139126381e-01
1.160000084976331725e-01 9.762229594371407693e-01
1.180000018502910669e-01 9.682584364580498759e-01
1.200000054823439910e-01 9.617567850465471579e-01
1.219999988350018993e-01 9.693962254550628765e-01
1.240000036092098190e-01 9.851627301279570759e-01
1.260000072412626737e-01 9.784985374311667705e-01
1.280000005939205820e-01 9.758978768665655945e-01
1.300000053681284740e-01 9.781734548605915958e-01
1.319999987207864101e-01 9.734597575872521169e-01
1.340000034949942742e-01 9.780109135753040084e-01
1.360000071270471844e-01 9.664704823198866368e-01
1.380000004797050928e-01 9.750851704401277686e-01
1.400000052539129847e-01 9.791487025723170090e-01
1.420000088859658671e-01 9.706965557373634645e-01
1.440000022386238032e-01 9.757353355812781182e-01
1.460000070128316674e-01 9.736222988725397043e-01
1.480000015076445852e-01 9.731346750166769421e-01
1.500000039975424859e-01 9.619193263318347453e-01
1.520000087717504056e-01 9.690711428844877018e-01
1.540000021244082862e-01 9.581808767702205687e-01
1.560000068986161781e-01 9.677708126021872248e-01
1.580000002512740864e-01 9.679333538874747012e-01
1.600000038833269966e-01 9.744350052989775302e-01
1.620000086575348885e-01 9.700463905962131150e-01
1.640000020101927969e-01 9.745975465842651175e-01
1.660000056422456793e-01 9.723219685902391163e-01
1.680000104164535990e-01 9.658203171787363983e-01
1.700000037691115073e-01 9.627320327582725712e-01
1.720000074011643898e-01 9.685835190286250507e-01
1.740000018959772798e-01 9.640323630405730482e-01
1.760000055280301900e-01 9.567180052026325043e-01
1.780000103022380820e-01 9.729721337313893548e-01
1.800000036548960181e-01 9.664704823198866368e-01
1.820000072869488728e-01 9.654952346081612236e-01
1.840000006396067811e-01 9.663079410345990494e-01
1.860000054138147008e-01 9.771982071488661825e-01
1.880000101880225649e-01 9.698838493109255277e-01
1.900000138200754751e-01 9.729721337313893548e-01
1.919999968933384094e-01 9.687460603139126381e-01
1.940000016675462735e-01 9.628945740435601586e-01
1.960000041574442020e-01 9.689086015992001144e-01
1.980000089316520662e-01 9.687460603139126381e-01
2.000000137058599858e-01 9.815868218516305976e-01
